"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_SD","BD_g_cm3_mean","BD_g_cm3_SD","DOI"
"1","Yu and Chmura 2010","OTY Ile Verte Grazed","Ile Verte","Ile Verte","Tidal marsh",48.02215718,-69.41376057,"estimated from GEE","2","Canada","2007",0,0.1,"EA",9,2,0.36,0.08,"https://doi.org/10.1017/S0376892910000184"
"2","Yu and Chmura 2010","OTY Ile Verte Ungrazed","Ile Verte","Ile Verte","Tidal marsh",48.01228166,-69.42554936,"estimated from GEE","2","Canada","2007",0,0.1,"EA",10,4,0.29,0.15,"https://doi.org/10.1017/S0376892910000184"
