"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_se","DOI"
"1","Ferronato et al 2019","CF ITS A","Baiona lagoon","ITS A","Intertidal tidal marsh",44.513875,12.263167,"direct from dataset","1","Italy","2015",0,0.06,"CF-IRMS",11.919,1.238,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"2","Ferronato et al 2019","CF ITS A","Baiona lagoon","ITS A","Intertidal tidal marsh",44.513875,12.263167,"direct from dataset","1","Italy","2015",0.06,0.24,"CF-IRMS",0.231,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"3","Ferronato et al 2019","CF ITS A","Baiona lagoon","ITS A","Intertidal tidal marsh",44.513875,12.263167,"direct from dataset","1","Italy","2015",0.24,1,"CF-IRMS",0.302,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"4","Ferronato et al 2019","CF ITS B","Baiona lagoon","ITS B","Intertidal tidal marsh",44.492601,12.248894,"direct from dataset","1","Italy","2015",0,0.06,"CF-IRMS",10.94,2.584,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"5","Ferronato et al 2019","CF ITS B","Baiona lagoon","ITS B","Intertidal tidal marsh",44.492601,12.248894,"direct from dataset","1","Italy","2015",0.06,0.24,"CF-IRMS",0.605,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"6","Ferronato et al 2019","CF ITS B","Baiona lagoon","ITS B","Intertidal tidal marsh",44.492601,12.248894,"direct from dataset","1","Italy","2015",0.24,1,"CF-IRMS",0.596,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"7","Ferronato et al 2019","CF ITS C","Baiona lagoon","ITS C","Intertidal tidal marsh",44.498855,12.263027,"direct from dataset","1","Italy","2015",0,0.06,"CF-IRMS",10.795,3.543,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"8","Ferronato et al 2019","CF ITS C","Baiona lagoon","ITS C","Intertidal tidal marsh",44.498855,12.263027,"direct from dataset","1","Italy","2015",0.06,0.24,"CF-IRMS",0.81,0.014,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"9","Ferronato et al 2019","CF ITS C","Baiona lagoon","ITS C","Intertidal tidal marsh",44.498855,12.263027,"direct from dataset","1","Italy","2015",0.24,1,"CF-IRMS",0.5,0.172,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"10","Ferronato et al 2019","CF SAS A","Baiona lagoon","SAS A","Subaqueous tidal marsh",44.51386,12.263281,"direct from dataset","1","Italy","2015",0,0.05,"CF-IRMS",1.985,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"11","Ferronato et al 2019","CF SAS A","Baiona lagoon","SAS A","Subaqueous tidal marsh",44.51386,12.263281,"direct from dataset","1","Italy","2015",0.05,0.8,"CF-IRMS",0.356,0.1,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"12","Ferronato et al 2019","CF SAS A","Baiona lagoon","SAS A","Subaqueous tidal marsh",44.51386,12.263281,"direct from dataset","1","Italy","2015",0.8,1.18,"CF-IRMS",0.099,0.003,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"13","Ferronato et al 2019","CF SAS B","Baiona lagoon","SAS B","Subaqueous tidal marsh",44.492528,12.248847,"direct from dataset","1","Italy","2015",0,0.05,"CF-IRMS",2.13,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
