"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","N_perc","DOI"
"1","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-0.915733333,-46.72433333,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.3,0.92,0.249,"https://doi.org/10.17528/CIFOR/DATA.00244"
"2","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-0.915733333,-46.72433333,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.82,1.32,0.078,"https://doi.org/10.17528/CIFOR/DATA.00244"
"3","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-0.915733333,-46.72433333,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.84,1.43,0.09,"https://doi.org/10.17528/CIFOR/DATA.00244"
"4","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-0.915733333,-46.72433333,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.49,1.36,0.062,"https://doi.org/10.17528/CIFOR/DATA.00244"
"5","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-0.915733333,-46.72433333,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.82,0.94,0.062,"https://doi.org/10.17528/CIFOR/DATA.00244"
"6","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-0.915666667,-46.72421667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.77,0.96,0.296,"https://doi.org/10.17528/CIFOR/DATA.00244"
"7","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-0.915666667,-46.72421667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.77,1.29,0.192,"https://doi.org/10.17528/CIFOR/DATA.00244"
"8","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-0.915666667,-46.72421667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.65,1.49,0.074,"https://doi.org/10.17528/CIFOR/DATA.00244"
"9","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-0.915666667,-46.72421667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.34,1.52,0.042,"https://doi.org/10.17528/CIFOR/DATA.00244"
"10","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-0.915666667,-46.72421667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.36,1.34,0.043,"https://doi.org/10.17528/CIFOR/DATA.00244"
"11","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-0.9156,-46.72401667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.59,0.98,0.28,"https://doi.org/10.17528/CIFOR/DATA.00244"
"12","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-0.9156,-46.72401667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.63,1.42,0.185,"https://doi.org/10.17528/CIFOR/DATA.00244"
"13","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-0.9156,-46.72401667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.56,1.51,0.065,"https://doi.org/10.17528/CIFOR/DATA.00244"
"14","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-0.9156,-46.72401667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.24,1.45,0.035,"https://doi.org/10.17528/CIFOR/DATA.00244"
"15","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-0.9156,-46.72401667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.52,1.26,0.024,"https://doi.org/10.17528/CIFOR/DATA.00244"
"16","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-0.915533333,-46.72398333,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.59,1.01,0.346,"https://doi.org/10.17528/CIFOR/DATA.00244"
