Source,Site_name,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,Season,U_depth_m,L_depth_m,Method,SOM_perc,BD_reported_g_cm3,DOI
Ford et al 2016,HF AH 1,AH,AH_Essex_Winter_1,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,8.47,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 1,AH,AH_Essex_Winter_1,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,8.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 1,AH,AH_Essex_Winter_1,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,6.95,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 2,AH,AH_Essex_Winter_2,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,9.16,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 2,AH,AH_Essex_Winter_2,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,6.99,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 2,AH,AH_Essex_Winter_2,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,6.09,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 3,AH,AH_Essex_Winter_3,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,6.89,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 3,AH,AH_Essex_Winter_3,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,7.77,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 3,AH,AH_Essex_Winter_3,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,6.15,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 4,AH,AH_Essex_Winter_4,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,13.59,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 4,AH,AH_Essex_Winter_4,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,6.89,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 4,AH,AH_Essex_Winter_4,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,3.91,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 5,AH,AH_Essex_Winter_5,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,7.05,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 5,AH,AH_Essex_Winter_5,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,7.22,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
