"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0,0.02,"EA",1.14,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"2","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.02,0.04,"EA",0.71,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"3","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.04,0.06,"EA",0.97,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"4","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.06,0.08,"EA",1.02,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"5","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.08,0.1,"EA",0.97,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"6","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.1,0.12,"EA",1.09,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"7","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.12,0.14,"EA",1.12,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"8","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.14,0.16,"EA",1.08,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"9","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.16,0.18,"EA",1.11,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"10","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.18,0.2,"EA",1.14,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"11","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.2,0.22,"EA",1.2,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"12","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.22,0.24,"EA",1.15,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"13","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.24,0.26,"EA",1.18,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"14","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.26,0.28,"EA",1.28,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"15","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.28,0.3,"EA",1.17,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"16","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.3,0.32,"EA",1.42,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"17","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.32,0.34,"EA",1.12,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
