"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","N_perc","DOI"
"1","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0,0.01,"EA",9.099574364,26.65602554,1.08,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"2","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.01,0.02,"EA",15.7777492,40.80574392,1.73,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"3","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.02,0.03,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"4","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.03,0.04,"EA",14.67862521,39.09258257,1.655,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"5","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.04,0.05,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"6","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.05,0.06,"EA",13.57950122,37.37942122,1.58,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"7","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.06,0.07,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"8","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.07,0.08,"EA",13.30160613,36.62470863,1.56,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"9","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.08,0.09,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"10","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.09,0.1,"EA",13.02371103,35.86999604,1.54,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
