"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Depth_to_bedrock_m","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Conrad et al 2019","SC Coffs Site 1","Coffs","Site 1","Saltmarsh","-30.29923485884984","153.1248383998784","estimated from GE","2","Australia",2016,2.48,0.08,0.1,"LOI",0.58,8,13.79,0.86,"https://doi.org/10.3389/fmars.2018.00518"
"2","Conrad et al 2019","SC Coffs Site 1","Coffs","Site 1","Saltmarsh","-30.29923485884984","153.1248383998784","estimated from GE","2","Australia",2016,2.48,0.28,0.3,"LOI",0.58,3,5.17,1.49,"https://doi.org/10.3389/fmars.2018.00518"
"3","Conrad et al 2019","SC Coffs Site 1","Coffs","Site 1","Saltmarsh","-30.29923485884984","153.1248383998784","estimated from GE","2","Australia",2016,2.48,0.48,0.5,"LOI",0.58,3,5.17,0.7,"https://doi.org/10.3389/fmars.2018.00518"
"4","Conrad et al 2019","SC Coffs Site 2","Coffs","Site 2","Saltmarsh","-30.3031568840442","153.1299701482165","estimated from GE","2","Australia",2016,1.8,0.08,0.1,"LOI",0.58,11,18.97,0.33,"https://doi.org/10.3389/fmars.2018.00518"
"5","Conrad et al 2019","SC Coffs Site 2","Coffs","Site 2","Saltmarsh","-30.3031568840442","153.1299701482165","estimated from GE","2","Australia",2016,1.8,0.28,0.3,"LOI",0.58,7,12.07,1.2,"https://doi.org/10.3389/fmars.2018.00518"
"6","Conrad et al 2019","SC Coffs Site 2","Coffs","Site 2","Saltmarsh","-30.3031568840442","153.1299701482165","estimated from GE","2","Australia",2016,1.8,0.48,0.5,"LOI",0.58,3,5.17,0.8,"https://doi.org/10.3389/fmars.2018.00518"
"7","Conrad et al 2019","SC Coffs Site 3","Coffs","Site 3","Saltmarsh","-30.29699976610663","153.1381272123313","estimated from GE","2","Australia",2016,3,0.08,0.1,"LOI",0.58,9.1,15.69,0.75,"https://doi.org/10.3389/fmars.2018.00518"
"8","Conrad et al 2019","SC Coffs Site 3","Coffs","Site 3","Saltmarsh","-30.29699976610663","153.1381272123313","estimated from GE","2","Australia",2016,3,0.28,0.3,"LOI",0.58,3.48,6,0.68,"https://doi.org/10.3389/fmars.2018.00518"
"9","Conrad et al 2019","SC Coffs Site 3","Coffs","Site 3","Saltmarsh","-30.29699976610663","153.1381272123313","estimated from GE","2","Australia",2016,3,0.48,0.5,"LOI",0.58,3.1,5.34,0.43,"https://doi.org/10.3389/fmars.2018.00518"
"10","Conrad et al 2019","SC Corindi Site 1","Corindi","Site 1","Saltmarsh","-29.98214918238689","153.2255485359246","estimated from GE","2","Australia",2017,3,0.08,0.1,"LOI",0.58,41.3,71.21,0.06,"https://doi.org/10.3389/fmars.2018.00518"
