"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0,0.03,"EA",2.1840506,8.10166799,1.025630624,"unpublished"
"2","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.05636788,0.08,"EA",2.3746124,4.673998429,1.017106822,"unpublished"
"3","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.110614383,0.14,"EA",2.2376362,7.360308285,0.984906867,"unpublished"
"4","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.188220445,0.21,"EA",2.3730783,6.01387818,1.064590454,"unpublished"
"5","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.286118599,0.31,"EA",2.6256038,5.527244218,0.914381879,"unpublished"
"6","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.401904512,0.42,"EA",1.22661,5.114296784,1.097048011,"unpublished"
"7","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.534273834,0.56,"EA",1.2834997,3.814713896,1.543038635,"unpublished"
"8","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.724728255,0.75,"EA",0.3925245,1.314263626,1.808795655,"unpublished"
"9","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.766211914,0.79,"EA",0.2472745,0.655611261,1.916819218,"unpublished"
"10","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,1.09247713,1.11,"EA",0.0405333,NA,1.854879786,"unpublished"
