"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.264,21.642,0.438,"https://doi.org/10.5194/bg-18-4717-2021"
"2","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",5.139,18.061,0.495,"https://doi.org/10.5194/bg-18-4717-2021"
"3","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.624,19.613,0.554,"https://doi.org/10.5194/bg-18-4717-2021"
"4","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.666,13.268,0.574,"https://doi.org/10.5194/bg-18-4717-2021"
"5","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",4.462,15.877,0.574,"https://doi.org/10.5194/bg-18-4717-2021"
"6","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",4.667,16.542,0.586,"https://doi.org/10.5194/bg-18-4717-2021"
"7","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.385,12.337,0.784,"https://doi.org/10.5194/bg-18-4717-2021"
"8","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.365,12.268,0.533,"https://doi.org/10.5194/bg-18-4717-2021"
"9","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.322,12.126,0.579,"https://doi.org/10.5194/bg-18-4717-2021"
"10","Ward et al 2021","MAW Elkhorn Slough SM A","Elkhorn Slough","Elkhorn Slough SM A","Salt Marsh",36.8182,-121.76552,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.222,11.793,0.75,"https://doi.org/10.5194/bg-18-4717-2021"
"11","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",8.89,29.795,0.205,"https://doi.org/10.5194/bg-18-4717-2021"
"12","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",8.235,27.784,0.302,"https://doi.org/10.5194/bg-18-4717-2021"
