"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","DOI"
"1","Vitti et al 2020","SV A04","Marano and Grado Lagoon","A04","Salt marsh",45.68263135,13.35868782,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.74,0.055,"https://doi.org/10.1093/jpe/rtaa052"
"2","Vitti et al 2020","SV A07","Marano and Grado Lagoon","A07","Salt marsh",45.68126261,13.35730737,"direct from dataset","1","Italy","2018",0,0.12,"EA",3.99,0.4,"https://doi.org/10.1093/jpe/rtaa052"
"3","Vitti et al 2020","SV A08","Marano and Grado Lagoon","A08","Salt marsh",45.68088281,13.35521556,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.72,0.21,"https://doi.org/10.1093/jpe/rtaa052"
"4","Vitti et al 2020","SV B03","Marano and Grado Lagoon","B03","Salt marsh",45.68433542,13.33551071,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.34,0.16,"https://doi.org/10.1093/jpe/rtaa052"
"5","Vitti et al 2020","SV B04","Marano and Grado Lagoon","B04","Salt marsh",45.6841239,13.33598959,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.385,0.015,"https://doi.org/10.1093/jpe/rtaa052"
"6","Vitti et al 2020","SV B05","Marano and Grado Lagoon","B05","Salt marsh",45.6837666,13.33591065,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.435,0,"https://doi.org/10.1093/jpe/rtaa052"
"7","Vitti et al 2020","SV B06","Marano and Grado Lagoon","B06","Salt marsh",45.6837056,13.33676572,"direct from dataset","1","Italy","2018",0,0.12,"EA",6.75,1.93,"https://doi.org/10.1093/jpe/rtaa052"
"8","Vitti et al 2020","SV C01","Marano and Grado Lagoon","C01","Salt marsh",45.69932316,13.30118227,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.27,0.005,"https://doi.org/10.1093/jpe/rtaa052"
"9","Vitti et al 2020","SV C02","Marano and Grado Lagoon","C02","Salt marsh",45.69874953,13.30121162,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.38,0.06,"https://doi.org/10.1093/jpe/rtaa052"
"10","Vitti et al 2020","SV C03","Marano and Grado Lagoon","C03","Salt marsh",45.69790717,13.30277618,"direct from dataset","1","Italy","2018",0,0.12,"EA",2.585,0.245,"https://doi.org/10.1093/jpe/rtaa052"
"11","Vitti et al 2020","SV C04","Marano and Grado Lagoon","C04","Salt marsh",45.69735408,13.30375825,"direct from dataset","1","Italy","2018",0,0.12,"EA",4.92,0.48,"https://doi.org/10.1093/jpe/rtaa052"
"12","Vitti et al 2020","SV D04","Marano and Grado Lagoon","D04","Salt marsh",45.70546198,13.29123631,"direct from dataset","1","Italy","2018",0,0.12,"EA",7.517,0.023333333,"https://doi.org/10.1093/jpe/rtaa052"
"13","Vitti et al 2020","SV D05","Marano and Grado Lagoon","D05","Salt marsh",45.70561497,13.29006419,"direct from dataset","1","Italy","2018",0,0.12,"EA",3.82,0.02,"https://doi.org/10.1093/jpe/rtaa052"
"14","Vitti et al 2020","SV E06","Marano and Grado Lagoon","E06","Salt marsh",45.7105997,13.26136545,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.105,0.13,"https://doi.org/10.1093/jpe/rtaa052"
"15","Vitti et al 2020","SV E07","Marano and Grado Lagoon","E07","Salt marsh",45.71088572,13.26004576,"direct from dataset","1","Italy","2018",0,0.12,"EA",6.265,0.595,"https://doi.org/10.1093/jpe/rtaa052"
"16","Vitti et al 2020","SV E08","Marano and Grado Lagoon","E08","Salt marsh",45.71126555,13.25911701,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.61,0.155,"https://doi.org/10.1093/jpe/rtaa052"
"17","Vitti et al 2020","SV F03","Marano and Grado Lagoon","F03","Salt marsh",45.71636623,13.238744,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.575,0.07,"https://doi.org/10.1093/jpe/rtaa052"
"18","Vitti et al 2020","SV F04","Marano and Grado Lagoon","F04","Salt marsh",45.71640545,13.23931994,"direct from dataset","1","Italy","2018",0,0.12,"EA",0.305,0.01,"https://doi.org/10.1093/jpe/rtaa052"
