"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0,0.01,"EA",1.79,NA,"https://doi.org/10.1594/PANGAEA.905218"
"2","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.01,0.02,"EA",1.96,NA,"https://doi.org/10.1594/PANGAEA.905218"
"3","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.02,0.03,"EA",1.74,NA,"https://doi.org/10.1594/PANGAEA.905218"
"4","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.03,0.04,"EA",0.71,NA,"https://doi.org/10.1594/PANGAEA.905218"
"5","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.04,0.05,"EA",0.95,NA,"https://doi.org/10.1594/PANGAEA.905218"
"6","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.05,0.06,"EA",1.2,NA,"https://doi.org/10.1594/PANGAEA.905218"
"7","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.06,0.07,"EA",1.27,NA,"https://doi.org/10.1594/PANGAEA.905218"
"8","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.07,0.08,"EA",0.51,NA,"https://doi.org/10.1594/PANGAEA.905218"
"9","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.08,0.09,"EA",1.45,NA,"https://doi.org/10.1594/PANGAEA.905218"
"10","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.09,0.1,"EA",1.11,NA,"https://doi.org/10.1594/PANGAEA.905218"
"11","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.1,0.11,"EA",0.41,NA,"https://doi.org/10.1594/PANGAEA.905218"
"12","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.11,0.12,"EA",0.71,NA,"https://doi.org/10.1594/PANGAEA.905218"
"13","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.12,0.13,"EA",0.83,NA,"https://doi.org/10.1594/PANGAEA.905218"
"14","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.13,0.14,"EA",0.59,NA,"https://doi.org/10.1594/PANGAEA.905218"
"15","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.14,0.15,"EA",0.28,NA,"https://doi.org/10.1594/PANGAEA.905218"
"16","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.15,0.16,"EA",1.07,NA,"https://doi.org/10.1594/PANGAEA.905218"
"17","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.16,0.17,"EA",0.86,NA,"https://doi.org/10.1594/PANGAEA.905218"
"18","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.17,0.18,"EA",0.95,NA,"https://doi.org/10.1594/PANGAEA.905218"
"19","Bunzel et al 2019","DB TB13-1","Bay of Tumlau","TB13-1","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.18,0.19,"EA",0.8,NA,"https://doi.org/10.1594/PANGAEA.905218"
