"","Source","Site_name","Site","Plot","n_cores","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc_mean","OC_perc_sd","SOM_perc_mean","BD_reported_g_cm3_mean","DOI"
"1","Gispert et al 2020","MG La Pletera 2020 1","La Pletera","La Pletera 2020 1",15,"Saltmarsh",42.03055556,3.190833333,"direct from dataset","1","Spain",2015,0,0.05,"Walkley Black","SOM/1,724",4.01,0.25,0.71,1.34,"https://doi.org/10.1016/j.catena.2019.104331"
"2","Gispert et al 2020","MG La Pletera 2020 2","La Pletera","La Pletera 2020 2",15,"Saltmarsh",42.03111111,3.189722222,"direct from dataset","1","Spain",2015,0.05,0.2,"Walkley Black","SOM/1,724",1.49,0.07,2.56,1.25,"https://doi.org/10.1016/j.catena.2019.104331"
"3","Gispert et al 2020","MG La Pletera 2020 3","La Pletera","La Pletera 2020 3",15,"Saltmarsh",42.03,3.189444444,"direct from dataset","1","Spain",2015,0.2,0.4,"Walkley Black","SOM/1,724",0.602,0.16,0.43,1.37,"https://doi.org/10.1016/j.catena.2019.104331"
"4","Gispert et al 2020","MG La Pletera 2020 4","La Pletera","La Pletera 2020 4",15,"Saltmarsh",42.03305556,3.191388889,"direct from dataset","1","Spain",2015,0,0.05,"Walkley Black","SOM/1,724",0.44,0.09,1.02,1.3,"https://doi.org/10.1016/j.catena.2019.104331"
"5","Gispert et al 2020","MG La Pletera 2020 5","La Pletera","La Pletera 2020 5",15,"Saltmarsh",42.03333333,3.192222222,"direct from dataset","1","Spain",2015,0.05,0.2,"Walkley Black","SOM/1,724",0.37,0.28,1.4,1.34,"https://doi.org/10.1016/j.catena.2019.104331"
"6","Gispert et al 2020","MG La Pletera 2020 6","La Pletera","La Pletera 2020 6",15,"Saltmarsh",42.03527778,3.191944444,"direct from dataset","1","Spain",2015,0.2,0.4,"Walkley Black","SOM/1,724",0.196,0.14,0.39,1.4,"https://doi.org/10.1016/j.catena.2019.104331"
"7","Gispert et al 2021","MG La Pletera 2021 3","La Pletera","La Pletera 2021 3",15,"Saltmarsh",42.03055556,3.192777778,"direct from dataset","1","Spain",2018,0,0.05,"Walkley Black","SOM/1,724",1.71,0.58,2.74,1.27,"https://doi.org/10.1016/j.ecss.2021.107240"
"8","Gispert et al 2021","MG La Pletera 2021 4","La Pletera","La Pletera 2021 4",15,"Saltmarsh",42.02833333,3.193611111,"direct from dataset","1","Spain",2018,0.05,0.2,"Walkley Black","SOM/1,724",0.66,0.23,1.15,1.34,"https://doi.org/10.1016/j.ecss.2021.107240"
"9","Gispert et al 2021","MG La Pletera 2021 1","La Pletera","La Pletera 2021 1",15,"Saltmarsh",42.03333333,3.192222222,"direct from dataset","1","Spain",2018,0,0.05,"Walkley Black","SOM/1,724",0.59,0.17,1.02,1.31,"https://doi.org/10.1016/j.ecss.2021.107240"
"10","Gispert et al 2021","MG La Pletera 2021 2","La Pletera","La Pletera 2021 2",15,"Saltmarsh",42.03527778,3.191944444,"direct from dataset","1","Spain",2018,0.05,0.2,"Walkley Black","SOM/1,724",0.32,0.11,0.55,1.35,"https://doi.org/10.1016/j.ecss.2021.107240"
