"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_se","BD_g_cm3_mean","BD_g_cm3_se","DOI"
"1","Cusack et al 2018","MC AASMC1","Abu-Ali","AASMC1","Saltmarsh",27.28777,49.56953,"direct from dataset","1","Saudi Arabia","",0,1.03,"EA",0.53,0.07,1.4,0.04,"https://doi.org/10.1088/1748-9326/aac899"
"2","Cusack et al 2018","MC AASMC2","Abu-Ali","AASMC2","Saltmarsh",27.31332,49.56401,"direct from dataset","1","Saudi Arabia","",0,0.72,"EA",0.73,0.07,1,0.05,"https://doi.org/10.1088/1748-9326/aac899"
"3","Cusack et al 2018","MC AASMC3","Abu-Ali","AASMC3","Saltmarsh",27.29719,49.48471,"direct from dataset","1","Saudi Arabia","",0,0.67,"EA",0.54,0.08,1.5,0.06,"https://doi.org/10.1088/1748-9326/aac899"
"4","Cusack et al 2018","MC RTSMC1","Ecopark","RTSMC1","Saltmarsh",26.65761,50.01003,"direct from dataset","1","Saudi Arabia","",0,0.4,"EA",0.94,0.03,1.4,0.08,"https://doi.org/10.1088/1748-9326/aac899"
"5","Cusack et al 2018","MC RTSMC2","Ecopark","RTSMC2","Saltmarsh",26.71998,50.02104,"direct from dataset","1","Saudi Arabia","",0,0.98,"EA",0.4,0.11,1.2,0.02,"https://doi.org/10.1088/1748-9326/aac899"
"6","Cusack et al 2018","MC SASMC1","Ecopark","SASMC1","Saltmarsh",26.73849,49.99526,"direct from dataset","1","Saudi Arabia","",0,1.17,"EA",0.81,0.08,1.4,0.02,"https://doi.org/10.1088/1748-9326/aac899"
