month,day,Source,Site_name,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,N_perc,BD_reported_g_cm3,DOI
5,24,Bulmer et al 2020,RHB 10,pauanui,10,saltmarsh,-37.030115,175.850659,direct from dataset,1,New Zealand,2016,0,0.02,EA,14.393600000000001,0.45,0.6,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 11,pauanui,11,saltmarsh,-37.030126,175.850538,direct from dataset,1,New Zealand,2016,0,0.02,EA,2.0552400000000004,0.23,0.74,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 12,pauanui,12,saltmarsh,-37.030039,175.850463,direct from dataset,1,New Zealand,2016,0,0.02,EA,5.61904,0.63,0.32,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 10,pauanui,10,saltmarsh,-37.030115,175.850659,direct from dataset,1,New Zealand,2016,0.02,0.1,EA,1.9600980000000003,0.19,0.79,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 11,pauanui,11,saltmarsh,-37.030126,175.850538,direct from dataset,1,New Zealand,2016,0.02,0.1,EA,1.2899179999999997,0.11,0.88,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 12,pauanui,12,saltmarsh,-37.030039,175.850463,direct from dataset,1,New Zealand,2016,0.02,0.1,EA,4.430104000000001,0.29,0.48,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 10,pauanui,10,saltmarsh,-37.030115,175.850659,direct from dataset,1,New Zealand,2016,0.1,0.2,EA,0.79001,0.06,1.21,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 11,pauanui,11,saltmarsh,-37.030126,175.850538,direct from dataset,1,New Zealand,2016,0.1,0.2,EA,0.553806,0.03,1.36,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 12,pauanui,12,saltmarsh,-37.030039,175.850463,direct from dataset,1,New Zealand,2016,0.1,0.2,EA,1.099221,0.06,1.05,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 10,pauanui,10,saltmarsh,-37.030115,175.850659,direct from dataset,1,New Zealand,2016,0.2,0.3,EA,0.581277,0.05,1.31,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 11,pauanui,11,saltmarsh,-37.030126,175.850538,direct from dataset,1,New Zealand,2016,0.2,0.3,EA,0.48303300000000005,0.04,1.24,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 12,pauanui,12,saltmarsh,-37.030039,175.850463,direct from dataset,1,New Zealand,2016,0.2,0.3,EA,1.007001,0.06,0.97,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 10,pauanui,10,saltmarsh,-37.030115,175.850659,direct from dataset,1,New Zealand,2016,0.3,0.4,EA,0.473164,0.04,1.83,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 11,pauanui,11,saltmarsh,-37.030126,175.850538,direct from dataset,1,New Zealand,2016,0.3,0.4,EA,0.49763799999999997,0.05,0.98,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 12,pauanui,12,saltmarsh,-37.030039,175.850463,direct from dataset,1,New Zealand,2016,0.3,0.4,EA,0.383426,0.02,1.38,https://doi.org/10.3389/fmars.2020.00380
5,24,Bulmer et al 2020,RHB 10,pauanui,10,saltmarsh,-37.030115,175.850659,direct from dataset,1,New Zealand,2016,0.4,0.5,EA,0.107355,0.03,1.84,https://doi.org/10.3389/fmars.2020.00380
