Species,Source,Site_name,Site,Subsite,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,Conv_factor,DOI
Spartina maritima,Raw et al 2020,JLR Knysna 1 1,Knysna Estuary,1,Knysna_1_1,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,3.334254398,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 2,Knysna Estuary,1,Knysna_1_2,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.791032094,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 3,Knysna Estuary,1,Knysna_1_3,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.945685502,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 1,Knysna Estuary,1,Knysna_1_1,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.914830696,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 2,Knysna Estuary,1,Knysna_1_2,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,3.422721369,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 3,Knysna Estuary,1,Knysna_1_3,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.283653846,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 1,Knysna Estuary,1,Knysna_1_1,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,8.518049398,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 2,Knysna Estuary,1,Knysna_1_2,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,1.67023259,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 1 3,Knysna Estuary,1,Knysna_1_3,Saltmarsh,-34.045289, 23.065186,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,1.966041108,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 1,Knysna Estuary,2,Knysna_2_1,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.224105062,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
