"","Treatment","Source","Original_source","Publication","Site_name","DataID","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","Soil_OCcon_n","Soil_OCcon_mean","Soil_OCcon_SD","Soil_OCden_n","Soil_OCden_mean","Soil_OCden_SD","Soil_TCcon_n","Soil_TCcon_mean","Soil_TCcon_SD","Soil_TCden_n","Soil_TCden_mean","Soil_TCden_SD","Soil_BD_n","Soil_BD_mean","Soil_BD_SD","Soil_CS_n","Soil_CS_mean","Soil_CS_SD","DOI"
"1","Control","He et al 2020","Bakker et al 1985","BAKKER JP, DIJKSTRA M & RUSSCHEN PT. 1985 Dispersal, germination and early establishment of halophytes and glycophytes on a grazed and abandoned salt‐marsh gradient. New Phytologist 101, 291-308. ","QH D051","D051","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"1985",0,0.01,NA,4,12.25,10.34005158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"2","Control","He et al 2020","Chen et al 2016","Chen H, Hagerty S, Crotty SM & Bertness MD. 2016 Direct and indirect trophic effects of predator depletion on basal trophic levels. Ecology 97, 338-346.","QH D099","D099","Marsh",NA,NA,"direct from dataset","2","USA","MA","2016",0,0.03,NA,NA,NA,NA,NA,NA,NA,8,15.4161,1.996021022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"3","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D164","D164","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.58212,0.196818703,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"4","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D165","D165","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.64489,0.065740399,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"5","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D166","D166","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.45712,0.320249656,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"6","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D167","D167","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.74768,0.551011871,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"7","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D168","D168","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.68606,0.460406397,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"8","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D169","D169","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.804,0.38290428,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"9","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D170","D170","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0,0.15,NA,10,9.7,1.58113883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"10","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D171","D171","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0,0.15,NA,10,8.1,11.06797181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
