"","Source","Site_name","Site","Core","Habitat_type","Marsh_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Humified Peat (Substantia Humosa)",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0,0.01,"EA",5.68,0.72,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"2","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Humified Peat (Substantia Humosa)",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.01,0.02,"EA",7.35,0.28,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"3","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.02,0.03,"EA",4.11,0.48,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"4","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.03,0.04,"EA",4.18,0.39,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"5","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.04,0.05,"EA",3.85,0.64,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"6","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.05,0.06,"EA",4.57,0.42,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"7","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.06,0.07,"EA",3.41,0.7,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"8","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.07,0.08,"EA",3.79,0.42,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"9","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.08,0.09,"EA",4.63,0.55,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"10","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.09,0.1,"EA",4.34,0.36,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"11","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.1,0.11,"EA",4.6,0.41,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"12","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.11,0.12,"EA",4.02,0.5,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"13","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.12,0.13,"EA",4.38,0.48,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"14","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.13,0.14,"EA",4.58,0.47,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"15","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.14,0.15,"EA",4.55,0.31,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"16","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.15,0.16,"EA",4.79,0.35,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"17","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.16,0.17,"EA",4.99,0.47,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"18","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.17,0.18,"EA",4.78,0.27,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"19","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.18,0.19,"EA",4.73,0.34,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"20","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.19,0.2,"EA",4.52,0.47,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"21","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.2,0.21,"EA",4.33,0.25,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"22","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.21,0.22,"EA",4.28,0.42,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"23","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.22,0.23,"EA",4.79,0.51,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"24","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.23,0.24,"EA",4.99,0.43,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"25","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.24,0.25,"EA",4.07,0.46,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"26","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.25,0.26,"EA",4.42,0.48,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"27","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.26,0.27,"EA",4.22,0.49,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"28","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.27,0.28,"EA",4.19,0.41,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"29","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.28,0.29,"EA",4.22,0.45,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"30","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.29,0.3,"EA",4.07,0.37,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"31","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.3,0.31,"EA",4.1,0.52,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"32","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.31,0.32,"EA",3.55,0.42,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"33","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.32,0.33,"EA",3.42,0.49,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"34","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.33,0.34,"EA",3.5,0.43,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"35","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.34,0.35,"EA",3.42,0.39,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"36","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.35,0.36,"EA",2.91,0.49,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
