"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0,0.02,"EA",5.1,0.65,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"2","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.02,0.04,"EA",NA,0.69,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"3","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.04,0.06,"EA",NA,0.81,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"4","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.06,0.08,"EA",NA,1.5,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"5","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.08,0.1,"EA",2.3,1.89,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"6","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.1,0.12,"EA",NA,1.74,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"7","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.12,0.14,"EA",1.7,2.58,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"8","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0,0.02,"EA",7,0.79,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"9","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.02,0.04,"EA",NA,0.68,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"10","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.04,0.06,"EA",NA,0.66,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"11","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.06,0.08,"EA",NA,1.39,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"12","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.08,0.1,"EA",1.7,1.22,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"13","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.1,0.12,"EA",NA,1.51,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"14","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.12,0.14,"EA",NA,1.19,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"15","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.14,0.16,"EA",NA,0.83,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"16","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.16,0.18,"EA",2,1.26,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"17","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0,0.022,"EA",5.3,0.36,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"18","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.022,0.043,"EA",NA,0.33,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"19","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.043,0.065,"EA",NA,0.62,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"20","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.065,0.087,"EA",NA,0.49,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"21","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.087,0.108,"EA",2.9,0.57,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"22","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.108,0.13,"EA",NA,0.67,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"23","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.13,0.152,"EA",NA,1.37,"https://doi.org/10.1016/j.scitotenv.2023.163957"
"24","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0.152,0.173,"EA",NA,0.98,"https://doi.org/10.1016/j.scitotenv.2023.163957"
