Species,Carbonate_removed,Source,Site_name,Site,Plot,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,DOI
NA,yes,Kumar et al 2020,MK BT T3,Guadiana Estuary,BT T3,Mudflat,37.2409722222222,-7.42605555555556,direct from dataset,1,Portugal,2015,0,0.1,EA,1.61,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK BT T3,Guadiana Estuary,BT T3,Mudflat,37.2409722222222,-7.42605555555556,direct from dataset,1,Portugal,2015,0,0.1,EA,2.37,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK BT T3,Guadiana Estuary,BT T3,Mudflat,37.2409722222222,-7.42605555555556,direct from dataset,1,Portugal,2015,0.3,0.4,EA,1.72,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK BT T3,Guadiana Estuary,BT T3,Mudflat,37.2409722222222,-7.42605555555556,direct from dataset,1,Portugal,2015,0.6,0.7,EA,1.33,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK BT T3,Guadiana Estuary,BT T3,Mudflat,37.2409722222222,-7.42605555555556,direct from dataset,1,Portugal,2015,0.9,1,EA,1.35,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK CMT T3,Guadiana Estuary,CMT T3,Mudflat,37.1984722222222,-7.42505555555556,direct from dataset,1,Portugal,2015,0,0.1,EA,0.39,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK CMT T3,Guadiana Estuary,CMT T3,Mudflat,37.1984722222222,-7.42505555555556,direct from dataset,1,Portugal,2015,0.3,0.4,EA,0.91,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK CMT T3,Guadiana Estuary,CMT T3,Mudflat,37.1984722222222,-7.42505555555556,direct from dataset,1,Portugal,2015,0.6,0.7,EA,1.44,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK CMT T3,Guadiana Estuary,CMT T3,Mudflat,37.1984722222222,-7.42505555555556,direct from dataset,1,Portugal,2015,0.9,1,EA,0.7,https://doi.org/10.1016/j.csr.2020.104076
NA,yes ,Kumar et al 2020,MK PMT T3,Guadiana Estuary,PMT T3,Mudflat,37.1965555555556,-7.33972222222222,direct from dataset,1,Portugal,2015,0,0.1,EA,1.05,https://doi.org/10.1016/j.csr.2020.104076
