"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_sd","SOM_perc_mean","SOM_perc_sd","DOI"
"1","Voltz et al 2021","BV A1-4","Authie Estuary","A1-4","Salt marsh",50.372778,1.587222,"direct from dataset","1","France",2018,0,0.01,"EA",1.41,0.03,8.2,0.6,"https://doi.org/10.1016/j.csr.2021.104554"
"2","Voltz et al 2021","BV A1-5","Authie Estuary","A1-5","Salt marsh",50.373611,1.588056,"direct from dataset","1","France",2018,0,0.01,"EA",1.14,0.02,10.7,0.4,"https://doi.org/10.1016/j.csr.2021.104554"
"3","Voltz et al 2021","BV A1-6","Authie Estuary","A1-6","Salt marsh",50.373611,1.588056,"direct from dataset","1","France",2018,0,0.01,"EA",1.45,0.03,10.9,3.2,"https://doi.org/10.1016/j.csr.2021.104554"
"4","Voltz et al 2021","BV A1-7","Authie Estuary","A1-7","Salt marsh",50.375,1.589444,"direct from dataset","1","France",2018,0,0.01,"EA",1.34,0.02,9.9,0.6,"https://doi.org/10.1016/j.csr.2021.104554"
"5","Voltz et al 2021","BV A1-8","Authie Estuary","A1-8","Salt marsh",50.376389,1.591667,"direct from dataset","1","France",2018,0,0.01,"EA",3.35,0.08,11.2,1.6,"https://doi.org/10.1016/j.csr.2021.104554"
"6","Voltz et al 2021","BV A1-9","Authie Estuary","A1-9","Salt marsh",50.376667,1.593333,"direct from dataset","1","France",2018,0,0.01,"EA",7.92,0.08,24.8,3.7,"https://doi.org/10.1016/j.csr.2021.104554"
"7","Voltz et al 2021","BV A2-4","Authie Estuary","A2-4","Salt marsh",50.371389,1.5925,"direct from dataset","1","France",2018,0,0.01,"EA",1.91,0.05,9.8,1.4,"https://doi.org/10.1016/j.csr.2021.104554"
"8","Voltz et al 2021","BV A2-5","Authie Estuary","A2-5","Salt marsh",50.372778,1.594167,"direct from dataset","1","France",2018,0,0.01,"EA",2.27,0.04,9.1,0.9,"https://doi.org/10.1016/j.csr.2021.104554"
"9","Voltz et al 2021","BV A2-6","Authie Estuary","A2-6","Salt marsh",50.374167,1.596111,"direct from dataset","1","France",2018,0,0.01,"EA",2.26,0.03,11.1,0.5,"https://doi.org/10.1016/j.csr.2021.104554"
"10","Voltz et al 2021","BV A2-7","Authie Estuary","A2-7","Salt marsh",50.375556,1.597778,"direct from dataset","1","France",2018,0,0.01,"EA",2.9,0.07,10.9,0.8,"https://doi.org/10.1016/j.csr.2021.104554"
"11","Voltz et al 2021","BV A3-4","Authie Estuary","A3-4","Salt marsh",50.372778,1.603056,"direct from dataset","1","France",2018,0,0.01,"EA",2.24,0.1,11.9,0.4,"https://doi.org/10.1016/j.csr.2021.104554"
"12","Voltz et al 2021","BV A4-7","Authie Estuary","A4-7","Salt marsh",50.3675,1.576667,"direct from dataset","1","France",2018,0,0.01,"EA",0.5,0.01,3.6,0.4,"https://doi.org/10.1016/j.csr.2021.104554"
"13","Voltz et al 2021","BV A5-1","Authie Estuary","A5-1","Salt marsh",50.366389,1.578889,"direct from dataset","1","France",2018,0,0.01,"EA",1.28,0.14,7.4,2.2,"https://doi.org/10.1016/j.csr.2021.104554"
"14","Voltz et al 2021","BV A5-2","Authie Estuary","A5-2","Salt marsh",50.365,1.577222,"direct from dataset","1","France",2018,0,0.01,"EA",2.8,0.75,11.8,1.5,"https://doi.org/10.1016/j.csr.2021.104554"
"15","Voltz et al 2021","BV A5-3","Authie Estuary","A5-3","Salt marsh",50.363611,1.575278,"direct from dataset","1","France",2018,0,0.01,"EA",3.11,0.59,12.7,2,"https://doi.org/10.1016/j.csr.2021.104554"
"16","Voltz et al 2021","BV A5-4","Authie Estuary","A5-4","Salt marsh",50.362222,1.573611,"direct from dataset","1","France",2018,0,0.01,"EA",9.41,0.8,26.9,2.1,"https://doi.org/10.1016/j.csr.2021.104554"
"17","Voltz et al 2021","BV C1-4","Canche Estuary","C1-4","Salt marsh",50.535556,1.608611,"direct from dataset","1","France",2018,0,0.01,"EA",2.06,0.29,9.1,1.5,"https://doi.org/10.1016/j.csr.2021.104554"
"18","Voltz et al 2021","BV C1-5","Canche Estuary","C1-5","Salt marsh",50.536667,1.610833,"direct from dataset","1","France",2018,0,0.01,"EA",3.76,0.17,12.2,1.4,"https://doi.org/10.1016/j.csr.2021.104554"
"19","Voltz et al 2021","BV C2-3","Canche Estuary","C2-3","Salt marsh",50.532222,1.610833,"direct from dataset","1","France",2018,0,0.01,"EA",1.53,0.05,6.6,0.6,"https://doi.org/10.1016/j.csr.2021.104554"
"20","Voltz et al 2021","BV C2-4","Canche Estuary","C2-4","Salt marsh",50.532778,1.611944,"direct from dataset","1","France",2018,0,0.01,"EA",3.87,0.03,12.7,1.1,"https://doi.org/10.1016/j.csr.2021.104554"
"21","Voltz et al 2021","BV C3-2","Canche Estuary","C3-2","Salt marsh",50.529444,1.614444,"direct from dataset","1","France",2018,0,0.01,"EA",1.95,0.02,8.9,0.4,"https://doi.org/10.1016/j.csr.2021.104554"
"22","Voltz et al 2021","BV C3-3","Canche Estuary","C3-3","Salt marsh",50.530833,1.6175,"direct from dataset","1","France",2018,0,0.01,"EA",2.96,0.15,13,1.1,"https://doi.org/10.1016/j.csr.2021.104554"
"23","Voltz et al 2021","BV C3-4","Canche Estuary","C3-4","Salt marsh",50.531944,1.619722,"direct from dataset","1","France",2018,0,0.01,"EA",1.97,0.02,9.6,0.6,"https://doi.org/10.1016/j.csr.2021.104554"
"24","Voltz et al 2021","BV C4-3","Canche Estuary","C4-3","Salt marsh",50.526667,1.618056,"direct from dataset","1","France",2018,0,0.01,"EA",1.93,0.06,7.7,0.8,"https://doi.org/10.1016/j.csr.2021.104554"
"25","Voltz et al 2021","BV C4-4","Canche Estuary","C4-4","Salt marsh",50.526944,1.618611,"direct from dataset","1","France",2018,0,0.01,"EA",3.33,0.17,12.2,1.7,"https://doi.org/10.1016/j.csr.2021.104554"
"26","Voltz et al 2021","BV C4-5","Canche Estuary","C4-5","Salt marsh",50.527778,1.620833,"direct from dataset","1","France",2018,0,0.01,"EA",2.86,0.04,8.9,0.6,"https://doi.org/10.1016/j.csr.2021.104554"
"27","Voltz et al 2021","BV C5-2","Canche Estuary","C5-2","Salt marsh",50.523611,1.621389,"direct from dataset","1","France",2018,0,0.01,"EA",1.48,0.49,5.6,1.1,"https://doi.org/10.1016/j.csr.2021.104554"
"28","Voltz et al 2021","BV C5-3","Canche Estuary","C5-3","Salt marsh",50.523889,1.621944,"direct from dataset","1","France",2018,0,0.01,"EA",2.59,0.15,9.5,0.3,"https://doi.org/10.1016/j.csr.2021.104554"
"29","Voltz et al 2021","BV C5-4","Canche Estuary","C5-4","Salt marsh",50.525,1.624167,"direct from dataset","1","France",2018,0,0.01,"EA",5.95,1.22,16.3,0.7,"https://doi.org/10.1016/j.csr.2021.104554"
"30","Voltz et al 2021","BV C7-2","Canche Estuary","C7-2","Salt marsh",50.534167,1.5975,"direct from dataset","1","France",2018,0,0.01,"EA",3.37,0.17,13.3,0.4,"https://doi.org/10.1016/j.csr.2021.104554"
