"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_interpol_g_cm3","DOI"
"1","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0,0.03,"EA",7.170711683,0.668,"https://doi.org/10.17632/2nnv9bw3hh.2"
"2","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.03,0.06,"EA",5.581693822,0.675851425213047,"https://doi.org/10.17632/2nnv9bw3hh.2"
"3","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.06,0.09,"EA",5.251298225,0.687628563032618,"https://doi.org/10.17632/2nnv9bw3hh.2"
"4","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.09,0.12,"EA",NA,0.673523361739642,"https://doi.org/10.17632/2nnv9bw3hh.2"
"5","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.12,0.15,"EA",3.479860956,0.677990008815751,"https://doi.org/10.17632/2nnv9bw3hh.2"
"6","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.18,0.21,"EA",3.41000809,0.761210696444314,"https://doi.org/10.17632/2nnv9bw3hh.2"
"7","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.24,0.27,"EA",2.562733554,0.820805171907141,"https://doi.org/10.17632/2nnv9bw3hh.2"
"8","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.27,0.3,"EA",NA,0.838789303555686,"https://doi.org/10.17632/2nnv9bw3hh.2"
"9","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.3,0.33,"EA",2.237887945,0.856773435204232,"https://doi.org/10.17632/2nnv9bw3hh.2"
"10","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.36,0.39,"EA",2.111223268,0.721716132823979,"https://doi.org/10.17632/2nnv9bw3hh.2"
