"","Source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.38,"https://doi.org/10.1007/s10021-020-00520-9"
"2","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.49,"https://doi.org/10.1007/s10021-020-00520-9"
"3","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.25,"https://doi.org/10.1007/s10021-020-00520-9"
"4","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.4,"https://doi.org/10.1007/s10021-020-00520-9"
"5","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.19,"https://doi.org/10.1007/s10021-020-00520-9"
"6","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"7","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.38,"https://doi.org/10.1007/s10021-020-00520-9"
"8","Gorham et al 2021","CG CO1","CO1","Saltmarsh",-33.886644,120.091886,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.3,"https://doi.org/10.1007/s10021-020-00520-9"
"9","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,1.35,"https://doi.org/10.1007/s10021-020-00520-9"
"10","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.77,"https://doi.org/10.1007/s10021-020-00520-9"
"11","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.15,"https://doi.org/10.1007/s10021-020-00520-9"
"12","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.18,"https://doi.org/10.1007/s10021-020-00520-9"
"13","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.24,"https://doi.org/10.1007/s10021-020-00520-9"
"14","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.12,"https://doi.org/10.1007/s10021-020-00520-9"
