"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0132,"EA",NA,97.78,0.061,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"2","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0132,0.0264,"EA",43.77,93.18,0.068,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"3","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0264,0.0396,"EA",NA,95.22,0.061,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"4","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0396,0.0528,"EA",NA,99.65,0.045,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"5","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0528,0.066,"EA",NA,101.63,0.083,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"6","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.066,0.0791,"EA",NA,101.77,0.068,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"7","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0791,0.0923,"EA",40.81,87.16,0.061,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"8","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0923,0.1055,"EA",NA,87.17,0.076,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"9","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1055,0.1187,"EA",NA,87.87,0.083,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"10","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1187,0.1319,"EA",NA,81.32,0.091,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"11","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1319,0.1451,"EA",NA,72.94,0.091,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"12","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1451,0.1583,"EA",33.16,77.78,0.083,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"13","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1583,0.1715,"EA",NA,70.23,0.106,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
