"","Source","Original_source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","Year_collected_end","Method","DOI"
"20","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0,0.1,0.46,"0.056","1.48","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"21","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.394,"0.049","1.78","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"22","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.328,"0.052","1.65","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"23","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.413,"0.058","1.61","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"24","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.449,"0.05","1.66","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"25","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.359,"0.045","1.7","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"26","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.8,1,0.425,"0.06","1.67","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"27","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0,0.1,0.427,"0.048","1.54","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"28","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.407,"0.04","1.75","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"29","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.379,"0.045","1.76","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"30","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.379,"0.053","1.7","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"31","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.504,"0.049","1.64","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"32","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.5,"0.054","1.64","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"33","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.8,1,0.491,"0.052","1.65","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"34","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0,0.1,0.982,"0.126","1.68","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"35","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.684,"0.105","1.43","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"36","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.951,"0.125","1.4","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"37","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.974,"0.118","1.46","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"38","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.686,"0.084","1.57","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"39","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.473,"0.071","1.65","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"40","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.8,1,0.363,"0.05","1.69","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"41","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0,0.1,0.929,"0.13","1.41","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"42","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.1,0.2,1.041,"0.118","1.52","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"43","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.947,"0.13","1.6","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"44","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.936,"0.132","1.46","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"45","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.923,"0.126","1.48","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"46","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.6,0.8,1.18,"0.168","1.39","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"47","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.8,1,1.251,"0.18","1.36","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"48","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0,0.1,0.772,"0.089","1.53","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"49","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.607,"0.08","1.73","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"50","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.611,"0.073","1.73","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"51","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.378,"0.073","1.68","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"52","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.373,"0.074","1.69","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"53","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.609,"0.073","1.6","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"54","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.8,1,0.482,"0.078","1.65","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"55","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0,0.1,1.145,"0.113","1.34","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"56","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.806,"0.087","1.52","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"57","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.596,"0.066","1.49","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"58","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.544,"0.073","1.62","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"59","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.568,"0.065","1.62","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"60","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.597,"0.07","1.61","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"61","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.8,1,0.518,"0.06","1.64","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"62","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0,0.1,0.5,"0.065","1.57","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"63","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.457,"0.053","1.82","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"64","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.407,"0.061","1.79","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"65","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.415,"0.051","1.74","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"66","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.456,"0.057","1.66","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"67","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.486,"0.058","1.65","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"68","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.8,1,0.527,"0.054","1.63","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"69","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0,0.1,0.796,"0.087","1.4","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"70","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.459,"0.066","1.55","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"71","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.479,"0.055","1.72","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"72","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.446,"0.059","1.74","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"73","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.438,"0.051","1.67","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"74","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.37,"0.048","1.69","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"75","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.8,1,0.39,"0.051","1.68","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"76","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0,0.1,0.524,"0.063","1.61","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"77","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.1,0.2,0.48,"0.064","1.78","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"78","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.2,0.3,0.514,"0.052","1.72","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"79","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.3,0.4,0.488,"0.058","1.76","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"80","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.4,0.6,0.53,"0.055","1.63","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"81","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.6,0.8,0.527,"0.062","1.63","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"82","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.8,1,0.489,"0.05","1.65","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"83","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0,0.1,1.308,"0.151","0.76","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"84","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.1,0.2,0.983,"0.115","1.08","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"85","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.2,0.3,0.694,"0.078","1.49","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"86","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.3,0.4,0.761,"0.089","1.4","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"87","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0,0.1,1.349,"0.149","1.05","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"88","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.1,0.2,1.172,"0.135","1.06","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"89","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.2,0.3,0.63,"0.084","1.48","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"90","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.3,0.4,0.469,"0.079","1.53","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"91","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0,0.1,1.358,"0.155","0.99","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"92","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.1,0.2,0.726,"0.091","1.38","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"93","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.2,0.3,0.583,"0.079","1.34","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"94","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.3,0.4,0.45,"0.07","1.52","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"95","Xia et al 2022","Xia et al 2022","SX Chongming Island 1","Chongming Island 1","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0,0.1,2.008,"0.161","0.68","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"96","Xia et al 2022","Xia et al 2022","SX Chongming Island 1","Chongming Island 1","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0.1,0.2,2.667,"0.213","0.81","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"97","Xia et al 2022","Xia et al 2022","SX Chongming Island 1","Chongming Island 1","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0.2,0.3,1.966,"0.134","0.82","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"98","Xia et al 2022","Xia et al 2022","SX Chongming Island 1","Chongming Island 1","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0.3,0.4,1.874,"0.12","0.95","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"99","Xia et al 2022","Xia et al 2022","SX Chongming Island 2","Chongming Island 2","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0,0.1,2.29,"0.173","0.55","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"100","Xia et al 2022","Xia et al 2022","SX Chongming Island 2","Chongming Island 2","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0.1,0.2,2.207,"0.168","0.72","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"101","Xia et al 2022","Xia et al 2022","SX Chongming Island 2","Chongming Island 2","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0.2,0.3,1.67,"0.092","1.08","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"102","Xia et al 2022","Xia et al 2022","SX Chongming Island 2","Chongming Island 2","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0.3,0.4,1.649,"0.091","1.02","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
"103","Xia et al 2022","Xia et al 2022","SX Chongming Island 3","Chongming Island 3","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0,0.1,2.061,"0.172","0.63","2019","EA","https://doi.org/10.6084/m9.figshare.20180450.v1"
