"","Source","Site_name","Site","Core","Treatment","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","SOM_perc","DOI"
"1","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0,0.01,"EA",17.081,0.17,33.55,"https://doi.org/10.1002/lno.12011"
"2","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",15.6616666666667,0.2,41.0966666666667,"https://doi.org/10.1002/lno.12011"
"3","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",17.077,0.21,39.95,"https://doi.org/10.1002/lno.12011"
"4","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",15.1,0.21,39.79,"https://doi.org/10.1002/lno.12011"
"5","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",12.039,0.28,33.72,"https://doi.org/10.1002/lno.12011"
"6","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",17.463,0.27,40.78,"https://doi.org/10.1002/lno.12011"
"7","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",13.653,0.23,35.15,"https://doi.org/10.1002/lno.12011"
"8","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",15.283,0.27,43.515,"https://doi.org/10.1002/lno.12011"
"9","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",9.766,0.27,31.92,"https://doi.org/10.1002/lno.12011"
"10","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",9.717,0.26,40.4,"https://doi.org/10.1002/lno.12011"
"11","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",14.051,0.22,31.56,"https://doi.org/10.1002/lno.12011"
"12","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",14.045,0.31,37.2,"https://doi.org/10.1002/lno.12011"
"13","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",10.393,0.496666666666667,26.3733333333333,"https://doi.org/10.1002/lno.12011"
"14","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",10.007,0.58,27.29,"https://doi.org/10.1002/lno.12011"
"15","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",NA,NA,NA,"https://doi.org/10.1002/lno.12011"
"16","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",3.8,0.98,12.06,"https://doi.org/10.1002/lno.12011"
"17","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",0.485,1.03,7.71,"https://doi.org/10.1002/lno.12011"
"18","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",1.373,1.03333333333333,9.82333333333333,"https://doi.org/10.1002/lno.12011"
"19","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",0.867,1.27,3.72,"https://doi.org/10.1002/lno.12011"
"20","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",0.369,1.25,6.23,"https://doi.org/10.1002/lno.12011"
"21","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",0.555,1.31,2.71,"https://doi.org/10.1002/lno.12011"
"22","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",0.323,1.42,2.43,"https://doi.org/10.1002/lno.12011"
"23","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.4525,1.36,3.445,"https://doi.org/10.1002/lno.12011"
"24","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",0.235,1.31,3.27,"https://doi.org/10.1002/lno.12011"
"25","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",0.42,1.28,2.24,"https://doi.org/10.1002/lno.12011"
"26","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.4,0.42,"EA",0.193,1.2,2.19,"https://doi.org/10.1002/lno.12011"
"27","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.42,0.46,"EA",0.263,1.37,1.51,"https://doi.org/10.1002/lno.12011"
"28","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.46,0.5,"EA",0.158,1.31,2.03,"https://doi.org/10.1002/lno.12011"
"29","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.5,0.54,"EA",0.053,1.23,2.02,"https://doi.org/10.1002/lno.12011"
"30","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.54,0.58,"EA",0.316,1.16,4.11,"https://doi.org/10.1002/lno.12011"
"31","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0,0.01,"EA",12.164,0.18,24.57,"https://doi.org/10.1002/lno.12011"
"32","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",12.3416666666667,0.21,35.23,"https://doi.org/10.1002/lno.12011"
"33","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",12.379,0.27,47.05,"https://doi.org/10.1002/lno.12011"
"34","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",11.019,0.26,23.19,"https://doi.org/10.1002/lno.12011"
"35","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",9.424,0.27,27.38,"https://doi.org/10.1002/lno.12011"
"36","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",9.736,0.27,28.05,"https://doi.org/10.1002/lno.12011"
"37","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",8.467,0.25,22.87,"https://doi.org/10.1002/lno.12011"
"38","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",8.878,0.386666666666667,35.3533333333333,"https://doi.org/10.1002/lno.12011"
"39","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",4.164,0.52,26.51,"https://doi.org/10.1002/lno.12011"
"40","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",4.259,0.79,15.1,"https://doi.org/10.1002/lno.12011"
"41","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",7.176,0.57,24.12,"https://doi.org/10.1002/lno.12011"
"42","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",5.039,0.98,21.6,"https://doi.org/10.1002/lno.12011"
"43","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",1.323,1.09,9.16,"https://doi.org/10.1002/lno.12011"
"44","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",0.965,1.19,6.6,"https://doi.org/10.1002/lno.12011"
"45","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",0.33,1.25,7.18,"https://doi.org/10.1002/lno.12011"
"46","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",0.349,1.24,3.79,"https://doi.org/10.1002/lno.12011"
"47","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",0.17,1.63,4.32,"https://doi.org/10.1002/lno.12011"
"48","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",0.231,1.51,3.19333333333333,"https://doi.org/10.1002/lno.12011"
"49","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",NA,NA,NA,"https://doi.org/10.1002/lno.12011"
"50","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",NA,NA,NA,"https://doi.org/10.1002/lno.12011"
"51","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",0.096,1.49,1.87,"https://doi.org/10.1002/lno.12011"
"52","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",0.121,1.54,3.06,"https://doi.org/10.1002/lno.12011"
"53","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.266333333333333,1.43,3.04,"https://doi.org/10.1002/lno.12011"
"54","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",0.162,1.23,1.91,"https://doi.org/10.1002/lno.12011"
"55","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",0.471,1.64,2.35,"https://doi.org/10.1002/lno.12011"
"56","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.4,0.42,"EA",0.08,1.36,1.42,"https://doi.org/10.1002/lno.12011"
