"","Plot","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Depth_to_bedrock_m","Method","Conv_factor","OC_perc_mean","OC_perc_SD","BD_g_cm3_mean","BD_g_cm3_SD","DOI"
"1","T3 - 2","Gailis et al 2021","MG T3 - 2","Boundary Bay, BC","Salt marsh",49.04725,-123.0458889,"direct from dataset","1","Canada",2018,0,0.1,0.75,"LOI","0.44x -1.33","21.1 "," 6.1","0.32 "," 0.09","https://doi.org/10.1080/21664250.2021.1894815"
"2","T3 - A","Gailis et al 2021","MG T3 - A","Boundary Bay, BC","Salt marsh",49.04697222,-123.0468889,"direct from dataset","1","Canada",2018,0,0.1,0.52,"LOI","0.44x -1.33","11.1"," 5.4","0.42 "," 0.09","https://doi.org/10.1080/21664250.2021.1894815"
"3","C2","Gailis et al 2021","MG C2","Boundary Bay, BC","Salt marsh",49.04844444,-123.0461389,"direct from dataset","1","Canada",2018,0,0.1,NA,"LOI","0.44x -1.33","6.5 "," 6.6","0.76 "," 0.31","https://doi.org/10.1080/21664250.2021.1894815"
"4","C3","Gailis et al 2021","MG C3","Boundary Bay, BC","Salt marsh",49.04811111,-123.0442778,"direct from dataset","1","Canada",2018,0,0.1,0.25,"LOI","0.44x -1.33","9.0 "," 7.5","0.59 "," 0.23","https://doi.org/10.1080/21664250.2021.1894815"
"5","BB1","Gailis et al 2021","MG BB1","Boundary Bay, BC","Salt marsh",49.04877778,-123.0457222,"direct from dataset","1","Canada",2017,0,0.1,0.21,"LOI","0.44x -1.33","10.3 "," 2.4","0.51 "," 0.23","https://doi.org/10.1080/21664250.2021.1894815"
"6","BB1-4","Gailis et al 2021","MG BB1-4","Boundary Bay, BC","Salt marsh",49.04880556,-123.0459722,"direct from dataset","1","Canada",2014,0,0.1,NA,"LOI","0.44x -1.33","11.4 "," 3.7","0.41 "," 0.12","https://doi.org/10.1080/21664250.2021.1894815"
"7","BB1-3","Gailis et al 2021","MG BB1-3","Boundary Bay, BC","Salt marsh",49.04741667,-123.0455278,"direct from dataset","1","Canada",2014,0,0.1,NA,"LOI","0.44x -1.33","5.3 "," 5.4","0.78 "," 0.41","https://doi.org/10.1080/21664250.2021.1894815"
"8","BB2-5","Gailis et al 2021","MG BB2-5","Boundary Bay, BC","Salt marsh",49.05005556,-123.0375833,"direct from dataset","1","Canada",2014,0,0.1,NA,"LOI","0.44x -1.33","12.2 "," 2.5","0.56 "," 0.46","https://doi.org/10.1080/21664250.2021.1894815"
"9","T2-EA","Gailis et al 2021","MG T2-EA","Boundary Bay, BC","Salt marsh",49.05030556,-123.0346944,"direct from dataset","1","Canada",2018,0,0.1,0.5,"LOI","0.44x -1.33","14.0 "," 7.9","0.44 "," 0.26","https://doi.org/10.1080/21664250.2021.1894815"
"10","W-A","Gailis et al 2021","MG W-A","Boundary Bay, BC","Salt marsh",49.04338889,-123.0486944,"direct from dataset","1","Canada",2018,0,0.1,NA,"LOI","0.44x -1.33","20.6 "," 12.2","0.41 "," 0.29","https://doi.org/10.1080/21664250.2021.1894815"
"11","C1","Gailis et al 2021","MG C1","Boundary Bay, BC","Salt marsh",49.04844444,-123.0456944,"direct from dataset","1","Canada",2018,0,0.1,NA,"LOI","0.44x -1.33","10.0 "," 4.6","0.55 "," 0.16","https://doi.org/10.1080/21664250.2021.1894815"
"12","SP2","Gailis et al 2021","MG SP2","Boundary Bay, BC","Salt marsh",49.04752778,-123.0436111,"direct from dataset","1","Canada",2018,0,0.1,0.23,"LOI","0.44x -1.33","6.5 "," 5.6","0.66 "," 0.26","https://doi.org/10.1080/21664250.2021.1894815"
"13","T3 - 1","Gailis et al 2021","MG T3 - 1","Boundary Bay, BC","Salt marsh",49.048,-123.0468611,"direct from dataset","1","Canada",2018,0,0.1,0.35,"LOI","0.44x -1.33","8.6 "," 5.4","0.50 "," 0.21","https://doi.org/10.1080/21664250.2021.1894815"
"14","BB1 - 2","Gailis et al 2021","MG BB1 - 2","Boundary Bay, BC","Salt marsh",49.04711111,-123.04525,"direct from dataset","1","Canada",2014,0,0.1,NA,"LOI","0.44x -1.33","3.9 "," 2.8","0.61 "," 0.25","https://doi.org/10.1080/21664250.2021.1894815"
"15","BB2","Gailis et al 2021","MG BB2","Boundary Bay, BC","Salt marsh",49.04655556,-123.0444444,"direct from dataset","1","Canada",2017,0,0.1,0.23,"LOI","0.44x -1.33","1.2 "," 1.1","0.94 "," 0.16","https://doi.org/10.1080/21664250.2021.1894815"
"16","BB1 - 1","Gailis et al 2021","MG BB1 - 1","Boundary Bay, BC","Salt marsh",49.04555556,-123.0446667,"direct from dataset","1","Canada",2014,0,0.1,NA,"LOI","0.44x -1.33","2.3 "," 2.4","0.74 "," 0.21","https://doi.org/10.1080/21664250.2021.1894815"
"17","BB2 - 4","Gailis et al 2021","MG BB2 - 4","Boundary Bay, BC","Salt marsh",49.04975,-123.0370556,"direct from dataset","1","Canada",2014,0,0.1,NA,"LOI","0.44x -1.33","2.8 "," 2.5","0.58 "," 0.21","https://doi.org/10.1080/21664250.2021.1894815"
