Marsh_type,Marsh_zone,Source,Site_name,Site,Core,Habitat_type,Soil_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Nation,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,DOI
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Fibrous Peat (Silty),50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0,0.02,EA,10.291,0.23794725,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Fibrous Peat (Silty),50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.04,0.06,EA,10.455,0.315034831,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Silt with Organics,50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.1,0.12,EA,6.917,0.550831721,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Silt with Organics,50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.2,0.22,EA,4.955,0.488832029,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Silt with Organics,50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.3,0.32,EA,5.25,0.380981566,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Silt with Organics,50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.4,0.42,EA,5.46,0.409396029,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Silt with Organics,50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.5,0.52,EA,6.672,0.32046732,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-01,Arne,ARN-20-01,NA,Silt with Organics,50.690512,-2.0286577,direct from dataset,1,UK,England,2020,0.6,0.62,EA,4.906,0.409968986,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Fibrous Peat (Silty),50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0,0.02,EA,8.632,0.178508184,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Fibrous Peat (Silty),50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.04,0.06,EA,6.236,0.252044841,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Silt with Organics,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.1,0.12,EA,5.233,0.280664437,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Silt with Organics,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.2,0.22,EA,8.55,0.355240907,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Silt with Organics,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.3,0.32,EA,5.262,0.324711452,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Silt with Organics,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.4,0.42,EA,5.935,0.374707324,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Silt with Organics,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.5,0.52,EA,5.735,0.361069514,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Silt with Organics,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.6,0.62,EA,4.989,0.409516279,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Basal Silt,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.7,0.72,EA,5.579,0.257364153,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-02,Arne,ARN-20-02,NA,Basal Silt,50.690396,-2.0283886,direct from dataset,1,UK,England,2020,0.8,0.82,EA,6.818,0.186911565,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Fibrous Peat ,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0,0.02,EA,8.952,0.183332347,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Fibrous Peat ,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.04,0.06,EA,6.474,0.338575616,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Organic Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.1,0.12,EA,6.048,0.336644536,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Organic Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.2,0.22,EA,4.847,0.335307634,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Organic Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.3,0.32,EA,4.89,0.360574366,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Basal Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.4,0.42,EA,8.532,0.477811433,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Basal Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.5,0.52,EA,2.461,0.364259687,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Basal Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.6,0.62,EA,3.418,0.391507013,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-03,Arne,ARN-20-03,NA,Basal Silt,50.690261,-2.0280488,direct from dataset,1,UK,England,2020,0.7,0.72,EA,3.02,0.423663385,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-04,Arne,ARN-20-04,NA,Fibrous Peat (Silty),50.690117,-2.0277089,direct from dataset,1,UK,England,2020,0,0.02,EA,26.736,0.193221174,unpublished
Natural,NA,Smeaton et al 2022a,CS ARN-20-04,Arne,ARN-20-04,NA,Fibrous Peat (Silty),50.690117,-2.0277089,direct from dataset,1,UK,England,2020,0.04,0.06,EA,25.891,0.265753387,unpublished
