"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Adame et al 2020","MFA IC Plot 1","Insulator Creek","Plot 1","Salt marsh",-18.8952599104916,146.26099029562,"direct from dataset and estimated","1","Australia",2016,0,0.1,"EA",1,1.23,"https://doi.org/10.1007/s10021-019-00414-5"
"2","Adame et al 2020","MFA IC Plot 1","Insulator Creek","Plot 1","Salt marsh",-18.8952599104916,146.26099029562,"direct from dataset and estimated","1","Australia",2016,0.15,0.3,"EA",1.4,1.21,"https://doi.org/10.1007/s10021-019-00414-5"
"3","Adame et al 2020","MFA IC Plot 1","Insulator Creek","Plot 1","Salt marsh",-18.8952599104916,146.26099029562,"direct from dataset and estimated","1","Australia",2016,0.3,0.5,"EA",0.7,1.08,"https://doi.org/10.1007/s10021-019-00414-5"
"4","Adame et al 2020","MFA IC Plot 1","Insulator Creek","Plot 1","Salt marsh",-18.8952599104916,146.26099029562,"direct from dataset and estimated","1","Australia",2016,0.5,1,"EA",0.5,1.23,"https://doi.org/10.1007/s10021-019-00414-5"
"5","Adame et al 2020","MFA IC Plot 2","Insulator Creek","Plot 2","Salt marsh",-18.8951126708873,146.260891898981,"direct from dataset and estimated","1","Australia",2016,0,0.15,"EA",1.2,0.71,"https://doi.org/10.1007/s10021-019-00414-5"
"6","Adame et al 2020","MFA IC Plot 2","Insulator Creek","Plot 2","Salt marsh",-18.8951126708873,146.260891898981,"direct from dataset and estimated","1","Australia",2016,0.15,0.3,"EA",1.4,1.34,"https://doi.org/10.1007/s10021-019-00414-5"
"7","Adame et al 2020","MFA IC Plot 2","Insulator Creek","Plot 2","Salt marsh",-18.8951126708873,146.260891898981,"direct from dataset and estimated","1","Australia",2016,0.3,0.5,"EA",0.8,1.2,"https://doi.org/10.1007/s10021-019-00414-5"
"8","Adame et al 2020","MFA IC Plot 2","Insulator Creek","Plot 2","Salt marsh",-18.8951126708873,146.260891898981,"direct from dataset and estimated","1","Australia",2016,0.5,1,"EA",0.6,1.47,"https://doi.org/10.1007/s10021-019-00414-5"
"9","Adame et al 2020","MFA IC Plot 3","Insulator Creek","Plot 3","Salt marsh",-18.8949543496924,146.26078599736,"direct from dataset and estimated","1","Australia",2016,0,0.15,"EA",1.6,1.2,"https://doi.org/10.1007/s10021-019-00414-5"
"10","Adame et al 2020","MFA IC Plot 3","Insulator Creek","Plot 3","Salt marsh",-18.8949543496924,146.26078599736,"direct from dataset and estimated","1","Australia",2016,0.15,0.3,"EA",1.5,1.18,"https://doi.org/10.1007/s10021-019-00414-5"
"11","Adame et al 2020","MFA IC Plot 3","Insulator Creek","Plot 3","Salt marsh",-18.8949543496924,146.26078599736,"direct from dataset and estimated","1","Australia",2016,0.3,0.5,"EA",NA,1.39,"https://doi.org/10.1007/s10021-019-00414-5"
"12","Adame et al 2020","MFA IC Plot 3","Insulator Creek","Plot 3","Salt marsh",-18.8949543496924,146.26078599736,"direct from dataset and estimated","1","Australia",2016,0.8,1,"EA",0.6,1.11,"https://doi.org/10.1007/s10021-019-00414-5"
"13","Adame et al 2020","MFA IC Plot 4","Insulator Creek","Plot 4","Salt marsh",-18.8947947982654,146.260679754221,"direct from dataset and estimated","1","Australia",2016,0,0.15,"EA",1.2,1.31,"https://doi.org/10.1007/s10021-019-00414-5"
"14","Adame et al 2020","MFA IC Plot 4","Insulator Creek","Plot 4","Salt marsh",-18.8947947982654,146.260679754221,"direct from dataset and estimated","1","Australia",2016,0.15,0.3,"EA",1,1.56,"https://doi.org/10.1007/s10021-019-00414-5"
"15","Adame et al 2020","MFA IC Plot 4","Insulator Creek","Plot 4","Salt marsh",-18.8947947982654,146.260679754221,"direct from dataset and estimated","1","Australia",2016,0.3,0.5,"EA",0.5,1.43,"https://doi.org/10.1007/s10021-019-00414-5"
"16","Adame et al 2020","MFA IC Plot 4","Insulator Creek","Plot 4","Salt marsh",-18.8947947982654,146.260679754221,"direct from dataset and estimated","1","Australia",2016,0.8,1,"EA",0.6,1.25,"https://doi.org/10.1007/s10021-019-00414-5"
"17","Adame et al 2020","MFA IC Plot 5","Insulator Creek","Plot 5","Salt marsh",-18.8945943468993,146.260541666667,"direct from dataset and estimated","1","Australia",2016,0,0.15,"EA",4.6,0.57,"https://doi.org/10.1007/s10021-019-00414-5"
"18","Adame et al 2020","MFA IC Plot 5","Insulator Creek","Plot 5","Salt marsh",-18.8945943468993,146.260541666667,"direct from dataset and estimated","1","Australia",2016,0.15,0.3,"EA",4.3,1.27,"https://doi.org/10.1007/s10021-019-00414-5"
"19","Adame et al 2020","MFA IC Plot 5","Insulator Creek","Plot 5","Salt marsh",-18.8945943468993,146.260541666667,"direct from dataset and estimated","1","Australia",2016,0.3,0.5,"EA",0.6,1.47,"https://doi.org/10.1007/s10021-019-00414-5"
