"","Source","Site_name","Original_source","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","SOM_perc","SOM_perc_mean","SOM_perc_sd","OC_perc","OC_perc_mean","OC_perc_sd","BD_reported_g_cm3","DOI"
"1","Copertino et al under review","MC 4","Braga et al 2011","Algodoal",4,"Salt marsh",-0.5884,-47.5893,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.17,0.07,NA,0.08,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"2","Copertino et al under review","MC 87","Negrin et al 2019","Bahia Blanca Spartina",87,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina",2011,0,0.15,"LOI","0.47*x+0.0008",NA,8.9,1.75,NA,4.18,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"3","Copertino et al under review","MC 88","Negrin et al 2019","Bahia Blanca Spartina",88,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina",2011,0,0.15,"LOI","0.47*x+0.0008",NA,2.36,0.75,NA,1.11,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"4","Copertino et al under review","MC 89","Negrin et al 2019","Bahia Blanca Spartina",89,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina",2011,0,0.15,"LOI","0.47*x+0.0008",NA,8.56,0.45,NA,4.02,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"5","Copertino et al under review","MC 8","Braga et al 2011","Bragança",8,"Salt marsh",-0.8173,-46.6183,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.39,0.27,NA,0.18,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"6","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil",1974,0,0.05,"Wilson (1973)","0.47*x+0.0008",10.2,NA,NA,3.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"7","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil",1974,0.05,0.1,"Wilson (1973)","0.47*x+0.0008",16.08,NA,NA,4.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"8","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil",1974,0.1,0.2,"Wilson (1973)","0.47*x+0.0008",15.07,NA,NA,5.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"9","Copertino et al under review","MC 21","Flynn et al 1998","Cananéia / Pta. Arrozal",21,"Salt marsh",-25.0366,-47.9282,"direct from dataset","1","Brazil",1988,0,0.1,"SOM by Suguio (1973)","0.47*x+0.0008",NA,0.03,NA,0.01,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"10","Copertino et al under review","MC 24","Flynn et al 1998","Cananéia / Pta. Arrozal",24,"Salt marsh",-25.0366,-47.9282,"direct from dataset","1","Brazil",1988,0,0.1,"SOM by Suguio (1973)","0.47*x+0.0008",NA,1.27,NA,0.6,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"11","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0,0.015,"EA","0.47*x+0.0008",NA,NA,NA,4.3,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"12","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0.015,0.045,"EA","0.47*x+0.0008",NA,NA,NA,4.6,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"13","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0.045,0.08,"EA","0.47*x+0.0008",NA,NA,NA,4.15,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"14","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0.08,0.125,"EA","0.47*x+0.0008",NA,NA,NA,3.7,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"15","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0.125,0.175,"EA","0.47*x+0.0008",NA,NA,NA,4.1,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"16","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0.175,0.225,"EA","0.47*x+0.0008",NA,NA,NA,3.6,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"17","Copertino et al under review","MC 16","Otero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.996546,-47.907042,"direct from dataset","1","Brazil",2004,0.225,0.275,"EA","0.47*x+0.0008",NA,NA,NA,2.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"18","Copertino et al under review","MC 17","Ferreira 2008","Cananéia /Pai Matos",17,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil",2005,0,0.05,"EA","0.47*x+0.0008",NA,NA,NA,3.7,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"19","Copertino et al under review","MC 17","Ferreira 2008","Cananéia /Pai Matos",17,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil",2005,0.05,0.1,"EA","0.47*x+0.0008",NA,NA,NA,4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"20","Copertino et al under review","MC 17","Ferreira 2008","Cananéia /Pai Matos",17,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil",2005,0.2,0.4,"EA","0.47*x+0.0008",NA,NA,NA,4.02,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"21","Copertino et al under review","MC 7","Braga et al 2011","Canela",7,"Salt marsh",-0.7869,-46.7238,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.18,0.06,NA,0.09,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
