"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","DOI"
"1","Li et al 2019","YL Hongguang","Hongguang","Hongguang1-1","Salt marsh","37.525353","118.90849","direct from dataset","1","China","2018",0,0.15,"EA",0.61,"https://doi.org/10.1371/journal.pone.0210768"
"2","Li et al 2019","YL Hongguang","Hongguang","Hongguang1-2","Salt marsh","37.52537","118.9089","direct from dataset","1","China","2018",0,0.15,"EA",0.709,"https://doi.org/10.1371/journal.pone.0210768"
"3","Li et al 2019","YL Hongguang","Hongguang","Hongguang1-3","Salt marsh","37.525387","118.90929","direct from dataset","1","China","2018",0,0.15,"EA",0.675,"https://doi.org/10.1371/journal.pone.0210768"
"4","Li et al 2019","YL Hongguang","Hongguang","Hongguang2-1","Salt marsh","37.525668","118.90802","direct from dataset","1","China","2018",0,0.15,"EA",0.634,"https://doi.org/10.1371/journal.pone.0210768"
"5","Li et al 2019","YL Hongguang","Hongguang","Hongguang2-2","Salt marsh","37.525702","118.90836","direct from dataset","1","China","2018",0,0.15,"EA",0.656,"https://doi.org/10.1371/journal.pone.0210768"
"6","Li et al 2019","YL Hongguang","Hongguang","Hongguang2-3","Salt marsh","37.525736","118.90878","direct from dataset","1","China","2018",0,0.15,"EA",0.594,"https://doi.org/10.1371/journal.pone.0210768"
"7","Li et al 2019","YL Hongguang","Hongguang","Hongguang3-1","Salt marsh","37.525893","118.9081","direct from dataset","1","China","2018",0,0.15,"EA",0.73,"https://doi.org/10.1371/journal.pone.0210768"
"8","Li et al 2019","YL Hongguang","Hongguang","Hongguang3-2","Salt marsh","37.525931","118.90847","direct from dataset","1","China","2018",0,0.15,"EA",0.601,"https://doi.org/10.1371/journal.pone.0210768"
"9","Li et al 2019","YL Hongguang","Hongguang","Hongguang3-3","Salt marsh","37.525961","118.90886","direct from dataset","1","China","2018",0,0.15,"EA",0.602,"https://doi.org/10.1371/journal.pone.0210768"
"10","Li et al 2019","YL Hongguang","Hongguang","Hongguang4-1","Salt marsh","37.526323","118.90763","direct from dataset","1","China","2018",0,0.15,"EA",0.854,"https://doi.org/10.1371/journal.pone.0210768"
"11","Li et al 2019","YL Hongguang","Hongguang","Hongguang4-2","Salt marsh","37.526348","118.90797","direct from dataset","1","China","2018",0,0.15,"EA",0.824,"https://doi.org/10.1371/journal.pone.0210768"
"12","Li et al 2019","YL Hongguang","Hongguang","Hongguang4-3","Salt marsh","37.526416","118.90828","direct from dataset","1","China","2018",0,0.15,"EA",0.789,"https://doi.org/10.1371/journal.pone.0210768"
"13","Li et al 2019","YL Hongguang","Hongguang","Hongguang5-1","Salt marsh","37.52650","118.9080","direct from dataset","1","China","2018",0,0.15,"EA",0.61,"https://doi.org/10.1371/journal.pone.0210768"
"14","Li et al 2019","YL Hongguang","Hongguang","Hongguang5-2","Salt marsh","37.526565","118.9080","direct from dataset","1","China","2018",0,0.15,"EA",0.609,"https://doi.org/10.1371/journal.pone.0210768"
"15","Li et al 2019","YL Hongguang","Hongguang","Hongguang5-3","Salt marsh","37.526595","118.90832","direct from dataset","1","China","2018",0,0.15,"EA",0.732,"https://doi.org/10.1371/journal.pone.0210768"
"16","Li et al 2019","YL Hongguang","Hongguang","Hongguang6-1","Salt marsh","37.525144","118.90918","direct from dataset","1","China","2018",0,0.15,"EA",0.603,"https://doi.org/10.1371/journal.pone.0210768"
"17","Li et al 2019","YL Hongguang","Hongguang","Hongguang6-2","Salt marsh","37.525165","118.90953","direct from dataset","1","China","2018",0,0.15,"EA",0.594,"https://doi.org/10.1371/journal.pone.0210768"
"18","Li et al 2019","YL Hongguang","Hongguang","Hongguang6-3","Salt marsh","37.525183","118.90992","direct from dataset","1","China","2018",0,0.15,"EA",0.609,"https://doi.org/10.1371/journal.pone.0210768"
