Species,Source,Site_name,Site,Subsite,Season,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,SOM_perc,BD_reported_g_cm3,Conv_factor,DOI
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0,0.05,LOI,1.332480917,1.950710372,1.37209,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.05,0.1,LOI,0.955917213,1.618789963,1.72658,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.1,0.2,LOI,1.282630096,1.906769587,1.538943333,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.2,0.3,LOI,0.85932496,1.533649149,1.62103,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.3,0.4,LOI,1.008730097,1.665341646,1.486733333,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.4,0.5,LOI,0.993075918,1.651543339,1.527003333,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.5,0.65,LOI,1.176881894,1.813558303,1.335286667,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.65,0.85,LOI,0.652211753,1.35109013,1.479156667,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 1,Swartkops Estuary,1,Summer,Swartkops_Summer_1_1_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0.85,1,LOI,1.162424648,1.800815027,1.620743333,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
Spartina maritima,Human et al 2022,LRDH Swartkops 1 Summer 2,Swartkops Estuary,1,Summer,Swartkops_Summer_1_2_Spartina,Saltmarsh,-33.8689,25.6286,direct from dataset,1,SouthAfrica,2018,0,0.05,LOI,1.686146521,2.262447352,1.369696667,(1.1345*SOM_perc)-0.8806,https://doi.org/10.1016/j.scitotenv.2022.156955
