"","Source","Original_source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","OC_perc","BD_reported_g_cm3","DOI"
"1","Fu et al 2021","Loh et al 2018","CF Salt marsh 53","Hangzhou Bay, Zhejiang","Salt marsh 53","Salt marsh",30.3739,121.2053,"exact","1","China","2015",0,1,0.49,NA,"https://doi.org/10.1111/gcb.15348"
"2","Fu et al 2021","Wang et al 2017","CF Salt marsh 15","Laizhou Bay, Shandong","Salt marsh 15","Salt marsh",37.09,119.37,"exact","1","China","2012",0,1,0.13,NA,"https://doi.org/10.1111/gcb.15348"
"3","Fu et al 2021","Wang et al 2017","CF Salt marsh 16","Laizhou Bay, Shandong","Salt marsh 16","Salt marsh",37.1,119.37,"exact","1","China","2012",0,1,0.1,NA,"https://doi.org/10.1111/gcb.15348"
"4","Fu et al 2021","Wang et al 2017","CF Salt marsh 17","Laizhou Bay, Shandong","Salt marsh 17","Salt marsh",37.1,119.35,"exact","1","China","2012",0,1,0.16,NA,"https://doi.org/10.1111/gcb.15348"
"5","Fu et al 2021","Wan et al 2017","CF Salt marsh 1","Shuangtaizi River Estuary, Liaoning","Salt marsh 1","Salt marsh",40.8417,121.5667,"exact","1","China","2013",0,1,1.35,NA,"https://doi.org/10.1111/gcb.15348"
"6","Fu et al 2021","Wan et al 2017","CF Salt marsh 2","Shuangtaizi River Estuary, Liaoning","Salt marsh 2","Salt marsh",40.8533,121.5886,"exact","1","China","2013",0,1,0.88,NA,"https://doi.org/10.1111/gcb.15348"
"7","Fu et al 2021","Lu et al 2019","CF Salt marsh 4","Yellow River Delta, Shandong","Salt marsh 4","Salt marsh",38.23,117.95,"exact","1","China","2013",0,1,0.69,1.21,"https://doi.org/10.1111/gcb.15348"
"8","Fu et al 2021","Lu et al 2019","CF Salt marsh 5","Yellow River Delta, Shandong","Salt marsh 5","Salt marsh",38.23,117.95,"exact","1","China","2013",0,1,0.51,1.27,"https://doi.org/10.1111/gcb.15348"
