"","Source","Site_name","Site","Plot","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","Conv_factor","BD_reported_g_cm3","DOI"
"1","Sammul et al 2012","MS Häädemeeste managed","Häädemeeste","Häädemeeste managed","Salt marsh","Occasionally peaty wetland soil",58.09083333,24.48555556,"direct from dataset","1","Estonia",2005,0,0.15,"Tyurin spectrophotometry",11.9,NA,0.22,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"2","Sammul et al 2012","MS Häädemeeste managed","Häädemeeste","Häädemeeste managed","Salt marsh","",58.09083333,24.48555556,"direct from dataset","1","Estonia",2005,0.15,0.26,"Tyurin spectrophotometry",3.3,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"3","Sammul et al 2012","MS Häädemeeste managed","Häädemeeste","Häädemeeste managed","Salt marsh","",58.09083333,24.48555556,"direct from dataset","1","Estonia",2005,0.26,0.6,"Tyurin spectrophotometry",0.1,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"4","Sammul et al 2012","MS Haeska managed","Haeska","Haeska managed","Salt marsh","Wetland soil. In places humus layer very thin",58.78111111,23.65666667,"direct from dataset","1","Estonia",2005,0,0.1,"Tyurin spectrophotometry",4.1,NA,0.62,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"5","Sammul et al 2012","MS Haeska managed","Haeska","Haeska managed","Salt marsh","",58.78111111,23.65666667,"direct from dataset","1","Estonia",2005,0.1,0.3,"Tyurin spectrophotometry",0.3,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"6","Sammul et al 2012","MS Haeska managed","Haeska","Haeska managed","Salt marsh","",58.78111111,23.65666667,"direct from dataset","1","Estonia",2005,0.3,0.5,"Tyurin spectrophotometry",0.1,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"7","Sammul et al 2012","MS Haeska restored","Haeska","Haeska restored","Salt marsh","Wetland soil. On top thin and deelpy rooted humus layer",58.78277778,23.69555556,"direct from dataset","1","Estonia",2005,0,0.07,"Tyurin spectrophotometry",22.1,NA,0.21,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"8","Sammul et al 2012","MS Haeska restored","Haeska","Haeska restored","Salt marsh","",58.78277778,23.69555556,"direct from dataset","1","Estonia",2005,0.07,0.24,"Tyurin spectrophotometry",2.7,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"9","Sammul et al 2012","MS Haeska restored","Haeska","Haeska restored","Salt marsh","",58.78277778,23.69555556,"direct from dataset","1","Estonia",2005,0.24,0.5,"Tyurin spectrophotometry",2.3,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"10","Sammul et al 2012","MS Haeska abandoned","Haeska","Haeska abandoned","Salt marsh","Wetland soil. On top thin and deelpy rooted humus layer",58.78472222,23.70416667,"direct from dataset","1","Estonia",2005,0,0.07,"Tyurin spectrophotometry",26.1,NA,0.1,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"11","Sammul et al 2012","MS Haeska abandoned","Haeska","Haeska abandoned","Salt marsh","",58.78472222,23.70416667,"direct from dataset","1","Estonia",2005,0.07,0.3,"Tyurin spectrophotometry",1.9,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"12","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh","Eutrophic mire soil",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0,0.1,"Tyurin spectrophotometry",18.8,NA,0.25,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"13","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh","Strongly rooted peat",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0.1,0.2,"Tyurin spectrophotometry",38.6,NA,0.25,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"14","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh","",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0.2,0.4,"Tyurin spectrophotometry",15,NA,0.25,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"15","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh","",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0.4,0.6,"Tyurin spectrophotometry",6.6,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"16","Sammul et al 2012","MS Kavaru restored","Kavaru","Kavaru restored","Salt marsh","Wetland soil",58.26833333,24.17694444,"direct from dataset","1","Estonia",2005,0,0.13,"Tyurin spectrophotometry",10.2,NA,0.41,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"17","Sammul et al 2012","MS Kavaru restored","Kavaru","Kavaru restored","Salt marsh","sand",58.26833333,24.17694444,"direct from dataset","1","Estonia",2005,0.13,0.21,"Tyurin spectrophotometry",2.7,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"18","Sammul et al 2012","MS Kavaru restored","Kavaru","Kavaru restored","Salt marsh","",58.26833333,24.17694444,"direct from dataset","1","Estonia",2005,0.21,0.4,"Tyurin spectrophotometry",0.2,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"19","Sammul et al 2012","MS Piirumi abandoned","Piirumi","Piirumi abandoned","Salt marsh","Occasionally peaty wetland soil",58.15388889,24.48,"direct from dataset","1","Estonia",2005,0,0.2,"Tyurin spectrophotometry",5,NA,0.42,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"20","Sammul et al 2012","MS Piirumi abandoned","Piirumi","Piirumi abandoned","Salt marsh","Deep and occasionally muddy humus layer",58.15388889,24.48,"direct from dataset","1","Estonia",2005,0.2,0.6,"Tyurin spectrophotometry",0.3,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"21","Sammul et al 2012","MS Piirumi restored","Piirumi","Piirumi restored","Salt marsh","Peaty soil. Decomposed turf",58.15833333,24.47694444,"direct from dataset","1","Estonia",2005,0,0.06,"Tyurin spectrophotometry",24.7,NA,0.15,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"22","Sammul et al 2012","MS Piirumi restored","Piirumi","Piirumi restored","Salt marsh","",58.15833333,24.47694444,"direct from dataset","1","Estonia",2005,0.06,0.29,"Tyurin spectrophotometry",18.3,NA,0.15,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"23","Sammul et al 2012","MS Piirumi restored","Piirumi","Piirumi restored","Salt marsh","",58.15833333,24.47694444,"direct from dataset","1","Estonia",2005,0.29,0.46,"Tyurin spectrophotometry",0.4,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"24","Sammul et al 2012","MS Piirumi restored","Piirumi","Piirumi restored","Salt marsh","",58.15833333,24.47694444,"direct from dataset","1","Estonia",2005,0.46,NA,"Tyurin spectrophotometry",0.3,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
