study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,age,fraction_nitrogen,fraction_sand,fraction_silt,fraction_clay
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,0,1,0.42300000000000004,0.2727,0.027100000000000003,3.7640373723461513,0.65682452147440329,56.634480000000003,8.4157700000000002,15.19937,1.1080300000000001,2017.2,0.004556666666666666,0.06603,0.7268399999999999,0.20547
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,1,2,0.34230000000000005,0.2,0.023706666666666668,2.103835921131437,0.48640686496558833,46.987380000000002,7.5911099999999996,12.28243,0.90153000000000005,2015.9,0.0038133333333333335,0.32552,0.54448,0.12883
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,2,3,0.30869999999999997,0.21739999999999998,0.022643333333333335,2.2881628399761529,0.51209084358666312,69.67201,8.7049500000000002,11.939780000000001,0.91100000000000003,2014.3,0.0036166666666666665,0.24596,0.60228,0.15038
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,3,4,0.3931,0.16670000000000001,0.02172666666666667,3.4348199360071039,0.54751029779953209,51.846290000000003,7.4898899999999999,15.90602,0.97980999999999996,2012.7,0.0035000000000000005,0.03851,0.76768,0.19204999999999997
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,4,5,0.32620000000000005,0.3333,0.020203333333333334,3.0555157058475286,0.53379859381156325,58.413629999999998,7.9345800000000004,15.11,0.97006000000000003,2010.9,0.00321,0.02178,0.75425,0.22219
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,5,6,0.46110000000000007,0.12,0.024516666666666666,3.3928634047308379,0.38407213741553092,66.130359999999996,6.3591699999999998,16.741340000000001,0.70481000000000005,2008.5,0.00328,0.05186999999999999,0.7582799999999998,0.18813
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,6,7,0.48860000000000015,0.1538461538461507,0.023873333333333333,2.3386855071132517,0.50328512113077184,46.812629999999999,7.2607900000000001,15.64959,0.96245000000000003,2006.2,0.00317,0.0527,0.7508400000000001,0.19476
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,7,8,0.41100000000000003,0.15909090909090992,0.024986666666666667,3.9296881190960944,0.5124313307301307,71.907700000000006,8.3311799999999998,18.193470000000001,0.92786999999999997,2003.3,0.0032400000000000003,0.00524,0.7656499999999999,0.22729
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,8,9,0.45279999999999987,0.16326530612245208,0.02686666666666667,4.1034573285127971,0.54493913322649945,68.323840000000004,8.1094600000000003,14.79813,0.91303999999999996,1999.9,0.0033900000000000002,0.04223,0.75182,0.20422
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,9,10,0.37850000000000006,0.14634146341463097,0.028333333333333335,5.5736027142139442,0.59470340960662793,64.295169999999999,8.2161500000000007,14.59648,0.92396,1996.4,0.0035366666666666663,0.008140000000000001,0.7972500000000001,0.1928
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,10,11,0.4668000000000001,0.12244897959183451,0.027543333333333333,4.7293363226384164,0.41476279549538897,69.150490000000005,6.5821800000000001,16.008150000000001,0.66754000000000002,1992.1,0.0033,0.018189999999999998,0.7639,0.2161
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,11,12,0.60749999999999993,0.14062500000000044,0.02939,5.0122167972827665,0.64206497173192245,57.329569999999997,7.2828200000000001,15.989140000000001,0.99612000000000001,1987,0.0033433333333333336,0.03867,0.76829,0.19140000000000001
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,12,13,0.53239999999999998,0.1250000000000008,0.025706666666666666,7.679748280625442,0.48075224236715264,64.637230000000002,6.4290200000000004,18.948450000000001,0.72004000000000001,1980.9,0.0028366666666666666,0.02912,0.7851400000000001,0.18419
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,13,14,0.61819999999999986,0.13846153846153778,0.023963333333333333,8.1410243432762357,0.61383323548302804,56.507019999999997,7.6740399999999998,17.65907,0.90944000000000003,1973.6,0.0026666666666666666,0.030300000000000004,0.7716299999999999,0.19646999999999998
