Sites,Lat,Long,pH,EC_dS_m,OC_perc,NH4_mg_kg,NO3_mg_kg,P_mg_kg,Na_mg_kg,K_mg_kg,Soil_temp_C,Ambient_temp_C
Bhavnagar,N21°45.64,E72°14.39,8.53 ± 0.01a,16.31 ± 0.31a,0.70 ± 0.03b,3.41 ± 0.18c,1.74 ± 0.07 b,15.89 ± 0.23b,15355.81 ± 509.37a,2248.83 ± 41.65b,29.61 ± 0.59,32.63 ± 0.26
Victor,N20°58.54,E71°33.46,8.53 ± 0.02a,15.89 ± 0.41a,0.64 ± 0.04b,4.45 ± 0.32b,2.27 ± 0.12a,16.52 ± 0..35b,13465.70 ± 506.47b,2400.21 ± 23.79a,27.42 ± 0.42,31.02 ± 0.32
Dharabandar,N20°49.04,E71°13.47,8.50 ± 0.03a,13.13 ± 0.29c,0.91 ± 0.01a,5.24 ± 0.12a,1.54 ± 0.06bc,13.73 ± 0.75c,11296.01 ± 208.02c,2207.11 ± 7.16b,29.04 ± 0.37,33.05 ± 0.73
Diu,N20°44.13,E70°55.78,8.51 ± 0.01a,15.03 ± 0.72ab,0.73 ± 0.01ab,3.53 ± 0.13c,1.25 ± 0.09c,20.23 ± 0.29a,13479.31 ± 353.42b,2148.45 ± 41.27bc,30.38 ± 0.50,30.21 ± 01.23
Vivaniya,N22°56.67,E70°29.70,8.63 ± 0.02a,14.22 ± 0.45bc,0.51 ± 0.03c,3.13 ± 0.20c,1.27 ± 0.12c,15.74 ± 0.48b,12964.26 ± 219.77b,2010.86 ± 36.20cd,28.51 ± 0.63,28.24 ± 0.92
Navabandar,N21°27.44 ,E69°47.82,8.53 ± 0.04a,12.96 ± 0.62c,0.50 ± 0.02ac,3.45 ± 0.12c,1.57 ± 0.17bc,8.06 ± 0.11d,12342.64 ± 701.37bc,1962.83 ± 45.29d,26.44 ± 0.64,26.14 ± 0.73
