study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_organic_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,ra226_mda,excess_pb210_activity,excess_pb210_activity_se,excess_pb210_mda,age,age_se,date,fraction_CaCO3,fraction_total_nitrogen,fraction_total_phosphorus,fraction_total_lignin,delta_13C,delta_15N,ratio_ad_al_vanillyls,ratio_ad_al_syringyls,ratio_syringyls_vanillyls,ratio_p-hydroxyls_vanillyls_plus_syringyls,ratio_PON_totalP_phenols,gamma_counting_sedmass,cumulative_sedmass_atdepth,excess_pb210_inventory,excess_pb210_inventory_se
Breithaupt_et_al_2020,NMg,BWB1A,0,2,0.29,0.43,0.23,0,0,4.69,0.23,0.99,0.27,0.19,3.75,0.36,0.12,4.6,2.2,2012.9,0.18,0.011,8.8e-4,0.01,-27.37,1.93,0.42,0.34,0.93,0.11,0.17,2.45,0.29,1.07,0.1
Breithaupt_et_al_2020,NMg,BWB1A,10,11,0.27,0.37,0.16,0,0,2.51,0.1,1.27,0.26,0.08,1.26,0.29,0.05,22.5,2.9,1995,0.24,0.009,8.3e-4,0.008,-27.27,1.79,0.42,0.3,0.72,0.16,0.16,2.49,1.54,0.34,0.08
Breithaupt_et_al_2020,NMg,BWB1A,11,12,0.41,0.28,0.2,0,0,2.61,0.09,0.93,0.25,0.06,1.71,0.27,0.04,28.6,3.2,1988.9,0.17,0.009,7.8e-4,0.007,-27.29,1.78,0.44,0.3,0.79,0.15,0.15,2.62,1.94,0.69,0.11
Breithaupt_et_al_2020,NMg,BWB1A,12,13,0.39,0.29,0.14,0,0,3.05,0.14,0.66,0.27,0.13,2.44,0.31,0.08,39.6,4,1977.9,0.16,0.007,7.8e-4,0.006,-27.48,1.74,0.37,0.3,0.69,0.14,0.16,2.45,2.33,0.96,0.12
Breithaupt_et_al_2020,NMg,BWB1A,13,14,0.33,0.32,0.08,0,0,2.31,0.13,1.23,0.26,0.13,1.1,0.3,0.08,44.9,4.3,1972.6,0.18,0.004,8.1e-4,0.006,-27.63,1.6,0.37,0.28,0.75,0.15,0.15,2.5,2.66,0.36,0.1
Breithaupt_et_al_2020,NMg,BWB1A,14,15,0.33,0.3,0.1,0,0,1.74,0.11,1.42,0.29,0.11,0.33,0.31,0.07,46.7,4.2,1970.8,0.18,0.005,7.8e-4,0.008,-27.57,1.77,0.42,0.3,0.76,0.16,0.15,2.3,2.99,0.11,0.1
Breithaupt_et_al_2020,NMg,BWB1A,15,16,0.37,0.28,0.12,0,0,2.91,0.13,1.23,0.26,0.12,1.71,0.3,0.07,59.8,5.3,1957.7,0.16,NA,8e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.36,0.63,0.11
Breithaupt_et_al_2020,NMg,BWB1A,16,17,0.38,0.3,0.14,0,0,2.63,0.13,1.04,0.3,0.12,1.61,0.33,0.07,81.3,7.8,1936.2,0.17,0.006,6.7e-4,0.008,-27.51,1.94,0.43,0.3,0.69,0.12,0.16,2.18,3.74,0.61,0.13
Breithaupt_et_al_2020,NMg,BWB1A,17,18,0.3,0.45,0.2,0,0,2.12,0.1,1.03,0.31,0.08,1.1,0.33,0.05,104.1,12,1913.4,0.23,NA,7.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.13,4.04,0.33,0.1
Breithaupt_et_al_2020,NMg,BWB1A,18,19,0.29,0.31,0.12,0,0,1.95,0.1,1.2,0.28,0.08,0.76,0.3,0.05,143.9,27.3,1873.6,0.17,0.006,7.1e-4,0.007,-27.5,1.67,0.37,0.3,0.68,0.14,0.15,2.37,4.33,0.22,0.09
Breithaupt_et_al_2020,NMg,BWB1A,19,20,0.26,0.3,NA,0,0,1.49,0.11,1.15,0.28,0.11,0.35,0.3,0.07,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,4.59,0.09,0.08
Breithaupt_et_al_2020,NMg,BWB1A,2,4,0.22,0.38,0.17,0,0,5.03,0.22,0.88,0.32,0.18,4.21,0.39,0.11,9.1,2.4,2008.4,0.21,0.009,8.5e-4,0.01,-27.2,1.79,0.44,0.33,0.91,0.12,0.17,2.09,0.5,0.92,0.08
Breithaupt_et_al_2020,NMg,BWB1A,4,6,0.23,0.36,0.12,0,0,4.28,0.19,1.12,0.3,0.16,3.21,0.36,0.1,13.2,2.6,2004.3,0.2,0.007,8.7e-4,0.008,-27.54,1.62,0.44,0.33,0.91,0.13,0.16,2.24,0.73,0.74,0.08
Breithaupt_et_al_2020,NMg,BWB1A,6,8,0.29,0.35,0.15,0,0,2.95,0.11,1.09,0.28,0.09,1.88,0.31,0.05,16.7,2.7,2000.8,0.17,0.008,0.001,0.012,-27.45,1.72,0.44,0.33,0.85,0.13,0.16,2.36,1.02,0.55,0.09
Breithaupt_et_al_2020,NMg,BWB1A,8,10,0.24,0.32,0.19,0,0,2.69,0.13,0.85,0.27,0.13,1.87,0.3,0.08,19.8,2.8,1997.7,0.18,0.01,8.1e-4,0.007,-27.08,1.79,0.42,0.31,0.82,0.14,0.16,2.49,1.26,0.45,0.07
Breithaupt_et_al_2020,NMg,CCB2,0,2,0.16,0.66,0.29,0,0.01,11.23,0.36,1.07,0.11,0.2679615,10.31,0.38,0.054893477,4.8,0.6,2012.7,0.2,0.017,0.00103,0.015,-27.66,1.35,0.23,0.19,1.99,0.08,0.19,2.1,0.16,1.65,0.06
Breithaupt_et_al_2020,NMg,CCB2,10,11,0.23,0.41,0.23,0.12,0.02,3.78,0.15,0.54,0.09,0.184403034,3.29,0.18,0.031966416,24.9,0.8,1992.6,0.26,0.013,6.7e-4,0.013,-27.54,1.64,0.19,0.19,0.54,0.16,0.1,2.11,1.1,0.74,0.04
Breithaupt_et_al_2020,NMg,CCB2,11,12,0.21,0.46,0.21,0.18,0.01,3,0.08,0.57,0.08,0.100001163,2.47,0.11,0.014487652,28.1,0.9,1989.4,0.26,0.012,6.1e-4,0.01,-27.3,1.71,0.16,0.19,0.51,0.15,0.14,2.42,1.31,0.51,0.02
Breithaupt_et_al_2020,NMg,CCB2,12,13,0.18,0.47,0.2,0.2,0.01,2.96,0.07,0.4,0.07,0.084434807,2.6,0.1,0.011573274,31.2,0.9,1986.3,0.29,0.012,6.7e-4,0.013,-27.27,1.69,0.18,0.21,0.49,0.15,0.14,2.41,1.49,0.47,0.02
Breithaupt_et_al_2020,NMg,CCB2,13,14,0.25,0.54,0.22,0.18,0.02,3.69,0.15,0.48,0.1,0.198589558,3.26,0.18,0.034422333,37.6,1,1979.9,0.22,0.013,6.4e-4,0.015,-27.21,1.7,0.17,0.21,0.53,0.14,0.13,1.96,1.74,0.81,0.05
Breithaupt_et_al_2020,NMg,CCB2,14,15,0.26,0.42,0.12,0,0,2.69,0.12,0.57,0.08,0.162954377,2.16,0.14,0.028213664,42.9,1.1,1974.6,0.2,0.007,4.7e-4,0.008,-27.39,1.5,0.2,0.23,0.65,0.14,0.16,2.38,2,0.57,0.04
Breithaupt_et_al_2020,NMg,CCB2,15,16,0.26,0.35,0.15,0,0,1.76,0.07,0.35,0.06,0.102312923,1.44,0.09,0.016247243,46.9,1.2,1970.6,0.24,NA,2.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2.26,0.37,0.02
Breithaupt_et_al_2020,NMg,CCB2,16,17,0.26,0.34,0.26,0,0.01,2.22,0.1,0.34,0.08,0.164157669,1.91,0.14,0.027836893,53.2,1.3,1964.3,0.22,0.014,3e-4,0.02,-26.56,1.86,0.21,0.2,0.84,0.12,0.09,2.24,2.51,0.49,0.03
Breithaupt_et_al_2020,NMg,CCB2,17,18,0.32,0.31,0.14,0,0,1.89,0.06,0.41,0.07,0.092123563,1.51,0.09,0.01344898,60.7,1.6,1956.8,0.19,NA,4.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.83,0.48,0.03
Breithaupt_et_al_2020,NMg,CCB2,18,19,0.25,0.32,0.14,0,0,1.36,0.06,0.39,0.07,0.113178357,0.98,0.09,0.018001885,65.4,1.7,1952.1,0.23,0.008,4.4e-4,0.011,-26.89,1.72,0.19,0.2,0.6,0.13,0.13,2.77,3.08,0.25,0.02
Breithaupt_et_al_2020,NMg,CCB2,19,20,0.29,0.27,0.12,0,0,1.22,0.05,0.3,0.05,0.092464173,0.94,0.08,0.014974367,71.6,2,1945.9,0.19,NA,2.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,3.55,3.37,0.28,0.02
Breithaupt_et_al_2020,NMg,CCB2,2,4,0.16,0.64,0.28,0,0.01,7.89,0.26,0.47,0.09,0.231000289,7.52,0.28,0.044266169,8.8,0.7,2008.7,0.2,0.015,0.00105,0.021,-27.8,1.28,0.19,0.2,0.87,0.15,0.16,2.11,0.32,1.22,0.05
Breithaupt_et_al_2020,NMg,CCB2,20,21,0.51,0.2,0.22,0,0,1.28,0.05,0.31,0.05,0.074477593,1,0.07,0.011253916,87.7,2.9,1929.8,0.11,0.012,1.4e-4,0.006,-26.55,1.96,0.18,0.18,0.96,0.1,0.16,3.67,3.88,0.51,0.04
Breithaupt_et_al_2020,NMg,CCB2,21,22,0.56,0.19,0.08,0,0,0.79,0.03,0.33,0.06,0.055095716,0.47,0.06,0.007238674,101.1,3.8,1916.4,0.12,NA,1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,3.19,4.44,0.27,0.03
Breithaupt_et_al_2020,NMg,CCB2,22,23,0.38,0.27,0.05,0,0,0.57,0.03,0.35,0.05,0.061287769,0.23,0.06,0.008695174,106.9,4.3,1910.6,0.15,0.003,1.6e-4,0.007,-26.79,1.55,0.19,0.2,0.79,0.11,0.16,3.7,4.82,0.09,0.02
Breithaupt_et_al_2020,NMg,CCB2,23,24,0.57,0.23,0.1,0,0,0.76,0.03,0.39,0.05,0.069591627,0.38,0.06,0.010087482,129.2,6.7,1888.3,0.1,NA,2.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,3.48,5.39,0.21,0.04
Breithaupt_et_al_2020,NMg,CCB2,24,25,0.44,0.17,0.05,0,0,0.56,0.02,0.42,0.05,0.050786128,0.14,0.05,0.006831298,139.8,7.9,1877.7,0.11,0.003,2.1e-4,0.004,-26.78,2.28,0.19,0.18,0.7,0.1,0.16,3.76,5.83,0.06,0.02
Breithaupt_et_al_2020,NMg,CCB2,25,26,0.62,0.11,NA,0,0,0.55,0.03,0.3,0.05,0.075253253,0.25,0.06,0.011209397,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49,6.45,0.15,0.04
Breithaupt_et_al_2020,NMg,CCB2,4,6,0.17,0.59,0.26,0,0.01,7.45,0.31,0.43,0.11,0.290244941,7.13,0.33,0.059466528,13.4,0.7,2004.1,0.19,0.014,9.5e-4,0.014,-27.69,1.39,0.22,0.21,0.93,0.13,0.19,1.93,0.49,1.2,0.06
Breithaupt_et_al_2020,NMg,CCB2,6,8,0.18,0.56,0.26,0,0.01,4.91,0.17,0.47,0.09,0.183498125,4.5,0.19,0.031844541,16.8,0.7,2000.7,0.21,0.015,0.00101,0.011,-27.49,1.63,0.2,0.23,0.47,0.16,0.16,2.12,0.67,0.8,0.03
Breithaupt_et_al_2020,NMg,CCB2,8,10,0.21,0.55,0.25,0,0.01,4.64,0.11,0.56,0.08,0.120847952,4.14,0.14,0.01821532,20.9,0.8,1996.6,0.19,0.013,8.4e-4,0.013,-27.52,1.61,0.2,0.22,0.54,0.17,0.17,2.24,0.87,0.85,0.03
Breithaupt_et_al_2020,NMg,UFU1A,0,2,0.18,0.49,0.22,-0.03,0,8.02,0.35,0.88,0.07,0.369874826,7.22,0.37,0.253432351,5.6,0.7,2011.9,0.23,0.011,6.9e-4,0.013,-28.57,1.4,0.32,0.28,1.23,0.13,0.13,2.17,0.37,2.67,0.14
Breithaupt_et_al_2020,NMg,UFU1A,10,11,0.21,0.38,0.22,0.17,0.02,4.72,0.18,0.98,0.05,0.247050261,3.78,0.19,0.161436795,27.8,0.7,1989.7,0.23,0.011,6.4e-4,0.012,-28.09,1.52,0.27,0.31,0.64,0.16,0.13,2.07,1.84,0.78,0.04
Breithaupt_et_al_2020,NMg,UFU1A,11,12,0.19,0.41,0.18,0.14,0.02,4.75,0.17,0.88,0.05,0.242037546,3.92,0.18,0.157272951,31.4,0.7,1986.1,0.23,0.01,6.2e-4,0.012,-28.07,1.45,0.29,0.34,0.61,0.17,0.14,1.97,2.03,0.74,0.03
Breithaupt_et_al_2020,NMg,UFU1A,12,13,0.23,0.37,0.19,0.21,0.01,4.24,0.14,0.83,0.04,0.187211092,3.45,0.15,0.121334479,35.6,0.8,1981.9,0.23,0.01,6e-4,0.011,-28.06,1.5,0.27,0.32,0.6,0.17,0.13,2.47,2.26,0.79,0.03
