study_id,site_id,site_description,site_longitude_max,site_longitude_min,site_latitude_max,site_latitude_min
Breithaupt_et_al_2020,NMg,Mangrove sites in the Rookery Bay National Estuarine Research Reserve,-81.4884898,-81.7564402,26.0344102,25.8898198
Breithaupt_et_al_2020,SMg,Mangrove sites in Everglades National Park,-80.9539198,-81.07001020000001,25.424784199999998,25.408773800000002
Breithaupt_et_al_2020,SMs,Interior/brackish marsh sites in Everglades National Park,-80.953647899999993,-81.06930510000001,25.4224071,25.4089899
