study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,core_length_flag
Breithaupt_et_al_2020,NMg,CCB2,5/22/2017,26.022361,-81.734111,handheld,NA,NA,forested,measurement,core depth represents deposit depth
Breithaupt_et_al_2020,NMg,BWB1A,5/24/2017,25.923631,-81.612519,handheld,NA,NA,forested,measurement,core depth represents deposit depth
Breithaupt_et_al_2020,NMg,UFU1A,5/23/2017,25.901869,-81.510819,handheld,NA,NA,forested,measurement,core depth represents deposit depth
Breithaupt_et_al_2020,SMg,WSC2A,3/13/2013,25.410108,-80.963594,handheld,oligohaline,measurement,forested to shrub,measurement,core depth represents deposit depth
Breithaupt_et_al_2020,SMs,WSC2B,3/13/2013,25.410108,-80.963286,handheld,oligohaline,measurement,emergent,measurement,core depth represents deposit depth
Breithaupt_et_al_2020,SMg,WSC8A,3/14/2013,25.42345,-81.060336,handheld,mesohaline,measurement,forested,measurement,core depth represents deposit depth
Breithaupt_et_al_2020,SMs,WSC8B,3/14/2013,25.421289,-81.059667,handheld,oligohaline,measurement,emergent,measurement,core depth represents deposit depth
