Location,Core,Habitat type,Depth to bedrock (cm),depth interval (cm),DBD (g per cm^3),C content (g C per g sediment),C stock to depth (Mg/Ha),
Coffs,Site 1,Saltmarsh,248,9,0.86,0.0800,1706.24,
Coffs,Site 1,Saltmarsh,248,29,1.49,0.0300,1108.56,
Coffs,Site 1,Saltmarsh,248,49,0.70,0.0300,520.80,
Coffs,Site 2,Saltmarsh,180,9,0.33,0.1100,653.40,
Coffs,Site 2,Saltmarsh,180,29,1.20,0.0700,1512.00,
Coffs,Site 2,Saltmarsh,180,49,0.80,0.0300,432.00,
Coffs,Site 3,Saltmarsh,300,9,0.75,0.0910,2047.50,
Coffs,Site 3,Saltmarsh,300,29,0.68,0.0348,708.90,
Coffs,Site 3,Saltmarsh,300,49,0.43,0.0310,399.90,
Corindi,Site 1,Saltmarsh,300,9,0.06,0.4130,791.35,
Corindi,Site 1,Saltmarsh,300,29,0.36,0.1877,2027.56,
Corindi,Site 1,Saltmarsh,300,49,0.92,0.0177,488.28,
Corindi,Site 2,Saltmarsh,170,9,1.00,0.0165,280.60,
Corindi,Site 2,Saltmarsh,170,27,1.15,0.0152,297.16,
Corindi,Site 2,Saltmarsh,170,49,0.78,0.0113,149.08,
Corindi,Site 3,Saltmarsh,300,9,0.88,0.0204,538.79,
Corindi,Site 3,Saltmarsh,300,29,1.20,0.0106,380.17,
Corindi,Site 3,Saltmarsh,300,49,0.78,0.0103,241.04,
Corindi,Site 4,Saltmarsh,150,9,0.57,0.0640,552.09,
Corindi,Site 4,Saltmarsh,150,29,1.24,0.0147,274.27,
Corindi,Site 4,Saltmarsh,150,49,0.89,0.0158,211.35,
Corindi,Site 5,Saltmarsh,85,9,1.20,0.0180,183.54,
Corindi,Site 5,Saltmarsh,85,29,1.03,0.0100,87.63,
Corindi,Site 5,Saltmarsh,85,49,0.95,0.0220,177.77,
Wooli,Site 1,Saltmarsh,97,9,1.35,0.0930,1220.26,
Wooli,Site 1,Saltmarsh,97,29,1.31,0.0330,418.98,
Wooli,Site 1,Saltmarsh,97,49,1.12,0.0400,433.33,
Wooli,Site 3,Saltmarsh,166,9,0.49,0.1019,831.63,
Wooli,Site 3,Saltmarsh,166,29,0.52,0.0891,765.44,
Wooli,Site 3,Saltmarsh,166,49,0.43,0.0618,437.88,
Wooli,Site 5,Saltmarsh,300,9,1.12,0.0589,1979.71,
Wooli,Site 5,Saltmarsh,300,29,1.80,0.0132,711.60,
Wooli,Site 5,Saltmarsh,300,49,1.04,0.0412,1286.73,
Coffs,Site 1 lower tidal,Mangrove,300,9,0.46,0.0120,165.60,
Coffs,Site 1 lower tidal,Mangrove,300,29,0.80,0.0230,552.00,
Coffs,Site 1 lower tidal,Mangrove,300,49,0.88,0.0050,132.00,
Coffs,Site 1 high tidal,Mangrove,300,9,0.50,0.0563,844.50,
Coffs,Site 1 high tidal,Mangrove,300,29,0.41,0.0659,810.57,
Coffs,Site 1 high tidal,Mangrove,300,49,0.74,0.0338,750.36,
Coffs,Site 2 lower tidal,Mangrove,300,9,1.59,0.0970,4626.90,
Coffs,Site 2 lower tidal,Mangrove,300,29,1.62,0.0250,1215.00,
Coffs,Site 2 lower tidal,Mangrove,300,49,1.36,0.0118,481.44,
Coffs,Site 2 high tidal,Mangrove,300,9,0.35,0.0150,157.50,
Coffs,Site 2 high tidal,Mangrove,300,29,1.17,0.0051,179.01,
Coffs,Site 2 high tidal,Mangrove,300,49,1.45,0.0167,726.45,
Coffs,Site 3 lower tidal,Mangrove,300,9,0.52,0.0580,904.80,
Coffs,Site 3 lower tidal,Mangrove,300,29,1.09,0.0170,555.90,
Coffs,Site 3 lower tidal,Mangrove,300,49,1.16,0.0170,591.60,
Coffs,Site 3 high tidal,Mangrove,300,9,0.50,0.2040,3060.00,
Coffs,Site 3 high tidal,Mangrove,300,29,1.49,0.0530,2369.10,
Coffs,Site 3 high tidal,Mangrove,300,49,1.11,0.0340,1132.20,
Corindi,Site 1,Mangrove,300,9,0.64,0.0457,880.86,
Corindi,Site 1,Mangrove,300,29,0.63,0.0505,949.98,
Corindi,Site 1,Mangrove,300,49,0.49,0.0265,391.87,
Corindi,Site 2,Mangrove,300,9,0.71,0.0644,1375.67,
Corindi,Site 2,Mangrove,300,29,0.95,0.0709,2020.54,
Corindi,Site 2,Mangrove,300,49,0.76,0.0404,920.36,
Corindi,Site 3,Mangrove,300,9,0.90,0.0174,469.67,
Corindi,Site 3,Mangrove,300,29,1.23,0.0183,676.15,
Corindi,Site 3,Mangrove,300,49,0.87,0.0255,665.52,
Corindi,Site 4,Mangrove,135,9,0.88,0.0444,527.18,
Corindi,Site 4,Mangrove,135,29,0.97,0.0430,565.47,
Corindi,Site 4,Mangrove,135,49,0.62,0.0453,378.04,
Corindi,Site 5 lower tidal,Mangrove,245,9,0.64,0.0395,623.84,
Corindi,Site 5 lower tidal,Mangrove,245,29,0.87,0.0199,421.20,
Corindi,Site 5 lower tidal,Mangrove,245,49,0.75,0.0196,362.58,
Corindi,Site 5 High tidal,Mangrove,240,9,0.67,0.0698,1127.92,
Corindi,Site 5 High tidal,Mangrove,240,29,1.17,0.0174,489.88,
Corindi,Site 5 High tidal,Mangrove,240,49,0.80,0.0236,450.18,
Wooli,Site 1,Mangrove,122,9,0.97,0.0230,273.17,
Wooli,Site 1,Mangrove,122,29,1.15,0.0151,211.54,
Wooli,Site 1,Mangrove,122,49,1.16,0.0053,74.96,
Wooli,Site 3,Mangrove,219,9,0.81,0.0291,516.23,
Wooli,Site 3,Mangrove,219,29,0.80,0.0492,861.03,
Wooli,Site 3,Mangrove,219,49,1.26,0.0110,305.34,
Wooli,Site 4R,Mangrove,300,9,1.09,0.0291,950.75,
Wooli,Site 4R,Mangrove,300,29,0.93,0.0152,425.98,
Wooli,Site 4R,Mangrove,300,49,0.97,0.0188,547.65,
Wooli,Site 4A,Mangrove,300,9,0.77,0.0237,544.43,
Wooli,Site 4A,Mangrove,300,29,1.05,0.0171,537.69,
Wooli,Site 4A,Mangrove,300,49,0.75,0.0245,554.74,
Wooli,Site 5,Mangrove,300,9,1.24,0.0376,1401.93,
Wooli,Site 5,Mangrove,300,29,0.81,0.0664,1612.84,
Wooli,Site 5,Mangrove,300,49,0.66,0.0493,981.88,
Coffs,Site 1 l(middle of patch),Seagrass,228,9,1.23,0.0193,540.02,
Coffs,Site 1 l(middle of patch),,228,19,0.97,0.0337,745.97,
Coffs,Site 1 l(middle of patch),,228,29,1.36,0.0155,481.39,
Coffs,Site 1 l(middle of patch),Seagrass,228,9,1.16,0.0207,546.68,
Coffs,Site 1 l(middle of patch),,228,15,1.37,0.0191,595.36,
Coffs,Site 1 l(middle of patch),,228,21,1.27,0.0147,425.94,
Coffs,Site 2,Seagrass,210,7,1.40,0.0167,490.98,
Coffs,Site 2,Seagrass,210,15,1.91,0.0029,115.92,
Coffs,Site 2,Seagrass,210,25,1.38,0.0022,62.89,
Coffs,Site 3,Seagrass,300,9,1.62,0.0017,80.88,
Coffs,Site 3,Seagrass,300,15,2.01,0.0032,191.51,
Coffs,Site 3,Seagrass,300,21,1.95,0.0018,105.31,
Corindi,Site 1,Seagrass,110,9,1.08,0.0066,78.92,
Corindi,Site 1,Seagrass,110,21,1.13,0.0081,100.58,
Corindi,Site 1,Seagrass,110,35,1.33,0.0086,125.72,
Corindi,Site 2,Seagrass,300,5,1.36,0.0539,2200.87,
Corindi,Site 2,Seagrass,300,11,1.45,0.0078,339.93,
Corindi,Site 2,Seagrass,300,17,1.18,0.0082,292.22,
