"ID","SUBPID","DISTURBN","DISTRUBID","DISTURBANCE_NOTES","DYEAR","CITID"
1,351,1,100,"NA",,1000
2,352,1,1,"None",,1000
3,353,1,1,"None",,1000
4,354,1,100,,,1000
5,355,1,2,"Low disturbance, some cutting",,1000
6,356,1,2,"Some tree cutting",,1000
7,357,1,1,"None",,1000
8,358,1,2,"Some tree cutting",,1000
9,359,1,2,"Some cutting",,1000
10,360,1,2,"Some cutting",,1000
11,361,1,2,"Some cutting",,1000
12,362,1,100,"NA",,1000
13,363,1,21,"clear cutting and burning a long time ago, RHAP regrowth",,1000
14,364,1,100,"NA",,1000
15,365,1,100,"NA",,1000
16,366,1,100,"NA",,1000
17,367,1,100,"NA",,1000
18,368,1,100,"NA",,1000
19,369,1,100,"NA",,1000
20,370,1,1,"Some cut and burned",,1000
21,371,1,1,"Big tree dead and blown down",,1000
22,372,1,2,"Some cut or burned",,1000
23,373,1,1,"None",,1000
24,374,1,1,"None",,1000
25,375,1,1,"None",,1000
26,376,1,1,"None",,1000
27,377,1,1,"None",,1000
28,378,1,1,"None",,1000
29,379,1,1,"None",,1000
30,380,1,1,"None",,1000
31,381,1,1,"None",,1000
32,382,1,1,"None",,1000
33,383,1,2,"Disturbance",,1000
34,384,1,2,"Disturbance",,1000
35,385,1,2,"Disturbance",,1000
36,386,1,2,"Disturbance",,1000
37,387,1,2,"Disturbance",,1000
38,388,1,2,"cut down",,1000
39,389,1,2,"tree blown down/rotten",,1000
40,390,1,1,"none",,1000
41,391,1,2,"cutting, tree blown down/rotten",,1000
42,392,1,2,"cutting, tree blown down/rotten",,1000
43,393,1,1,"Intact mangrove forest",,1000
44,394,1,1,"Intact mangrove forest",,1000
45,395,1,1,"Intact mangrove forest",,1000
46,396,1,21,"used to be degraded area and now recovering with lots of big trees",,1000
47,397,1,21,"used to be degraded area and now recovering with lots of big trees",,1000
48,398,1,21,"used to be degraded area and now recovering with lots of big trees",,1000
49,399,1,21,"used to be degraded area and now recovering with lots of big trees",,1000
50,400,1,21,"used to be degraded area and now recovering with lots of big trees",,1000
51,401,1,21,"Almost intact mangrove forest after reforestration",,1000
52,402,1,21,"Almost intact mangrove forest after reforestration",,1000
53,403,1,21,"Almost intact mangrove forest after reforestration",,1000
54,404,1,21,"Almost intact mangrove forest after reforestration",,1000
55,405,1,21,"Almost intact mangrove forest after reforestration",,1000
56,406,1,100,,,1000
57,407,1,100,,,1000
58,408,1,100,,,1000
59,409,1,100,,,1000
60,410,1,100,,,1000
61,411,1,22,"Disturbance in plot 1 and 5",,1000
62,412,1,1,,,1000
63,413,1,22,,,1000
64,414,1,13,"Cut and burn in the center of the plot. Other subplots show signs of cut and degraded forest",,1000
65,415,1,13,,,1000
66,416,1,13,,,1000
67,417,1,13,,,1000
68,418,1,13,,,1000
69,419,1,1,"No disturbance, very dense forest with a lot of trees and roots",,1000
70,420,1,1,,,1000
71,421,1,1,,,1000
72,422,1,1,,,1000
73,423,1,1,,,1000
74,424,1,13,"Human disturbance (cutting) and regenerating",,1000
75,425,1,100,,,1000
76,426,1,100,,,1000
77,427,1,100,,,1000
78,428,1,100,,,1000
79,429,1,13,"The forest was cut more than 15 years and later regenated.",,1000
80,430,1,13,,,1000
81,431,1,13,,,1000
82,432,1,13,,,1000
83,433,1,13,,,1000
84,434,1,100,,,1000
85,435,1,100,,,1000
86,436,1,100,,,1000
87,437,1,100,,,1000
88,438,1,100,,,1000
89,439,1,100,,,1000
90,440,1,100,,,1000
91,441,1,100,,,1000
92,442,1,100,,,1000
93,443,1,100,,,1000
94,444,1,100,,,1000
95,445,1,100,,,1000
96,446,1,100,,,1000
97,447,1,100,,,1000
98,448,1,100,,,1000
99,449,1,100,,,1000
100,450,1,100,,,1000
101,451,1,100,,,1000
102,452,1,21,"Almost intact mangrove forest after reforestration",,1000
103,453,1,21,"Almost intact mangrove forest after reforestration",,1000
104,454,1,21,"Almost intact mangrove forest after reforestration",,1000
105,455,1,21,"Almost intact mangrove forest after reforestration",,1000
106,456,1,21,"Almost intact mangrove forest after reforestration",,1000
107,457,1,100,,,1000
108,458,1,100,,,1000
109,459,1,100,,,1000
110,460,1,100,,,1000
111,461,1,100,,,1000
112,462,1,100,,,1000
113,463,1,100,,,1000
114,464,1,100,,,1000
115,465,1,100,,,1000
116,466,1,100,,,1000
117,467,1,100,,,1000
118,468,1,100,,,1000
119,469,1,100,,,1000
120,470,1,100,,,1000
121,471,1,100,,,1000
122,472,1,100,,,1000
123,473,1,100,,,1000
124,474,1,100,,,1000
125,475,1,100,,,1000
126,476,1,100,,,1000
127,477,1,100,,,1000
128,478,1,100,,,1000
129,479,1,100,,,1000
130,480,1,100,,,1000
