"ID","PLOTID","SUBP","AZI","DIST","SLOPE","LATITUDE","LONGITUDE","ELEVATION","ACCURACY","GEOID","ECOID","TOPOID","SUBP_DESCRIPTION","NOTES"
351,130,1,,,,,,,,100,1,2,,
352,130,2,,,,,,,,100,1,2,,
353,130,3,,,,,,,,100,1,2,,
354,130,4,,,,,,,,100,1,2,,
355,131,1,,,,11.56,102.99,,12.00,100,1,2,,
356,131,2,,,,,,,,100,1,2,,
357,131,3,,,,,,,,100,1,2,,
358,131,4,,,,,,,,100,1,2,,
359,132,1,,,,11.55,103.04,,9.00,100,1,2,,
360,132,2,,,,,,,,100,1,2,,
361,132,3,,,,,,,,100,1,2,,
362,133,1,,,,11.58,103.03,,8.00,100,1,2,,
363,133,2,,,,,,,,100,1,2,,
364,133,4,,,,,,,,100,1,2,,
365,134,1,,,,11.55,103.04,,30.10,100,1,2,,
366,134,2,,,,,,,,100,1,2,,
367,134,3,,,,,,,,100,1,2,,
368,134,4,,,,,,,,100,1,2,,
369,134,5,,,,,,,,100,1,2,,
370,135,1,,,,,,,,100,1,2,,
371,135,2,,,,,,,,100,1,2,,
372,135,4,,,,,,,,100,1,2,,
373,136,1,,,,11.51,102.98,,7.00,100,1,2,,
374,136,2,,,,,,,,100,1,2,,
375,136,3,,,,,,,,100,1,2,,
376,136,4,,,,,,,,100,1,2,,
377,136,5,,,,,,,,100,1,2,,
378,137,1,,,,11.51,102.98,,11.00,100,1,2,,
379,137,2,,,,,,,,100,1,2,,
380,137,3,,,,,,,,100,1,2,,
381,137,4,,,,,,,,100,1,2,,
382,137,5,,,,,,,,100,1,2,,
383,138,1,,,,11.51,102.98,,65.00,100,1,2,,
384,138,2,,,,,,,,100,1,2,,
385,138,3,,,,,,,,100,1,2,,
386,138,4,,,,,,,,100,1,2,,
387,138,5,,,,,,,,100,1,2,,
388,139,1,,,,11.51,102.98,,15.00,100,1,2,,
389,139,2,,,,,,,,100,1,2,,
390,139,3,,,,,,,,100,1,2,,
391,139,4,,,,,,,,100,1,2,,
392,139,5,,,,,,,,100,1,2,,
393,140,1,,,,11.58,103.03,,1.00,100,1,2,,
394,140,2,,,,,,,,100,1,2,,
395,140,3,,,,,,,,100,1,2,,
396,141,1,,,,11.50,103.03,,19.00,100,2,2,,
397,141,2,,,,,,,,100,2,2,,
398,141,3,,,,,,,,100,2,2,,
399,141,4,,,,,,,,100,2,2,,
400,141,5,,,,,,,,100,2,2,,
401,142,1,,,,11.55,102.97,,8.00,100,1,2,,
402,142,2,,,,,,,,100,1,2,,
403,142,3,,,,,,,,100,1,2,,
404,142,4,,,,,,,,100,1,2,,
405,142,5,,,,,,,,100,1,2,,
406,143,1,,,,11.50,103.00,,27.00,100,1,2,,
407,143,2,,,,,,,,100,1,2,,
408,143,3,,,,,,,,100,1,2,,
409,143,4,,,,,,,,100,1,2,,
410,143,5,,,,,,,,100,1,2,,
411,144,1,,,,11.46,103.06,,5.00,100,1,2,,
412,144,2,,,,,,,,100,1,2,,
413,144,5,,,,,,,,100,1,2,,
414,145,1,,,,11.55,103.03,,5.00,100,1,2,,
415,145,2,,,,,,,,100,1,2,,
416,145,3,,,,,,,,100,1,2,,
417,145,4,,,,,,,,100,1,2,,
418,145,5,,,,,,,,100,1,2,,
419,146,1,,,,11.45,103.08,,9.00,100,1,2,,
