"ID","SUBPID","TRANSN","TRANS","SLOPE","AZI","NOTES"
1,351,1,"A",,45,
2,351,2,"B",,135,
3,351,3,"C",,225,
4,351,4,"D",,315,
5,352,1,"A",,45,
6,352,2,"B",,135,
7,352,3,"C",,225,
8,352,4,"D",,315,
9,353,1,"A",,45,
10,353,2,"B",,135,
11,353,3,"C",,225,
12,353,4,"D",,315,
13,354,1,"A",,45,
14,354,2,"B",,135,
15,354,3,"C",,225,
16,354,4,"D",,315,
17,355,1,"A",,45,
18,355,2,"B",,135,
19,355,3,"C",,225,
20,355,4,"D",,315,
21,356,1,"A",,45,
22,356,2,"B",,135,
23,356,3,"C",,225,
24,356,4,"D",,315,
25,357,1,"A",,45,
26,357,2,"B",,135,
27,357,3,"C",,225,
28,357,4,"D",,315,
29,358,1,"A",,45,
30,358,2,"B",,135,
31,358,3,"C",,225,
32,358,4,"D",,315,
33,359,1,"A",,45,
34,359,2,"B",,135,
35,359,3,"C",,225,
36,359,4,"D",,315,
37,360,1,"A",,45,
38,360,2,"B",,135,
39,360,3,"C",,225,
40,360,4,"D",,315,
41,361,1,"A",,45,
42,361,2,"B",,135,
43,361,3,"C",,225,
44,361,4,"D",,315,
45,362,1,"A",,45,
46,362,2,"B",,135,
47,362,3,"C",,225,
48,362,4,"D",,315,
49,363,1,"A",,45,
50,363,2,"B",,135,
51,363,3,"C",,225,
52,363,4,"D",,315,
53,364,1,"A",,45,
54,364,2,"B",,135,
55,364,3,"C",,225,
56,364,4,"D",,315,
57,365,1,"A",,45,
58,365,2,"B",,135,
59,365,3,"C",,225,
60,365,4,"D",,315,
61,366,1,"A",,45,
62,366,2,"B",,135,
63,366,3,"C",,225,
64,366,4,"D",,315,
65,367,1,"A",,45,
66,367,2,"B",,135,
67,367,3,"C",,225,
68,367,4,"D",,315,
69,368,1,"A",,45,
70,368,2,"B",,135,
71,368,3,"C",,225,
72,368,4,"D",,315,
73,369,1,"A",,45,
74,369,2,"B",,135,
75,369,3,"C",,225,
76,369,4,"D",,315,
77,370,1,"A",,45,
78,370,2,"B",,135,
79,370,3,"C",,225,
80,370,4,"D",,315,
81,371,1,"A",,45,
82,371,2,"B",,135,
83,371,3,"C",,225,
84,371,4,"D",,315,
85,372,1,"A",,45,
86,372,2,"B",,135,
87,372,3,"C",,225,
88,372,4,"D",,315,
89,373,1,"A",,45,
90,373,2,"B",,135,
91,373,3,"C",,225,
92,373,4,"D",,315,
93,374,1,"A",,45,
94,374,2,"B",,135,
95,374,3,"C",,225,
96,374,4,"D",,315,
97,375,1,"A",,45,
98,375,2,"B",,135,
99,375,3,"C",,225,
100,375,4,"D",,315,
101,376,1,"A",,45,
102,376,2,"B",,135,
103,376,3,"C",,225,
104,376,4,"D",,315,
105,377,1,"A",,45,
106,377,2,"B",,135,
107,377,3,"C",,225,
108,377,4,"D",,315,
109,378,1,"A",,45,
110,378,2,"B",,135,
111,378,3,"C",,225,
112,378,4,"D",,315,
113,379,1,"A",,45,
114,379,2,"B",,135,
115,379,3,"C",,225,
116,379,4,"D",,315,
117,380,1,"A",,45,
118,380,2,"B",,135,
119,380,3,"C",,225,
120,380,4,"D",,315,
121,381,1,"A",,45,
122,381,2,"B",,135,
123,381,3,"C",,225,
124,381,4,"D",,315,
125,382,1,"A",,45,
126,382,2,"B",,135,
127,382,3,"C",,225,
128,382,4,"D",,315,
129,383,1,"A",,45,
130,383,2,"B",,135,
131,383,3,"C",,225,
132,383,4,"D",,315,
133,384,1,"A",,45,
134,384,2,"B",,135,
135,384,3,"C",,225,
136,384,4,"D",,315,
137,385,1,"A",,45,
138,385,2,"B",,135,
139,385,3,"C",,225,
140,385,4,"D",,315,
141,386,1,"A",,45,
142,386,2,"B",,135,
143,386,3,"C",,225,
144,386,4,"D",,315,
145,387,1,"A",,45,
146,387,2,"B",,135,
147,387,3,"C",,225,
148,387,4,"D",,315,
149,388,1,"A",,45,
150,388,2,"B",,135,
151,388,3,"C",,225,
152,388,4,"D",,315,
153,389,1,"A",,45,
154,389,2,"B",,135,
155,389,3,"C",,225,
156,389,4,"D",,315,
157,390,1,"A",,45,
158,390,2,"B",,135,
159,390,3,"C",,225,
160,390,4,"D",,315,
161,391,1,"A",,45,
162,391,2,"B",,135,
163,391,3,"C",,225,
164,391,4,"D",,315,
165,392,1,"A",,45,
166,392,2,"B",,135,
167,392,3,"C",,225,
168,392,4,"D",,315,
169,393,1,"A",,45,
170,393,2,"B",,135,
171,393,3,"C",,225,
172,393,4,"D",,315,
173,394,1,"A",,45,
174,394,2,"B",,135,
175,394,3,"C",,225,
176,394,4,"D",,315,
177,395,1,"A",,45,
178,395,2,"B",,135,
