"ID","WDID","WDN","DIA","NOTES"
1,199,1,17.50,
2,224,1,9.50,
3,224,2,9.80,
4,224,3,10.40,
5,225,1,9.50,
6,225,2,17.40,
7,229,1,36.00,
8,230,1,9.70,
9,234,1,10.50,
10,234,2,13.40,
11,235,1,24.80,
12,239,1,15.70,
13,239,2,22.00,
14,240,1,8.80,
15,254,1,11.00,
16,254,2,9.20,
17,254,3,10.20,
18,264,1,69.00,
19,264,2,7.80,
20,264,3,26.00,
21,284,1,9.10,
22,284,2,12.00,
23,284,3,55.50,
24,299,1,34.00,
25,300,1,36.00,
26,315,1,18.00,
27,319,1,13.80,
28,320,1,19.00,
29,320,2,13.00,
30,320,3,10.90,
31,324,1,9.20,
32,324,2,12.10,
33,364,1,14.20,
34,369,1,20.00,
35,389,1,50.80,
36,389,2,10.00,
37,389,3,9.50,
38,389,5,9.50,
39,389,6,10.50,
40,394,1,8.00,
41,404,1,18.00,
42,404,2,13.00,
43,409,1,10.00,
44,414,1,13.00,
45,419,1,13.00,
46,419,2,18.00,
47,444,1,13.50,
48,449,1,13.50,
49,454,1,9.50,
50,455,1,8.50,
51,459,1,22.50,
52,460,1,14.50,
53,504,1,12.50,
54,519,1,12.70,
55,529,1,12.50,
56,530,1,13.20,
57,545,1,12.10,
58,555,1,8.60,
59,569,1,10.90,
60,604,1,7.70,
61,605,1,10.10,
62,610,1,11.00,
63,614,1,15.20,
64,614,2,9.00,
65,615,1,20.80,
66,615,2,10.10,
67,615,3,20.90,
68,615,4,13.50,
69,615,5,12.80,
70,620,1,8.60,
71,635,1,18.20,
72,639,1,12.50,
73,725,1,17.00,
74,755,1,24.00,
75,775,1,11.00,
76,795,1,12.00,
77,815,1,9.50,
78,815,2,15.50,
79,825,1,11.00,
80,845,1,8.80,
81,889,1,35.00,
82,994,1,7.90,
83,1049,1,10.00,
84,1125,1,15.00,
85,1204,1,7.60,
86,1204,2,7.10,
87,1204,3,8.70,
88,1209,1,11.10,
89,1214,1,9.30,
90,1214,2,8.90,
91,1215,1,9.40,
92,1219,1,8.90,
93,1249,1,8.20,
94,1249,2,7.90,
95,1249,3,17.00,
96,1259,1,8.00,
97,1259,2,9.00,
98,1264,1,8.50,
99,1269,1,9.00,
100,1269,2,8.00,
101,1269,3,13.90,
102,1275,1,7.90,
103,1275,2,8.30,
104,1279,1,9.50,
105,1284,1,11.80,
106,1284,2,20.50,
107,1289,1,18.20,
108,1289,2,7.80,
109,1299,1,7.90,
110,1304,1,10.50,
111,1309,1,7.60,
112,1314,1,7.40,
113,1314,2,20.20,
114,1319,1,15.50,
115,1319,2,17.60,
116,1324,1,7.30,
117,1324,2,17.90,
118,1324,3,10.50,
119,1339,1,9.20,
120,1339,2,9.00,
121,1339,3,14.60,
122,1364,1,8.00,
123,1374,1,27.00,
124,1379,1,17.20,
125,1389,1,7.80,
126,1389,2,8.20,
127,1389,3,8.70,
128,1390,1,37.10,
129,1394,1,13.10,
130,1394,2,23.60,
131,1414,1,15.30,
132,1419,1,8.00,
133,1419,2,21.30,
134,1419,3,8.90,
135,1424,1,8.60,
136,1424,2,8.00,
137,1424,3,10.90,
138,1429,1,7.80,
139,1429,2,11.00,
140,1434,1,25.40,
141,1434,2,11.20,
142,1434,3,6.70,
143,1439,1,11.80,
144,1494,1,18.10,
145,1580,1,19.80,
146,1580,2,23.40,
147,1580,3,12.10,
148,1584,1,10.90,
149,1585,1,8.50,
150,1690,1,13.80,
151,1740,1,19.00,
152,1770,1,13.90,
153,1775,1,9.40,
154,1835,1,15.00,
155,1855,1,14.30,
156,1855,2,10.80,
157,1855,3,17.30,
158,1860,1,13.20,
159,1880,1,9.10,
160,1880,2,10.60,
161,1895,1,8.50,
162,1895,2,11.20,
163,1895,3,11.10,
164,1900,1,7.80,
165,1984,1,29.50,
166,1990,1,28.00,
167,1999,1,16.00,
168,1999,2,27.50,
169,2000,1,22.00,
170,2000,2,35.00,
171,2004,1,14.00,
172,2004,2,17.00,
173,2005,1,20.00,
174,2009,1,12.00,
175,2009,2,23.50,
176,2010,1,17.00,
177,2010,2,22.00,
178,2014,1,27.00,
179,2014,2,30.00,
180,2015,1,16.50,
181,2015,2,32.00,
182,2019,1,7.00,
183,2019,2,8.00,
184,2020,1,20.00,
185,2020,2,12.00,
186,2020,3,21.50,
187,2025,1,25.50,
188,2034,1,63.50,
189,2034,2,35.50,
190,2044,1,21.00,
191,2044,2,32.00,
192,2045,1,24.00,
193,2045,2,32.00,
194,2059,1,48.00,
195,2100,1,39.00,
196,2129,1,38.00,
197,2145,1,21.00,
198,2164,1,28.00,
199,2165,1,35.00,
200,2169,1,28.00,
201,2169,2,12.00,
202,2170,1,31.00,
203,2175,1,25.00,
204,2175,2,15.00,
205,2175,3,12.00,
206,2180,1,15.00,
207,2185,1,12.00,
208,2189,1,45.00,
209,2195,1,8.50,
210,2200,1,13.00,
211,2204,1,12.00,
212,2204,2,25.00,
213,2205,1,15.00,
214,2205,2,15.00,
215,2209,1,15.00,
216,2210,1,23.00,
217,2210,2,18.00,
218,2210,3,15.00,
219,2210,4,45.00,
220,2210,5,23.00,
221,2214,1,8.40,
222,2214,2,8.50,
223,2215,1,7.70,
224,2215,2,23.00,
225,2219,1,13.00,
226,2220,1,18.00,
227,2220,2,10.00,
228,2220,3,12.50,
229,2224,1,59.00,
230,2225,1,52.00,
231,2234,1,12.00,
232,2234,2,15.00,
233,2235,1,21.00,
234,2250,1,15.00,
235,2250,2,25.00,
236,2270,1,13.50,
237,2270,2,15.30,
238,2280,1,20.00,
239,2280,2,11.00,
240,2295,1,15.00,
241,2300,1,12.00,
242,2314,1,21.00,
243,2320,1,2.00,
244,2325,1,17.00,
245,2325,2,21.00,
246,2330,1,15.00,
247,2335,1,22.00,
248,2335,2,16.00,
249,2335,3,33.00,
250,2345,1,13.00,
251,2350,1,15.00,
252,2350,2,16.00,
253,2355,1,10.50,
254,2355,2,10.00,
255,2385,1,12.00,
256,2395,1,27.30,
257,2395,2,25.50,
258,2395,3,37.00,
259,2395,4,23.00,
260,2404,1,30.00,
261,2410,1,27.00,
262,2460,1,7.70,
