"ID","TRANSID","COMPID","N","L"
1,1,8,10,2.00
2,1,9,9,3.00
3,1,10,2,5.00
4,1,12,0,12.00
5,1,13,0,12.00
6,2,8,10,2.00
7,2,9,9,3.00
8,2,10,0,5.00
9,2,12,0,12.00
10,2,13,0,12.00
11,3,8,2,2.00
12,3,9,1,3.00
13,3,10,1,5.00
14,3,12,0,12.00
15,3,13,0,12.00
16,4,8,10,2.00
17,4,9,8,3.00
18,4,10,1,5.00
19,4,12,0,12.00
20,4,13,0,12.00
21,5,8,12,2.00
22,5,9,2,3.00
23,5,10,0,5.00
24,5,12,0,12.00
25,5,13,0,12.00
26,6,8,13,2.00
27,6,9,5,3.00
28,6,10,0,5.00
29,6,12,0,12.00
30,6,13,0,12.00
31,7,8,22,2.00
32,7,9,11,3.00
33,7,10,2,5.00
34,7,12,0,12.00
35,7,13,0,12.00
36,8,8,21,2.00
37,8,9,5,3.00
38,8,10,0,5.00
39,8,12,0,12.00
40,8,13,0,12.00
41,9,8,0,2.00
42,9,9,0,3.00
43,9,10,0,5.00
44,9,12,0,12.00
45,9,13,0,12.00
46,10,8,0,2.00
47,10,9,0,3.00
48,10,10,0,5.00
49,10,12,0,12.00
50,10,13,0,12.00
51,11,8,0,2.00
52,11,9,0,3.00
53,11,10,0,5.00
54,11,12,0,12.00
55,11,13,0,12.00
56,12,8,0,2.00
57,12,9,0,3.00
58,12,10,0,5.00
59,12,12,0,12.00
60,12,13,0,12.00
61,13,8,8,2.00
62,13,9,6,3.00
63,13,10,1,5.00
64,13,12,0,12.00
65,13,13,0,12.00
66,14,8,5,2.00
67,14,9,10,3.00
68,14,10,0,5.00
69,14,12,0,12.00
70,14,13,0,12.00
71,15,8,2,2.00
72,15,9,7,3.00
73,15,10,3,5.00
74,15,12,0,12.00
75,15,13,0,12.00
76,16,8,4,2.00
77,16,9,6,3.00
78,16,10,0,5.00
79,16,12,0,12.00
80,16,13,0,12.00
81,17,8,17,2.00
82,17,9,9,3.00
83,17,10,1,5.00
84,17,12,0,12.00
85,17,13,0,12.00
86,18,8,2,2.00
87,18,9,3,3.00
88,18,10,0,5.00
89,18,12,0,12.00
90,18,13,0,12.00
91,19,8,1,2.00
92,19,9,0,3.00
93,19,10,1,5.00
94,19,12,0,12.00
95,19,13,0,12.00
96,20,8,8,2.00
97,20,9,14,3.00
98,20,10,1,5.00
99,20,12,0,12.00
100,20,13,0,12.00
101,21,8,5,2.00
102,21,9,7,3.00
103,21,10,0,5.00
104,21,12,0,12.00
105,21,13,0,12.00
106,22,8,18,2.00
107,22,9,16,3.00
108,22,10,1,5.00
109,22,12,0,12.00
110,22,13,0,12.00
111,23,8,7,2.00
112,23,9,9,3.00
113,23,10,0,5.00
114,23,12,0,12.00
115,23,13,0,12.00
116,24,8,8,2.00
117,24,9,0,3.00
118,24,10,0,5.00
119,24,12,0,12.00
120,24,13,0,12.00
121,25,8,7,2.00
122,25,9,3,3.00
123,25,10,3,5.00
124,25,12,0,12.00
125,25,13,0,12.00
126,26,8,9,2.00
127,26,9,6,3.00
128,26,10,3,5.00
129,26,12,0,12.00
130,26,13,0,12.00
131,27,8,2,2.00
132,27,9,1,3.00
133,27,10,0,5.00
134,27,12,0,12.00
135,27,13,0,12.00
136,28,8,2,2.00
137,28,9,1,3.00
138,28,10,11,5.00
139,28,12,0,12.00
140,28,13,0,12.00
141,29,8,8,2.00
142,29,9,20,3.00
143,29,10,0,5.00
144,29,12,0,12.00
145,29,13,0,12.00
146,30,8,8,2.00
147,30,9,28,3.00
148,30,10,0,5.00
149,30,12,0,12.00
150,30,13,0,12.00
151,31,8,17,2.00
152,31,9,12,3.00
153,31,10,0,5.00
154,31,12,0,12.00
155,31,13,0,12.00
156,32,8,22,2.00
157,32,9,16,3.00
158,32,10,0,5.00
159,32,12,0,12.00
160,32,13,0,12.00
161,33,8,4,2.00
162,33,9,1,3.00
163,33,10,2,5.00
164,33,12,0,12.00
165,33,13,0,12.00
166,34,8,2,2.00
167,34,9,2,3.00
168,34,10,0,5.00
169,34,12,0,12.00
170,34,13,0,12.00
171,35,8,7,2.00
172,35,9,4,3.00
173,35,10,1,5.00
174,35,12,0,12.00
175,35,13,0,12.00
176,36,8,15,2.00
177,36,9,6,3.00
178,36,10,0,5.00
179,36,12,0,12.00
180,36,13,0,12.00
181,37,8,5,2.00
182,37,9,6,3.00
183,37,10,0,5.00
184,37,12,0,12.00
185,37,13,0,12.00
186,38,8,3,2.00
187,38,9,1,3.00
188,38,10,1,5.00
189,38,12,0,12.00
190,38,13,0,12.00
191,39,8,2,2.00
192,39,9,0,3.00
193,39,10,0,5.00
194,39,12,0,12.00
195,39,13,0,12.00
196,40,8,2,2.00
197,40,9,6,3.00
198,40,10,2,5.00
199,40,12,1,12.00
200,40,13,0,12.00
201,41,8,8,2.00
202,41,9,1,3.00
203,41,10,0,5.00
204,41,12,0,12.00
205,41,13,0,12.00
206,42,8,0,2.00
207,42,9,2,3.00
208,42,10,0,5.00
209,42,12,0,12.00
210,42,13,0,12.00
211,43,8,7,2.00
212,43,9,4,3.00
213,43,10,0,5.00
214,43,12,0,12.00
215,43,13,0,12.00
216,44,8,11,2.00
217,44,9,5,3.00
218,44,10,0,5.00
219,44,12,0,12.00
220,44,13,0,12.00
221,45,8,18,2.00
222,45,9,2,3.00
223,45,10,5,5.00
224,45,12,3,12.00
225,45,13,2,12.00
226,46,8,12,2.00
227,46,9,6,3.00
228,46,10,1,5.00
229,46,12,1,12.00
230,46,13,1,12.00
231,47,8,21,2.00
232,47,9,6,3.00
233,47,10,3,5.00
234,47,12,2,12.00
235,47,13,1,12.00
236,48,8,17,2.00
237,48,9,10,3.00
238,48,10,0,5.00
239,48,12,2,12.00
240,48,13,1,12.00
241,49,8,10,2.00
242,49,9,3,3.00
243,49,10,0,5.00
244,49,12,0,12.00
245,49,13,0,12.00
246,50,8,12,2.00
247,50,9,14,3.00
248,50,10,4,5.00
