"SUBPID","WD_C"
351,3.92
352,2.99
353,0.00
354,3.98
355,3.38
356,2.98
357,8.52
358,5.77
359,2.45
360,5.06
361,1.03
362,39.80
363,6.87
364,51.17
365,64.48
366,14.90
367,9.47
368,3.31
369,6.28
370,33.45
371,16.80
372,9.31
373,17.00
374,1.89
375,0.47
376,5.87
377,5.19
378,17.25
379,17.59
380,16.26
381,45.03
382,12.69
383,1.99
384,2.05
385,6.21
386,7.59
387,5.45
388,11.34
389,8.08
390,13.14
391,17.40
392,11.39
393,5.25
394,7.23
395,14.17
396,1.64
397,1.26
398,1.64
399,1.54
400,3.63
401,9.06
402,1.73
403,4.05
404,5.30
405,4.91
406,10.71
407,8.97
408,4.15
409,7.60
410,5.40
411,20.58
412,8.95
413,23.51
414,38.98
415,23.07
416,41.43
417,26.92
418,15.55
419,22.51
420,34.32
421,18.37
422,33.26
424,8.87
425,10.93
426,11.07
427,11.61
428,5.51
434,14.28
435,21.18
436,5.75
437,12.87
438,2.68
439,9.52
440,11.70
441,11.72
442,12.55
443,13.42
444,2.36
445,8.73
446,3.28
447,22.30
448,12.12
449,21.30
450,12.04
451,13.39
452,2.69
453,1.66
454,1.91
455,6.33
457,44.16
458,91.87
459,52.69
460,47.60
461,0.00
462,13.48
463,0.00
464,12.80
465,3.91
466,52.97
467,21.37
468,78.69
469,70.10
470,7.53
471,8.31
472,3.27
473,3.94
474,24.68
475,7.62
476,0.00
477,30.48
478,14.44
479,0.00
480,0.52
