Latitude,Longitude,Sample ID,Depth top [m],Depth bot [m],TOC [%],TIC [%],TN [%],TS [%],d13C_TOC_permil,d15N_permil_air,d34S_permil_CDT
53.775699,7.757301,D2_single,0,0.05,14.78,0.46,1.18,0.23,-28.88,6.6,4.2
53.774925,7.758052,D4_top,0,0.05,21.68,1.4,1.48,0.47,-29.1,8.3,2.1
53.774925,7.758052,D4_bottom,0.05,0.1,4.38,1,0.51,0.17,-27.29,9.1,0.6
53.772546,7.759153,D7_top,0,0.05,7.93,1.93,0.7,0.22,-27.06,7.8,8.5
53.772546,7.759153,D7_bottom,0.13,0.18,3.9,3.6,0.39,0.12,-25.47,8.3,8.9
53.772272,7.759541,D8_top,0,0.05,7.61,3.52,0.87,0.67,-27.86,7,7.2
53.772272,7.759541,D8_bottom,0.17,0.22,2.13,3.16,0.29,0.1,-24.19,8.4,6.2
53.770942,7.760414,D10_top,0,0.05,6.52,5.37,0.59,0.37,-25.33,8.1,1.1
53.770942,7.760414,D10_bottom,0.06,0.11,2.53,1.77,0.39,0.17,-25.45,9.4,10.5
53.766289,7.761431,D13_single,0,0.05,2.95,6.99,0.3,0.18,-21.48,8.2,7.7
53.776385,7.775969,F3_top,0,0.05,10.94,0.81,0.92,0.23,-29.89,4.8,4.1
53.776385,7.775969,F3_bottom,0.05,0.1,5.83,0.48,0.55,0.16,-28.73,5.7,3.8
53.775167,7.776354,F5_single,0,0.09,18.1,2.37,1.4,0.41,-29.84,5.3,-0.1
53.773995,7.776873,F7_top,0,0.05,13.62,3.2,0.88,0.4,-27.78,5.3,1.2
53.773995,7.776873,F7_bottom,0.08,0.13,5,4.25,0.42,0.15,-26.88,7.2,7.4
53.772806,7.777408,F9_top,0,0.05,14.98,2.39,1.06,0.34,-28.13,5.2,10.1
53.772806,7.777408,F9_bottom,0.11,0.16,5.78,1.87,0.54,0.19,-26.66,7.5,11.1
53.771474,7.778099,F12_top,0,0.05,10.81,2.3,0.9,0.44,-27.5,7.6,11.7
53.771474,7.778099,F12_bottom,0.08,0.13,3.49,4.57,0.45,0.43,-25.91,8.7,11
53.770962,7.778114,F13_top,0,0.05,9.71,3.3,0.89,0.75,-27.32,7.1,8.5
53.770962,7.778114,F13_bottom,0.19,0.24,2.49,8.07,0.36,0.17,-24.75,8.5,9.7
53.769465,7.778491,F15_top,0,0.05,4.03,11.75,0.48,0.31,-24.57,7.3,-0.2
53.769465,7.778491,F15_bottom,0.14,0.19,4.34,2.43,0.54,0.2,-25.06,8.3,11.1
53.768391,7.778917,F17_top,0,0.05,4.63,4.54,0.65,0.25,-25.42,8.6,9.1
53.768391,7.778917,F17_bottom,0.15,0.2,1.88,3.25,0.25,0.31,-23.27,8.2,9.2
53.7673,7.779418,F19_top,0,0.05,4.33,11.17,0.47,0.55,-24.94,8.3,4.7
53.7673,7.779418,F19_bottom,0.23,0.28,2.3,3.24,0.24,0.24,-24.29,8.5,9.2
53.767031,7.779472,F20_top,0,0.05,2.86,7.21,0.4,0.49,-24.54,8.6,8.6
53.767031,7.779472,F20_bottom,0.25,0.3,3.06,6.08,0.37,0.18,-23.61,8.3,10.2
53.766664,7.779589,F22_top,0,0.05,13.32,2.2,1.15,0.39,-27.3,6.5,9.2
53.766664,7.779589,F22_bottom,0.29,0.34,3.61,3.91,0.39,0.19,-23.93,7.8,8.6
53.766548,7.779607,F23_top,0,0.05,2.25,2.64,0.27,0.28,-23.27,8.3,12
53.766548,7.779607,F23_bottom,0.15,0.2,2.51,5.03,0.22,0.14,-23.42,8.1,10.4
53.77545,7.797142,G4_top,0,0.05,18.04,1.47,1.34,0.39,-28.41,10.3,4.6
53.77545,7.797142,G4_bottom,0.06,0.11,12.62,1.27,0.98,0.82,-28.09,12.8,5.4
53.775415,7.797249,G5_single,0,0.03,17.46,4.78,1.43,0.38,-28.96,9.7,7.3
53.774744,7.795797,G9_single,0,0.04,13.11,2.8,1.07,0.41,-27.22,8.2,6.6
53.773471,7.796122,G10_top,0,0.05,4,13.25,0.54,0.83,-24.28,8.1,-5.2
53.773471,7.796122,G10_bottom,0.05,0.1,3.73,8.65,0.46,0.35,-24.19,8.5,1.9
53.771033,7.795752,G15_top,0,0.05,3.33,8.47,0.46,0.19,-24.59,8.9,6.5
53.771033,7.795752,G15_bottom,0.07,0.12,3.19,6.94,0.41,0.19,-23.49,8.5,10.5
