Marsh_ID,Site_ID,Nation,Marsh_Type,Collection_Year,Latitude_Dec_Degree,Longitude_Dec_Degree,X_Easting,Y_Northing,Elevation_above_OD__m,Sampling_Method,Core_Depth_cm,Purpose
Arne,AR-1,England,Natural,2020,50.690512,-2.0286577,398072,87874.00,0.71,Narrow Gouge,74,Soil_C_Stocks
Arne,AR-10,England,Natural,2020,50.690746,-2.0280208,398117,87900.00,0.73,Narrow Gouge,82,Soil_C_Stocks
Arne,AR-11,England,Natural,2020,50.691088,-2.0283607,398093,87938.00,0.81,Narrow Gouge,100,Soil_C_Stocks
Arne,AR-12,England,Natural,2020,50.690953,-2.0280067,398118,87923.00,0.75,Narrow Gouge,85,Soil_C_Stocks
Arne,AR-13,England,Natural,2020,50.690746,-2.027412,398160,87900.00,0.67,Narrow Gouge,60,Soil_C_Stocks
Arne,AR-14,England,Natural,2020,50.690675,-2.0271996,398175,87892.00,0.68,Narrow Gouge,100,Soil_C_Stocks
Arne,AR-15,England,Natural,2020,50.690576,-2.0269447,398193,87881.00,0.67,Narrow Gouge,85,Soil_C_Stocks
Arne,AR-16,England,Natural,2020,50.690441,-2.0265907,398218,87866.00,0.66,Narrow Gouge,82,Soil_C_Stocks
Arne,AR-17,England,Natural,2020,50.690369,-2.0264491,398228,87858.00,0.60,Narrow Gouge,100,Soil_C_Stocks
Arne,AR-2,England,Natural,2020,50.690396,-2.0283886,398091,87861.00,0.68,Narrow Gouge,85,Soil_C_Stocks
Arne,AR-3,England,Natural,2020,50.690261,-2.0280488,398115,87846.00,0.73,Narrow Gouge,80,Soil_C_Stocks
Arne,AR-4,England,Natural,2020,50.690117,-2.0277089,398139,87830.00,0.68,Narrow Gouge,85,Soil_C_Stocks
Arne,AR-5,England,Natural,2020,50.689928,-2.02727,398170,87809.00,0.68,Narrow Gouge,84,Soil_C_Stocks
Arne,AR-6,England,Natural,2020,50.689856,-2.0270576,398185,87801.00,0.71,Narrow Gouge,89,Soil_C_Stocks
Arne,AR-7,England,Natural,2020,50.689793,-2.0268877,398197,87794.00,0.48,Narrow Gouge,84,Soil_C_Stocks
Arne,AR-8,England,Natural,2020,50.690207,-2.0274117,398160,87840.00,0.65,Narrow Gouge,80,Soil_C_Stocks
Arne,AR-9,England,Natural,2020,50.690468,-2.027695,398140,87869.00,0.70,Narrow Gouge,84,Soil_C_Stocks
Avon,AV-1,England,Natural,2020,50.302581,-3.8545274,268024,46382.00,3.99,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-10,England,Natural,2020,50.302892,-3.8536689,268086,46415.00,3.94,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-11,England,Natural,2020,50.303277,-3.8537962,268078,46458.00,3.85,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-12,England,Natural,2020,50.303246,-3.8540337,268061,46455.00,3.94,Narrow Gouge,91,Soil_C_Stocks
Avon,AV-13,England,Natural,2020,50.303133,-3.8537765,268079,46442.00,3.68,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-14,England,Natural,2020,50.30309,-3.8536625,268087,46437.00,3.66,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-15,England,Natural,2020,50.303002,-3.8535046,268098,46427.00,3.95,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-16,England,Natural,2020,50.302897,-3.853332,268110,46415.00,3.86,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-17,England,Natural,2020,50.302837,-3.8531752,268121,46408.00,3.76,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-2,England,Natural,2020,50.302548,-3.8543436,268037,46378.00,3.99,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-3,England,Natural,2020,50.302525,-3.854104,268054,46375.00,3.90,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-4,England,Natural,2020,50.30252,-3.8538791,268070,46374.00,3.74,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-5,England,Natural,2020,50.302532,-3.8536549,268086,46375.00,3.70,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-6,England,Natural,2020,50.302499,-3.8534851,268098,46371.00,3.65,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-7,England,Natural,2020,50.302466,-3.8533153,268110,46367.00,3.62,Narrow Gouge,100,Soil_C_Stocks
Avon,AV-8,England,Natural,2020,50.302239,-3.8534469,268100,46342.00,3.59,Narrow Gouge,100,Soil_C_Stocks
