Core_ID,Saltmarsh,Marsh_type,Marsh_zone,Nation,Collection_Year,Latitude_Dec_Degree,Longitude_Dec_Degree,X_Easting,Y_Northing,Elevation_above_OD__m,Core_depth_cm,Core_mid-depth_cm,Substrate,Dry_bulk_density_g_cm_3,OC_Perc,N_Perc,CN,NC,d13C_per_mil,d15N_per_mil
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,0_1,0.5,Peat (Turfa herbacea),0.20,24.66,1.52,22.29,0.04,-29.22,1.21
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,1_2,1.5,Peat (Turfa herbacea),0.22,23.23,1.58,17.44,0.06,-29.86,1.79
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,2_3,2.5,Peat (Turfa herbacea),0.26,21.56,1.45,22.83,0.04,-29.50,2.70
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,3_4,3.5,Peat (Turfa herbacea),0.22,22.58,1.43,17.97,0.06,-29.04,3.46
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,4_5,4.5,Peat (Turfa herbacea),0.40,23.09,0.64,16.41,0.06,-28.76,4.20
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,5_6,5.5,Peat (Turfa herbacea),0.35,21.99,0.86,18.16,0.06,-28.79,5.48
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,6_7,6.5,Peat (Turfa herbacea),0.25,23.07,0.73,18.63,0.05,-28.61,4.97
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,7_8,7.5,Peat (Turfa herbacea),0.23,19.06,0.97,16.12,0.06,-28.34,5.65
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,8_9,8.5,Peat (Turfa herbacea),0.36,18.17,0.83,18.36,0.05,-28.25,5.30
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,9_10,9.5,Peat (Turfa herbacea),0.36,19.08,0.71,16.42,0.06,-28.15,4.57
KT-19-1,Kyle of Tongue,Natural,HM,Scotland,2019,58.447189,-4.4781295,255466,953655,2.33,10_11,10.5,Peat (Turfa herbacea),0.22,19.77,1.61,17.25,0.06,-28.50,5.01
