Core_ID,Saltmarsh,Marsh_type,Marsh_zone,Nation ,Collection_Year,Latitude_Dec_Degree,Longitude_Dec_Degree,X_Easting,Y_Northing,Elevation_above_OD__m,Core_depth_cm,Core_mid-depth_cm,Substrate,Wet_bulk_density_g_cm_3,Dry_bulk_density_g_cm_3,OC_Perc
KT-18-1 ,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,0_2,1,Peat (Turfa herbacea),1.71,0.565,18.620
KT-18-1 ,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,10_12,11,Peat (Turfa herbacea),0.91,0.262,19.500
KT-18-1,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,20_22,21,Humified Peat (Substantia Humosa),0.93,0.382,13.490
KT-18-1,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,30_32,31,Silt with Organic,1.33,0.711,4.950
KT-18-1,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,40_42,41,Silt with Organic,1.32,0.696,5.550
KT-18-1,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,50_52,51,Silt with Organic,1.07,0.404,10.180
KT-18-1,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,60_62,61,Silt with Organic,1.45,0.764,4.180
KT-18-1,Kyle of Tongue,Natural,HM,Scotland,2018,58.44751076,-4.47844363,255449,953691,2.28,70_72,71,Basal Mud,1.54,0.900,4.110
KT-18-2 ,Kyle of Tongue,Natural,HM,Scotland,2018,58.44718724,-4.47814548,255465,953655,2.33,0_2,1,Peat (Turfa herbacea),1.57,0.470,23.190
KT-18-2,Kyle of Tongue,Natural,HM,Scotland,2018,58.44718724,-4.47814548,255465,953655,2.33,10_12,11,Peat (Turfa herbacea),1.02,0.306,23.280
KT-18-2,Kyle of Tongue,Natural,HM,Scotland,2018,58.44718724,-4.47814548,255465,953655,2.33,20_22,21,Humified Peat (Substantia Humosa),1.10,0.453,14.450
KT-18-2,Kyle of Tongue,Natural,HM,Scotland,2018,58.44718724,-4.47814548,255465,953655,2.33,30_32,31,Silt with Organic,1.16,0.549,6.950
KT-18-2,Kyle of Tongue,Natural,HM,Scotland,2018,58.44718724,-4.47814548,255465,953655,2.33,40_42,41,Silt with Organic,1.07,0.524,6.830
KT-18-2,Kyle of Tongue,Natural,HM,Scotland,2018,58.44718724,-4.47814548,255465,953655,2.33,50_52,51,Silt with Organic,1.54,0.999,1.760
