study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,salinity_class,vegetation_class,inundation_class,cs137_accretion_rate,cs137_mineral_accumulation_rate,cs137_carbon_accumulation_rate,pb210_accretion_rate,pb210_mineral_accumulation_rate,pb210_carbon_accumulation_rate
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,2010-06-04,38.036383,-121.858572,RTK-GPS,1.74354,NAVD88,RTK-GPS,brackish,emergent,high,0.37,151.0831343233287,174.0623671738106,0.26,176.10891381581524,120.18235247085758
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,2010-06-04,38.038669,-121.859364,RTK-GPS,1.35137,NAVD88,RTK-GPS,brackish,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,2010-05-12,38.037589,-121.859037,RTK-GPS,1.45867,NAVD88,RTK-GPS,brackish,emergent,mid,0.43,421.8750075529539,165.5325165930456,0.44,406.402708056046,153.89293585497708
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,2010-06-04,38.036008,-121.867879,RTK-GPS,1.81605,NAVD88,RTK-GPS,brackish,emergent,high,0.33,249.63127182507574,129.6038705665423,0.27,369.6913642112109,112.87811671671189
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,2010-06-04,38.038047,-121.868452,RTK-GPS,1.69537,NAVD88,RTK-GPS,brackish,emergent,low,0.45,922.8734066533721,158.36284307368862,0.26,513.3088522611282,88.88820602778488
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,2010-05-24,38.037087,-121.868109,RTK-GPS,1.80964,NAVD88,RTK-GPS,brackish,emergent,mid,0.37,312.28058389341254,150.2396707472309,0.2,189.66894311571008,79.93439192796102
Callaway_et_al_2019,China_Camp,China_Camp_A_High,2010-05-05,38.008607,-122.48717,RTK-GPS,1.82156,NAVD88,RTK-GPS,saline,emergent,high,0.28,938.859434558736,91.9531237782635,0.43,1518.7959720371023,126.67355145011226
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,2010-02-03,38.010989,-122.485167,RTK-GPS,1.64961,NAVD88,RTK-GPS,saline,emergent,low,0.85,3047.5586599680223,186.17719785903773,0.52,1947.1124426156418,113.76060624532983
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,2010-02-03,38.009774,-122.485707,RTK-GPS,1.87336,NAVD88,RTK-GPS,saline,emergent,mid,0.39,1867.2762137412512,72.92710403926104,0.38,1915.8105995566475,65.82531947220221
Callaway_et_al_2019,China_Camp,China_Camp_B_High,2010-03-08,38.012053,-122.500265,RTK-GPS,1.8652,NAVD88,RTK-GPS,saline,emergent,high,0.28,1427.0085314408864,82.05234882214769,0.2,966.5415355726584,54.905661162569714
