study_id,site_id,core_id,impact_class
Callaway_et_al_2019,Cogswell,Cogswell_A_high,tidally restored
Callaway_et_al_2019,Cogswell,Cogswell_A_low,tidally restored
Callaway_et_al_2019,Cogswell,Cogswell_A_mid,tidally restored
Callaway_et_al_2019,Cogswell,Cogswell_B_high,tidally restored
Callaway_et_al_2019,Cogswell,Cogswell_B_low,tidally restored
Callaway_et_al_2019,Cogswell,Cogswell_B_mid,tidally restored
Callaway_et_al_2019,Muzzi,Muzzi_A_high,tidally restored
Callaway_et_al_2019,Muzzi,Muzzi_A_low,tidally restored
Callaway_et_al_2019,Muzzi,Muzzi_A_mid,tidally restored
Callaway_et_al_2019,Muzzi,Muzzi_B_high,tidally restored
Callaway_et_al_2019,Muzzi,Muzzi_B_low,tidally restored
Callaway_et_al_2019,Muzzi,Muzzi_B_mid,tidally restored
