study_id,site_id,core_id,genus,species,common_name
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,Scirpus,acutus,tule
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,Scirpus,acutus,tule
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,Scirpus,acutus,tule
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,Scirpus,acutus,tule
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,Scirpus,acutus,tule
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,Scirpus,acutus,tule
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,Triglochin,maritima,seaside arrowgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,Triglochin,maritima,seaside arrowgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,Triglochin,maritima,seaside arrowgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,Triglochin,maritima,seaside arrowgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,Triglochin,maritima,seaside arrowgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,Triglochin,maritima,seaside arrowgrass
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,Typa,domingensis,southern cattail
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,Typa,domingensis,southern cattail
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,Typa,domingensis,southern cattail
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,Typa,domingensis,southern cattail
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,Typa,domingensis,southern cattail
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,Typa,domingensis,southern cattail
Callaway_et_al_2019,China_Camp,China_Camp_B_High,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,China_Camp,China_Camp_A_High,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,China_Camp,China_Camp_B_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,China_Camp,China_Camp_A_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,China_Camp,China_Camp_B_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,China_Camp,China_Camp_A_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,China_Camp,China_Camp_B_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,China_Camp,China_Camp_A_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,China_Camp,China_Camp_A_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,China_Camp,China_Camp_B_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Cogswell,Cogswell_B_mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Cogswell,Cogswell_A_high,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Cogswell,Cogswell_B_low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Cogswell,Cogswell_B_high,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Cogswell,Cogswell_A_low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Cogswell,Cogswell_A_mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Cogswell,Cogswell_B_high,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Cogswell,Cogswell_A_low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Cogswell,Cogswell_B_low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Cogswell,Cogswell_A_high,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Cogswell,Cogswell_A_mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Cogswell,Cogswell_B_mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,Bolboschoenus,maritimus,NA
