study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_sd,ra226_activity,ra226_activity_sd,excess_pb210_activity,excess_pb210_activity_sd,delta_c13,core_diameter,decompressed_depth_max,wet_weight,dry_weight,accumulated_mass,mid_section_accumulated_mass,cn_ratio,delta_n15,k40_activity,k40_activity_sd,fraction_organic_carbon,fraction_estimated_organic_carbon,fraction_inorganic_carbon,fraction_nitrogen,fraction_h2o
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,0,1,MB1001,0.29637833502572747,0.5557299843014128,57.34585460453978,3.008409268045665,NA,NA,38.920854604539784,3.309346812297414,-28.065385642042063,10,1.4266666666666667,102.92750000000001,23.2775,0.29637833502572747,0.14818916751286373,14.008395502365582,2.2175284134376794,NA,NA,0.2639800623742827,0.2639800623742827,0.027629513343796774,0.021987353760944274,0.7738456680673289
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,1,2,MB1002,0.14868254783644866,0.5622350674373807,57.633037240634245,3.166936264981949,NA,NA,39.20803724063425,3.454089649452923,-27.651032333723705,10,2.8533333333333335,63.0575,11.677500000000002,0.4450608828621761,0.3707196089439518,14.689316870284655,2.4278569319601533,NA,NA,0.2732309212169248,0.2732309212169248,0.026782273603082104,0.021700764637411968,0.8148118780478135
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2,3,MB1003,0.1600143797845916,0.5408252853380154,55.54582967333853,2.9392579106775765,NA,NA,37.120829673338534,3.2466116283720647,-27.2350259598009,10,4.28,74.9075,12.567500000000003,0.6050752626467677,0.5250680727544719,13.889106677671313,2.45493162183419,NA,NA,0.2539000435307016,0.2539000435307016,0.028680128767923044,0.021327269228099105,0.8322264125755098
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,3,4,MB1004,0.13760536379725272,0.4998009554140102,54.0728973778804,2.4257567008580296,NA,NA,35.647897377880405,2.790259051012581,-26.940123066710225,10,5.706666666666667,59.6475,10.807500000000001,0.7426806264440203,0.673877944545394,14.944976823159188,2.5703943873077186,NA,NA,0.2464987196327745,0.2464987196327745,0.02786624203821658,0.019250484070847607,0.8188105117565698
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,4,5,MB1005,0.48201666064811416,0.3916273753393344,29.664628965308385,1.5081027685759734,17.45,1.49,11.239628965308388,2.0434343543619193,NA,10,7.133333333333334,112.8375,37.857499999999995,1.2246972870921347,0.9836889567680775,NA,NA,NA,NA,NA,0.18190484354907854,0.027861123017573916,NA,0.6644954026808465
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,5,6,MB1006,0.6943930167099392,0.3495819935691333,23.35061571655512,1.4364112948115397,NA,NA,4.9256157165551215,1.9911121032885524,-26.121186057265156,10,8.56,121.8675,54.537499999999994,1.919090303802074,1.5718937954471044,16.18172355279243,2.046534265743566,NA,NA,0.16868954700034194,0.16868954700034194,0.02585209003215481,0.01216214520402167,0.5524852811455064
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,6,7,MB1007,0.4622814477047192,0.33606302477454114,20.245773677417205,1.2081924545615663,NA,NA,1.8207736774172076,1.833297304656149,NA,10,9.986666666666668,76.84750000000001,36.3075,2.381371751506793,2.150231027654433,NA,NA,NA,NA,NA,0.15340033170933962,0.026744065512594783,NA,0.5275383063860244
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,7,8,MB1008,0.5972448394466464,0.3306289968502431,20.2529834397868,1.073287999704982,NA,NA,1.8279834397868022,1.7473400156554304,-26.254360933038132,10,11.413333333333334,92.14750000000001,46.9075,2.9786165909534397,2.679994171230116,17.991412547178317,1.7432042295520835,NA,NA,0.15514841302155877,0.15514841302155877,0.028538703827431174,0.010060715432089482,0.49095200629425656
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,8,9,MB1009,0.7623840083987969,0.3208722741433034,21.214346209712136,1.2438186304441765,NA,NA,2.7893462097121393,1.8569692473059498,NA,10,12.84,119.1175,59.87749999999999,3.7410005993522364,3.3598085951528383,NA,NA,NA,NA,NA,0.14560747663551463,0.032949916127486205,NA,0.49732407077045787
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,9,10,MB1010,0.5762363869585162,0.33382414808582167,18.614706211984558,1.1854380236226705,NA,NA,0.18970621198456072,1.8183820577234096,-26.44251321669242,10,14.266666666666667,88.8275,45.2575,4.3172369863107525,4.029118792831494,16.894098556278497,1.744381151438151,NA,NA,0.14778563551402174,0.14778563551402174,0.027450567942785376,0.010205728005669889,0.49050125242745773
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,10,11,MB1011,0.7318262593251531,0.3243706480985531,NA,NA,NA,NA,NA,NA,NA,10,15.693333333333335,111.5175,57.4775,5.049063245635906,4.683150115973329,NA,NA,NA,NA,NA,0.14740214247455774,0.029244777718265766,NA,0.4845876207770081
