study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_peak_age,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,0,2,NA,NA,1964,0,NA,picocuriesPerGram,34.6030974598237,34.6030974598237,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,2,4,NA,NA,1964,0.0839554655870445,NA,picocuriesPerGram,21.0576923076923,21.0576923076923,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,4,6,NA,NA,1964,0.251334622823985,NA,picocuriesPerGram,16.469320868257,16.469320868257,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,6,8,NA,NA,1964,1.17687378640777,0.0562341747572816,picocuriesPerGram,11.9136866235167,11.9136866235167,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,8,10,NA,NA,1964,0.9351953125,NA,picocuriesPerGram,2.8782958984375,2.8782958984375,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,10,12,NA,NA,1964,0.234067278287462,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,12,14,NA,NA,1964,0.29158924205379,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,14,16,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,16,18,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,18,20,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,20,22,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,22,24,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,24,26,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,26,28,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,28,30,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,30,35,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,35,40,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,40,45,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,45,50,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,50,55,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U1,single set of methods,0,10,0.212600925558939,0.2,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U1,single set of methods,10,20,0.17619076962222743,0.17268,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U1,single set of methods,20,30,0.215513475293266,0.10624,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U2,single set of methods,0,10,0.23405397283844329,0.15536,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U2,single set of methods,10,20,0.19328405151668543,0.1381,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U2,single set of methods,20,30,0.23732237961250124,0.08928000000000001,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U3,single set of methods,0,10,0.1871770170881464,0.19239,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U3,single set of methods,10,20,0.12868154779359628,0.21636,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U3,single set of methods,20,30,0.19855137906852924,0.13538,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U4,single set of methods,0,10,0.17141286934962116,0.20978,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U4,single set of methods,10,20,0.17288342100272344,0.18203,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U4,single set of methods,20,30,0.6657240091495553,0.07242,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U5,single set of methods,0,10,0.24977639091555665,0.2027,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U5,single set of methods,10,20,0.12740589356274898,0.20087,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U5,single set of methods,20,30,0.2521126721225972,0.10361,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U6,single set of methods,0,10,0.24505016049659,0.15648,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U6,single set of methods,10,20,0.1324145229784261,0.20341,1964,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,RC_U,RC_U6,single set of methods,20,30,0.2505882549295009,0.10563,1964,NA,NA,NA,NA,NA,NA
