study_id,site_id,core_id,year,month,core_notes,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat
Drake_et_al_2024,RC_U,RC_U1,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U2,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U3,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U4,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U5,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U6,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U7,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U8,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U9,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U10,2012,6,non-OMWM,43.316673,-70.566752,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_M,RC_M1,2012,6,OMWM,43.250262,-70.583502,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_M,RC_M2,2012,6,OMWM,43.250262,-70.583502,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_M,RC_M3,2012,6,OMWM,43.250262,-70.583502,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_M,RC_M4,2012,6,OMWM,43.250262,-70.583502,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_M,RC_M5,2012,6,OMWM,43.250262,-70.583502,handheld,estuarine,measurement,emergent,field observation,marsh
