date,total_cores,study_IDs,dated_cores
2018-06-01,1535,32,0
2018-07-01,1535,32,0
2018-08-01,1535,32,0
2018-09-01,1535,32,0
2018-10-01,1546,33,11
2018-11-01,1546,33,11
2018-12-01,2555,34,22
2019-01-01,4025,188,22
2019-02-01,4263,190,66
2019-03-01,4276,192,70
2019-04-01,4571,194,133
