Site,Status,ID,Date,Lat,Lon,Depth_mid,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,Age,Age_e,VAR,MAR,CAR,Year
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,0.5,0.0769,12.1847,0.7091,0.8932,0.2199,11.2914,0.7425,0,0,13.7111,1.6769,27.47,1.88,0.9,0.9,10.9,842,231,2015.9
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,1.5,0.107,10.9509,0.8268,0.6589,0.2603,10.2921,0.8668,0,0,0,0,   ,   ,2.1,0.9,8.4,894,,2014.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,2.5,0.101,13.3902,0.6186,0.6215,0.1462,12.7687,0.6357,0,0,8.2231,1.2869,28.07,1.65,3.6,1,6.8,691,194,2013.2
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,3.5,0.203,11.7825,0.6127,0,0,11.7825,0.6127,0,0,0,0,   ,   ,6.5,1.1,3.4,700,,2010.3
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,4.5,0.1624,9.3564,0.3799,0.3034,0.085,9.053,0.3893,0,0,0,0,27.93,1.71,8.4,1.1,5.2,845,236,2008.4
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,5.5,0.1351,10.0307,0.5226,0.5274,0.1164,9.5034,0.5354,0,0,0,0,   ,   ,10.2,1.2,5.6,760,,2006.6
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,6.5,0.1815,7.6699,0.3843,0,0,7.6699,0.3843,0,0,0,0,26.84,1.72,12.2,1.2,4.9,887,238,2004.6
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,7.5,0.1581,9.2818,0.4845,0.5013,0.1183,8.7805,0.4987,0,0,0,0,   ,   ,14.4,1.3,4.6,726,,2002.4
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,8.5,0.1627,6.4373,0.4822,0,0,6.4373,0.4822,0,0,0,0,25.43,   ,16.1,1.4,5.7,931,237,2000.6
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,9.5,0.1852,6.5481,0.4151,0.6351,0.1314,5.9129,0.4355,0,0,0,0,   ,   ,18.1,1.4,5.2,957,,1998.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,10.5,0.2005,5.6431,0.3629,0.4005,0.0894,5.2426,0.3737,0,0,0,0,30.19,1.67,20.1,1.5,5.1,1016,307,1996.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,11.5,0.1526,5.7814,0.4059,0,0,5.7814,0.4059,0,0,0,0,   ,   ,21.8,1.6,5.7,869,,1995
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,12.5,0.1426,7.8551,0.5616,0,0,7.8551,0.5616,0,0,0,0,29.69,1.78,24.2,1.7,4.2,600,178,1992.6
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,13.5,0.1333,6.0317,0.5664,0,0,6.0317,0.5664,0,0,0,0,   ,   ,26,1.8,5.5,732,,1990.8
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,14.5,0.1694,8.7158,0.4802,0.4097,0.1317,8.3061,0.498,0,0,0,0,30.69,1.59,29.5,2,2.9,490,150,1987.3
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,15.5,0.1524,6.4947,0.3890,0.4638,0.0942,6.0309,0.4003,0,0,0,0,   ,   ,31.9,2.1,4,615,,1984.8
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,16.5,0.1744,5.9984,0.2945,0,0,5.9984,0.2945,0,0,0,0,27.03,1.81,35,2.3,3.2,567,153,1981.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,17.5,0.1464,4.8583,0.3581,0.6567,0.102,4.2016,0.3723,0,0,0,0,   ,   ,37,2.4,5.1,748,,1979.8
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,18.5,0.1516,3.8345,0.3865,0,0,3.8345,0.3865,0,0,0,0,27.2,1.6,39,2.6,5.1,771,210,1977.8
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,19.5,0.1895,2.9767,0.2566,0.4379,0.0499,2.5388,0.2614,0.3174,0.0577,0,0,   ,   ,40.7,2.7,5.8,1099,,1976.1
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,20.5,0.1742,2.6228,0.3197,0.6561,0.066,1.9667,0.3265,0.8277,0.08,0,0,27.78,1.35,42,2.8,7.8,1354,376,1974.8
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,21.5,0.1569,3.5748,0.3199,0.6151,0.1012,2.9597,0.3356,1.0942,0.1006,0,0,   ,   ,43.8,3,5.5,857,,1973
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,22.5,0.1832,3.2877,0.3071,0.6904,0.1036,2.5974,0.3241,1.1942,0.0915,0,0,27.02,1.41,45.8,3.2,5,920,249,1971
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,23.5,0.1762,2.9117,0.4306,0.4899,0.1398,2.4219,0.4528,0.7342,0.1074,0,0,   ,   ,47.7,3.4,5.3,929,,1969.1
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,24.5,0.1489,3.2282,0.3690,0.7133,0.1212,2.5149,0.3884,0.635,0.0883,0,0,28.85,1.26,49.4,3.6,5.7,845,244,1967.3
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,25.5,0.1617,3.0781,0.3558,0.7399,0.1158,2.3382,0.3742,0.4745,0.1007,0,0,   ,   ,51.3,3.8,5.3,859,,1965.5
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,26.5,0.1767,3.3215,0.3431,0.7062,0.1198,2.6153,0.3634,0.3677,0.0766,0,0,25.94,1.36,53.8,4.1,4.1,718,186,1963
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,27.5,0.1809,2.3290,0.3321,0,0,2.329,0.3321,0,0,0,0,   ,   ,56.2,4.4,4.1,747,,1960.6
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,28.5,0.1882,2.0966,0.2703,0.8394,0.1146,1.2572,0.2935,0.2301,0.0731,0,0,29.51,1.34,57.6,4.7,6.9,1303,384,1959.1
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,29.5,0.193,1.9328,0.3848,0.742,0.1318,1.1909,0.4068,0,0,0,0,   ,   ,59.1,4.9,6.8,1314,,1957.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,30.5,0.207,2.8345,0.2749,0.7616,0.0987,2.073,0.2921,0,0,0,0,24.84,1.25,62.1,5.4,3.4,705,175,1954.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,31.5,0.198,2.4868,0.2808,0.5964,0.0837,1.8903,0.293,0,0,0,0,   ,   ,64.9,5.9,3.6,707,,1951.9
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,32.5,0.2398,2.7014,0.2388,0.7859,0.0834,1.9155,0.2529,0,0,0,0,24.34,1.25,68.7,6.6,2.6,630,153,1948.1
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,33.5,0.2571,2.1199,0.2783,0.7998,0.0981,1.3201,0.2951,0,0,0,0,   ,   ,71.8,7.3,3.2,820,,1945
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,34.5,0.2486,2.0420,0.2330,0.7593,0.085,1.2827,0.248,0,0,0,0,22.99,1.15,75,8.1,3.1,764,176,1941.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,35.5,0.2529,1.4439,0.2263,0.6959,0.0837,0.748,0.2412,0,0,0,0,   ,   ,77.1,8.7,4.8,1206,,1939.6
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,36.5,0.2281,1.6590,0.2158,0.7495,0.0858,0.9095,0.2323,0,0,0,0,22.4,1.06,79.6,9.4,4,924,207,1937.2
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,37.5,0.1739,2.2988,0.3455,0.8444,0.1052,1.4545,0.3612,0,0,0,0,   ,   ,82.9,10.4,3,528,,1933.9
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,38.5,0.1935,1.8976,0.3239,0.9404,0.1317,0.9572,0.3496,0,0,0,0,21.58,1.08,85.6,11.4,3.8,731,158,1931.2
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,39.5,0.1817,1.8788,0.3226,0.9667,0.1265,0.9121,0.3465,0,0,0,0,   ,   ,88.1,12.3,3.9,708,,1928.7
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,40.5,0.1852,1.8012,0.2972,0.6872,0.0954,1.114,0.3121,0,0,0,0,   ,   ,91.6,13.8,2.8,527,,1925.1
Narragansett Bay,Salt marsh,MCA,9/9/16,41.6906,-71.45162,41.5,0.1764,1.4113,0.2772,0.9294,0.101,0.4819,0.295,0,0,0,0,   ,   ,93.2,14.5,6.4,1126,,1923.6
