study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,age
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,0,2,0.5345,0.18181999999999998,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,2,4,0.5729,0.19355,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,4,6,0.4427,0.17390999999999998,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,4,6,0.5147,0.19231,0.265,0.023,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,6,8,0.4852,0.18181999999999998,0.205,0.019,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,10,12,0.5207,0.16,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,12,14,0.6325,0.15385,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,12,14,0.6994,0.17390999999999998,0.187,0.021,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,16,18,0.4819,0.2,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,18,20,0.4458,0.27777999999999997,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,18,20,0.472,0.17857,0.201,0.019,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,22,24,0.5014,0.17390999999999998,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,22,24,0.5884,0.14815,0.231,0.022,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,24,26,0.491,0.125,0.322,0.021,becquerelsPerKilogram,1963
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,26,28,0.5587,0.61353,0.262,0.025,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,30,32,0.6344,0.13793,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,30,32,0.6251,0.125,0.26,0.019,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,32,34,0.593,0.13333,0.21,0.017,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,36,38,0.5691,0.17857,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,36,38,0.4836,0.13635999999999998,0.146,0.019,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,40,42,0.5839,0.14286,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,42,44,0.6135,0.08824,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,42,44,0.5987,0.09677,0.042,0.02,becquerelsPerKilogram,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,46,48,0.6485,0.10345,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,48,50,0.4918,NA,NA,NA,NA,NA
Buffington_et_al_2020,Miner_Slough,MS-C1,single set of methods,48,50,NA,NA,0.015,0.012,becquerelsPerKilogram,NA
