study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon
Fell_et_al_2021,GTMNERRSouthern,NM1GW,4,5,NM1GW_5,0.8505979221314399,0.077
Fell_et_al_2021,GTMNERRSouthern,NM1GW,14,15,NM1GW_15,0.8607349762213575,0.07400000000000001
Fell_et_al_2021,GTMNERRSouthern,NM1GW,29,30,NM1GW_30,0.9234146212693166,0.051
Fell_et_al_2021,GTMNERRSouthern,NM2GW,4,5,NM2GW_5,0.7924592688154144,0.10300000000000001
Fell_et_al_2021,GTMNERRSouthern,NM2GW,14,15,NM2GW_15,0.6482402029584156,0.047
Fell_et_al_2021,GTMNERRSouthern,NM2GW,29,30,NM2GW_30,1.0083205403210769,0.07
Fell_et_al_2021,GTMNERRSouthern,NM3GW,4,5,NM3GW_5,0.6971157564972753,0.092
Fell_et_al_2021,GTMNERRSouthern,NM3GW,14,15,NM3GW_15,0.6347056437946494,0.064
Fell_et_al_2021,GTMNERRSouthern,NM3GW,29,30,NM3GW_30,0.9098480901334337,0.04
Fell_et_al_2021,GTMNERRSouthern,NM4GW,4,5,NM4GW_5,0.7703701704497602,0.06
Fell_et_al_2021,GTMNERRSouthern,NM4GW,14,15,NM4GW_15,0.6799397261177103,0.043
Fell_et_al_2021,GTMNERRSouthern,NM4GW,29,30,NM4GW_30,0.7090952037217577,0.053
Fell_et_al_2021,GTMNERRSouthern,NM5GW,4,5,NM5GW_5,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM5GW,14,15,NM5GW_15,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM5GW,29,30,NM5GW_30,0.4705135715127934,0.062
Fell_et_al_2021,GTMNERRSouthern,NM6GW,4,5,NM6GW_5,0.6712184557722267,0.062
Fell_et_al_2021,GTMNERRSouthern,NM6GW,14,15,NM6GW_15,0.6715247704173175,0.08800000000000001
Fell_et_al_2021,GTMNERRSouthern,NM6GW,29,30,NM6GW_30,0.679780861145615,0.034
Fell_et_al_2021,GTMNERRSouthern,NM1GC,4,5,NM1GC_5,0.6393682156774853,0.06
Fell_et_al_2021,GTMNERRSouthern,NM1GC,14,15,NM1GC_15,0.6301762697583096,0.055999999999999994
