study_id,bibliography_id,title,author,doi,url,bibtype,journal,publication_type,year,month,day
Curtis_et_al_2022,Curtis_et_al_2022_article,"A Summary of Water-Quality and Salt Marsh Monitoring, Humboldt Bay, California","Jennifer A. Curtis, Karen M. Thorne, Chase M. Freeman, Kevin J. Buffington, and Judith Z. Drexler",10.3133/ofr20221076,https://doi.org/10.3133/ofr20221076,Article,USGS Publications Warehouse,associated source,2022,sep,16
Curtis_et_al_2022,Curtis_et_al_2022_data,"Salt marsh monitoring during water years 2013 to 2019, Humboldt Bay, CA – water levels, surface deposition, elevation change, and carbon storage","Curtis, J.A., Thorne, K.M., Freeman C.M., Buffington, K.J., and Drexler, J.Z.",10.5066/P9QLAL7B,https://doi.org/10.5066/P9QLAL7B,Misc,NA,primary dataset,2022,jun,23
