study_id,site_id,core_id,core_notes,longitude,latitude,elevation,elevation_datum,position_method,position_notes,year,month,day
Osland_et_al_2016,Grand_Bay,grand_bay_1,water/SPAL transition - 1st dom,-88.40011656,30.40487484,-0.463,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_2,water/SPAL transition - 2nd dom,-88.40012475,30.40486672,-0.271,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_3,15 cm elevation gain in SPAL zone,-88.40013961,30.40485138,0.113,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_4,SPAL/JURO transition - 1st dom,-88.40014639,30.40484449,0.215,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_5,SPAL/JURO transition - mixed,-88.40015158,30.40483724,0.275,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_6,SPAL/JURO transition - 2nd dom,-88.40015858,30.40482583,0.277,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_7,20 m into JURO zone,-88.40026546,30.40468012,0.4,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_8,40 m into JURO zone,-88.40038333,30.40453441,0.322,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_9,water/SPAL transition - 1st dom,-88.41459218,30.36372411,-0.002,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_10,water/SPAL transition - mixed,-88.41459824,30.36373374,0.1,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_11,20 m in SPAL zone,-88.41472917,30.36386648,0.168,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_12,SPAL/JURO transition - mixed,-88.41476538,30.36390704,0.19,NAVD88,NA,NA,2013,9,24
Osland_et_al_2016,Grand_Bay,grand_bay_13,SPAL/JURO transition - 2nd dom,-88.41480157,30.36393752,0.221,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_14,20 m into JURO zone,-88.41490552,30.36409547,0.244,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_15,40 m into JURO zone,-88.41501021,30.36424532,0.228,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_16,water/SPAL transition - 1st dom,-88.41561617,30.36156698,0.018,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_17,water/SPAL transition - mixed,-88.41560305,30.36154424,0.081,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_18,SPAL/JURO transition - 1st dom,-88.41558947,30.36153406,0.246,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_19,SPAL/JURO transition - mixed,-88.41558041,30.36152874,0.286,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_20,SPAL/JURO transition - 2nd dom,-88.41557042,30.36152237,0.324,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_21,20 m into JURO zone,-88.41541188,30.36140873,0.296,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_22,40 m into JURO zone,-88.41525198,30.36129345,0.296,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_23,water/SPAL transition - 1st dom,-88.44255284,30.37499118,-0.059,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_24,water/SPAL transition - mixed,-88.44253448,30.37499069,0.008,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_25,SPAL/JURO transition - 1st dom,-88.44252174,30.37498088,0.101,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_26,SPAL/JURO transition - mixed,-88.44251226,30.37497637,0.174,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_27,SPAL/JURO transition - 2nd dom,-88.44250398,30.3749711,0.226,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_28,20 m into JURO zone,-88.44236176,30.37484486,0.37,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_29,JURO/succulent transition - 1st dom,-88.44230526,30.37479788,0.378,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_30,JURO/succulent transition - mixed,-88.44224769,30.37474741,0.469,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_31,JURO/succulent transition - mixed,-88.44220004,30.37470648,0.457,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_32,JURO/succulent transition - 2nd dom,-88.44219081,30.37469762,0.413,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_33,succulent/salt panne transition - 1st dom,-88.44215307,30.37466513,0.446,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_34,succulent/salt panne transition - mixed,-88.44212904,30.37464389,0.449,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_35,succulent/salt panne transition - 2nd dom,-88.44209889,30.37462621,0.475,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_36,salt panne/high SPPA transition - 1st dom,-88.44193863,30.37451463,0.562,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_37,salt panne/high SPPA transition - mixed,-88.44192273,30.37450468,0.533,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_38,salt panne/high SPPA transition - 2nd dom,-88.44190643,30.37449512,0.536,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_39,20 m into high SPPA,-88.44175121,30.37437652,0.581,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_40,40 m into high SPPA,-88.44158959,30.37426533,0.563,NAVD88,NA,NA,2013,9,25
Osland_et_al_2016,Grand_Bay,grand_bay_41,water/SPAL transition - 1st dom,-88.4235832,30.37237873,-0.123,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_42,water/SPAL transition - mixed,-88.42359719,30.37236377,-0.035,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_43,SPAL/JURO transition - 1st dom,-88.42360075,30.37235427,0.055,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_44,SPAL/JURO transition - mixed,-88.42360785,30.37233583,0.216,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_45,SPAL/JURO transition - 2nd dom,-88.42361955,30.37231125,0.295,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_46,JURO/DISP+SPPA transition - 1st dom,-88.42365253,30.37220738,0.51,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_47,JURO/DISP+SPPA transition - mixed,-88.42365733,30.37219318,0.578,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_48,JURO/DISP+SPPA transition - 2nd dom,-88.42366487,30.37218124,0.588,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_49,DISP+SPPA/CLMA transition - 1st dom,-88.42366945,30.37217118,0.581,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_50,DISP+SPPA/CLMA transition - mixed,-88.42367099,30.37216194,0.577,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_51,DISP+SPPA/CLMA transition - 2nd dom,-88.42367653,30.37214712,0.586,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_52,CLMA/SPPA transition - 1st dom,-88.42368208,30.3721343,0.612,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_53,CLMA/SPPA transition - mixed,-88.42369289,30.37211275,0.61,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_54,CLMA/SPPA transition - 2nd dom,-88.42369622,30.37210282,0.629,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_55,SPPA/woody transition - 1st dom,-88.42372877,30.37199152,0.674,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_56,SPPA/woody transition - mixed,-88.4237541,30.37193984,0.727,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_57,SPPA/woody transition - 2nd dom,-88.42375891,30.37191431,0.77,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_58,water/SPAL transition - 1st dom,-88.4393264,30.3815607,-0.17,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_59,water/SPAL transition - 2nd dom,-88.43933555,30.38156581,-0.032,NAVD88,NA,NA,2013,9,26
