site_id,Vegetation,Depth (cm),TOC(%)
Encrucijada,Marshes,0-10,7.95
Encrucijada,Marshes,40-50,9.63
Encrucijada,Marshes,90-100,11.64
Encrucijada,Marshes,140-150,20.74
Encrucijada,Marshes,170-180,12.2
Encrucijada,Marshes,0-10,3.01
Encrucijada,Marshes,40-50,20.52
Encrucijada,Marshes,90-100,0.39
Encrucijada,Marshes,0-10,9.01
Encrucijada,Marshes,40-50,0.9
Encrucijada,Marshes,90-100,0.19
Encrucijada,Marshes,0-10,6.25
Encrucijada,Marshes,40-50,9.42
Encrucijada,Marshes,90-100,7.52
Encrucijada,Marshes,140-150,12.02
Encrucijada,Marshes,190-200,0.52
Encrucijada,Marshes,210-220,0.89
Encrucijada,Marshes,0-10,10.63
Encrucijada,Marshes,40-50,15.51
Encrucijada,Marshes,90-100,17.22
Encrucijada,Marshes,140-150,20.31
Encrucijada,Marshes,190-200,27.82
Encrucijada,Marshes,240-250,5.13
Encrucijada,Marshes,280-290,3.65
Encrucijada,Marshes,0-10,15.87
Encrucijada,Marshes,40-50,31.68
Encrucijada,Marshes,90-100,8.31
Encrucijada,Marshes,140-150,12.63
Encrucijada,Marshes,190-200,40.12
Encrucijada,Marshes,230-240,21.06
Encrucijada,Marshes,0-10,10.7
Encrucijada,Marshes,40-50,20.26
Encrucijada,Marshes,90-100,4.48
Encrucijada,Marshes,140-150,10.64
Encrucijada,Marshes,180-190,5.58
Encrucijada,Marshes,0-10,2.44
Encrucijada,Marshes,40-50,19.14
Encrucijada,Marshes,90-100,17.33
Encrucijada,Marshes,140-150,18
Encrucijada,Marshes,190-200,17.14
Encrucijada,Swamp forest,0-10,4.43
Encrucijada,Swamp forest,40-50,19.58
Encrucijada,Swamp forest,90-100,13.05
Encrucijada,Swamp forest,130-140,24.87
Encrucijada,Swamp forest,0-10,33.71
Encrucijada,Swamp forest,40-50,11.41
Encrucijada,Swamp forest,90-100,1.72
Encrucijada,Swamp forest,140-150,0.54
Encrucijada,Swamp forest,0-10,23.08
Encrucijada,Swamp forest,40-50,0.56
Encrucijada,Swamp forest,90-100,0.63
Encrucijada,Swamp forest,140-150,1.45
Encrucijada,Swamp forest,190-200,1.16
Encrucijada,Swamp forest,0-10,29.56
Encrucijada,Swamp forest,40-50,33.51
Encrucijada,Swamp forest,90-100,23.87
Encrucijada,Swamp forest,140-150,19
Encrucijada,Swamp forest,190-200,29.49
Encrucijada,Swamp forest,240-250,32.95
Encrucijada,Swamp forest,290-300,32.02
Encrucijada,Swamp forest,0-10,12.5
Encrucijada,Swamp forest,40-50,29.16
Encrucijada,Swamp forest,90-100,25.67
Encrucijada,Swamp forest,140-150,23.02
Encrucijada,Swamp forest,190-200,25.19
Encrucijada,Swamp forest,240-300,20.25
Encrucijada,Swamp forest,340-350,23.63
Encrucijada,Swamp forest,0-10,1.62
Encrucijada,Swamp forest,40-50,0.38
Encrucijada,Swamp forest,90-100,8.79
Encrucijada,Swamp forest,120-130,9.95
Encrucijada,Swamp forest,0-10,6.99
Encrucijada,Swamp forest,40-50,12.64
Encrucijada,Swamp forest,90-100,23.57
Encrucijada,Swamp forest,140-150,19.95
Encrucijada,Swamp forest,170-180,27.11
Encrucijada,Swamp forest,0-10,2.61
Encrucijada,Swamp forest,40-50,1.26
Encrucijada,Swamp forest,90-100,2.41
Encrucijada,Swamp forest,150-160,30.32
Encrucijada,Grazed,0-10,6.94
Encrucijada,Grazed,20-Oct,1.06
Encrucijada,Grazed,20-30,0.73
Encrucijada,Grazed,0-10,5
Encrucijada,Grazed,20-Oct,1.27
Encrucijada,Grazed,0-10,2.26
Encrucijada,Grazed,0-10,1.44
Encrucijada,Grazed,0-10,0.72
Encrucijada,Grazed,20-Oct,0.2
Encrucijada,Mangrove,0-10,12.11
Encrucijada,Mangrove,40-50,2.1
Encrucijada,Mangrove,90-100,3.06
Encrucijada,Mangrove,140-150,19.72
Encrucijada,Mangrove,0-10,8.94
Encrucijada,Mangrove,40-50,12.32
Encrucijada,Mangrove,90-100,22.45
Encrucijada,Mangrove,140-150,7.31
Encrucijada,Mangrove,180-190,4.41
Encrucijada,Mangrove,0-10,26.42
Encrucijada,Mangrove,40-50,27.8
Encrucijada,Mangrove,90-100,16.22
Encrucijada,Mangrove,140-150,10.1
Encrucijada,Mangrove,180-190,2.05
Encrucijada,Mangrove,0-10,21.92
Encrucijada,Mangrove,40-50,25.36
Encrucijada,Mangrove,90-100,20.84
Encrucijada,Mangrove,140-150,18.19
Encrucijada,Mangrove,190-200,22.78
Encrucijada,Mangrove,220-230,25.89
Encrucijada,Mangrove,230--240,30.44
Encrucijada,Mangrove,0-10,12.18
Encrucijada,Mangrove,40-50,12.27
Encrucijada,Mangrove,90-100,9.06
Encrucijada,Mangrove,150-160,6.33
Encrucijada,Mangrove,0-10,6.09
Encrucijada,Mangrove,40-50,1.4
Encrucijada,Mangrove,90-100,0.86
Encrucijada,Mangrove,140-150,0.61
Encrucijada,Mangrove,190-200,0.95
Encrucijada,Mangrove,0-10,25.66
Encrucijada,Mangrove,40-50,32.02
Encrucijada,Mangrove,90-100,21.59
Encrucijada,Mangrove,140-150,35.69
Encrucijada,Mangrove,190-200,28.45
Encrucijada,Mangrove,240-250,27.01
Encrucijada,Mangrove,290-300,5.01
Encrucijada,Mangrove,0-10,15.5
Encrucijada,Mangrove,40-50,8
Encrucijada,Mangrove,90-100,8.39
Encrucijada,Mangrove,140-150,0.56
Encrucijada,Mangrove,0-10,2.44
Encrucijada,Mangrove,40-50,14.66
Encrucijada,Mangrove,90-100,20.15
Encrucijada,Mangrove,140-150,12.32
Encrucijada,Mangrove,170-180,9.63
Centla-Términos,Marshes,0-10,30.34
Centla-Términos,Marshes,40-50,23.95
Centla-Términos,Marshes,90-100,5.69
Centla-Términos,Marshes,130-140,1.94
Centla-Términos,Marshes,0-10,15.7
Centla-Términos,Marshes,40-50,2.4
Centla-Términos,Marshes,90-100,0.78
Centla-Términos,Marshes,0-10,7.39
Centla-Términos,Marshes,40-50,2.97
Centla-Términos,Marshes,50-60,3.42
Centla-Términos,Marshes,90-100,19.89
Centla-Términos,Marshes,140-150,8.9
Centla-Términos,Marshes,190-200,7.41
Centla-Términos,Marshes,240-250,1.38
Centla-Términos,Marshes,0-10,10.7
Centla-Términos,Marshes,140-150,4.75
Centla-Términos,Marshes,40-50,17
Centla-Términos,Marshes,0-10,10.43
Centla-Términos,Marshes,140-150,6.41
Centla-Términos,Marshes,240-250,3.38
Centla-Términos,Marshes,40-50,6.66
Centla-Términos,Marshes,0-10,3.77
Centla-Términos,Marshes,240-250,3.79
Centla-Términos,Marshes,40-50,1.84
Centla-Términos,Marshes,0-10,16.12
Centla-Términos,Marshes,140-150,5.44
Centla-Términos,Marshes,240-250,8.93
Centla-Términos,Marshes,40-50,13.2
Centla-Términos,Marshes,0-10,6.41
Centla-Términos,Marshes,140-150,4.11
Centla-Términos,Marshes,240-250,8.84
Centla-Términos,Marshes,40-50,6.81
Centla-Términos,Marshes,0-10,11.13
Centla-Términos,Marshes,140-150,21.62
Centla-Términos,Marshes,240-250,8.14
Centla-Términos,Marshes,40-50,3.09
Centla-Términos,Swamp forest,0-10,36.81
Centla-Términos,Swamp forest,40-50,25.36
Centla-Términos,Swamp forest,90-100,32.7
Centla-Términos,Swamp forest,140-150,33.67
Centla-Términos,Swamp forest,190-200,33.55
Centla-Términos,Swamp forest,240-250,34.3
Centla-Términos,Swamp forest,280-290,25.44
Centla-Términos,Swamp forest,0-10,35.65
Centla-Términos,Swamp forest,40-50,30.95
Centla-Términos,Swamp forest,90-100,34.9
Centla-Términos,Swamp forest,140-150,35.89
Centla-Términos,Swamp forest,190-200,35.37
Centla-Términos,Swamp forest,240-250,36.82
Centla-Términos,Swamp forest,270-280,24.41
Centla-Términos,Swamp forest,0-10,34.37
Centla-Términos,Swamp forest,40-50,34.12
Centla-Términos,Swamp forest,90-100,27.6
Centla-Términos,Swamp forest,140-150,34.62
