Date sampled,Latitude,Longitude,Sediment core reference,U_depth_cm,L_depth_cm,SITE/TRANSECT,Habitat type,Bulk density (g cm3),% Total C,% Total N,% Organic C,% Organic N,%Organics,Total C (g C cm3),Total N (g N cm3),Organic C (g C cm3),Organic  N (g N cm3),Chla (microg/g sediment),% Gravel/shell hash (>2000 µm),% Coarse and very coarse sand (500 – 2000 µm),% Medium sand (250 – 500 µm),%  Fine and very fine sand (63 – 250 µm),% Silt and clay (≤ 62.9 µm)
23/05/2016,-37.028766,175.830954,1,0,2,TAIRUA UPPER,SALTMARSH,0.69,7.21,0.60,4.99,,69.20,0.05,0.00,0.03,,7.85,0.72,3.03,6.21,7.55,82.49
23/05/2016,-37.029026,175.83192,2,0,2,TAIRUA UPPER,SALTMARSH,0.37,6.41,0.49,4.44,,69.20,0.02,0.00,0.02,,8.80,0.53,10.97,32.73,16.31,39.46
23/05/2016,-37.029176,175.832715,3,0,2,TAIRUA UPPER,SALTMARSH,0.44,9.14,0.62,6.32,,69.20,0.04,0.00,0.03,,38.27,0.76,3.02,8.41,9.87,77.94
24/05/2016,-37.030115,175.850659,10,0,2,PAUANUI,SALTMARSH,0.60,20.80,0.45,14.39,,69.20,0.12,0.00,0.09,,15.62,2.27,10.72,24.58,8.35,54.08
24/05/2016,-37.030126,175.850538,11,0,2,PAUANUI,SALTMARSH,0.74,2.97,0.23,2.06,,69.20,0.02,0.00,0.02,,10.44,2.14,14.94,39.25,12.02,31.65
24/05/2016,-37.030039,175.850463,12,0,2,PAUANUI,SALTMARSH,0.32,8.12,0.63,5.62,,69.20,0.03,0.00,0.02,,28.52,1.47,4.44,13.29,10.83,69.98
20/06/2016,-37.021096,175.84111,31,0,2,TAIRUA MID,SALTMARSH,0.65,11.40,0.51,7.89,,69.20,0.07,0.00,0.05,,2.68,3.06,8.54,19.80,25.60,43.00
20/06/2016,-37.02132,175.841643,32,0,2,TAIRUA MID,SALTMARSH,0.61,12.70,0.70,8.79,,69.20,0.08,0.00,0.05,,13.09,6.35,12.13,14.99,10.14,56.39
20/06/2016,-37.021554,175.842077,33,0,2,TAIRUA MID,SALTMARSH,0.47,1.98,0.11,1.37,,69.20,0.01,0.00,0.01,,5.68,1.72,7.68,20.76,18.02,51.83
23/05/2016,-37.028766,175.830954,1,2,10,TAIRUA UPPER,SALTMARSH,0.62,2.89,0.13,2.79,0.13,96.54,0.02,0.00,0.02,0.00,,,,,,
23/05/2016,-37.029026,175.83192,2,2,10,TAIRUA UPPER,SALTMARSH,0.33,7.66,0.47,7.07,0.48,92.30,0.02,0.00,0.02,0.00,,,,,,
23/05/2016,-37.029176,175.832715,3,2,10,TAIRUA UPPER,SALTMARSH,0.59,5.58,0.26,3.54,0.19,63.44,0.03,0.00,0.02,0.00,,,,,,
24/05/2016,-37.030115,175.850659,10,2,10,PAUANUI,SALTMARSH,0.79,3.39,0.19,1.96,0.12,57.82,0.03,0.00,0.02,0.00,,,,,,
24/05/2016,-37.030126,175.850538,11,2,10,PAUANUI,SALTMARSH,0.88,1.99,0.11,1.29,0.08,64.82,0.02,0.00,0.01,0.00,,,,,,
24/05/2016,-37.030039,175.850463,12,2,10,PAUANUI,SALTMARSH,0.48,4.78,0.29,4.43,0.31,92.68,0.02,0.00,0.02,0.00,,,,,,
20/06/2016,-37.021096,175.84111,31,2,10,TAIRUA MID,SALTMARSH,0.58,7.54,0.27,4.42,0.18,58.62,0.04,0.00,0.03,0.00,,,,,,
20/06/2016,-37.02132,175.841643,32,2,10,TAIRUA MID,SALTMARSH,0.41,11.50,0.45,7.96,,69.20,0.05,0.00,0.03,,,,,,,
20/06/2016,-37.021554,175.842077,33,2,10,TAIRUA MID,SALTMARSH,0.36,11.90,0.47,8.23,,69.20,0.04,0.00,0.03,,,,,,,
23/05/2016,-37.028766,175.830954,1,10,20,TAIRUA UPPER,SALTMARSH,1.00,0.92,0.05,0.77,,83.91,0.01,0.00,0.01,,,,,,,
23/05/2016,-37.029026,175.83192,2,10,20,TAIRUA UPPER,SALTMARSH,0.60,1.80,0.11,1.51,,83.91,0.01,0.00,0.01,,,,,,,
23/05/2016,-37.029176,175.832715,3,10,20,TAIRUA UPPER,SALTMARSH,0.96,1.30,0.05,1.09,,83.91,0.01,0.00,0.01,,,,,,,
24/05/2016,-37.030115,175.850659,10,10,20,PAUANUI,SALTMARSH,1.21,1.03,0.06,0.79,0.06,76.70,0.01,0.00,0.01,0.00,,,,,,
24/05/2016,-37.030126,175.850538,11,10,20,PAUANUI,SALTMARSH,1.36,0.66,0.03,0.55,,83.91,0.01,0.00,0.01,,,,,,,
24/05/2016,-37.030039,175.850463,12,10,20,PAUANUI,SALTMARSH,1.05,1.31,0.06,1.10,,83.91,0.01,0.00,0.01,,,,,,,
20/06/2016,-37.021096,175.84111,31,10,20,TAIRUA MID,SALTMARSH,0.56,6.18,0.26,5.19,,83.91,0.03,0.00,0.03,,,,,,,
20/06/2016,-37.02132,175.841643,32,10,20,TAIRUA MID,SALTMARSH,0.48,4.21,0.17,3.53,,83.91,0.02,0.00,0.02,,,,,,,
20/06/2016,-37.021554,175.842077,33,10,20,TAIRUA MID,SALTMARSH,0.30,12.95,0.47,11.80,0.51,91.12,0.04,0.00,0.04,0.00,,,,,,
23/05/2016,-37.028766,175.830954,1,20,30,TAIRUA UPPER,SALTMARSH,0.95,0.39,0.02,0.39,0.03,100.00,0.00,0.00,0.00,0.00,,,,,,
23/05/2016,-37.029026,175.83192,2,20,30,TAIRUA UPPER,SALTMARSH,0.84,1.17,0.07,,,81.87,0.01,0.00,0.00,,,,,,,
23/05/2016,-37.029176,175.832715,3,20,30,TAIRUA UPPER,SALTMARSH,0.97,1.06,0.07,,,81.87,0.01,0.00,0.00,,,,,,,
24/05/2016,-37.030115,175.850659,10,20,30,PAUANUI,SALTMARSH,1.31,0.71,0.05,,,81.87,0.01,0.00,0.00,,,,,,,
24/05/2016,-37.030126,175.850538,11,20,30,PAUANUI,SALTMARSH,1.24,0.59,0.04,,,81.87,0.01,0.00,0.00,,,,,,,
24/05/2016,-37.030039,175.850463,12,20,30,PAUANUI,SALTMARSH,0.97,1.23,0.06,,,81.87,0.01,0.00,0.00,,,,,,,
20/06/2016,-37.021096,175.84111,31,20,30,TAIRUA MID,SALTMARSH,0.93,2.12,0.07,,,81.87,0.02,0.00,0.00,,,,,,,
20/06/2016,-37.02132,175.841643,32,20,30,TAIRUA MID,SALTMARSH,0.82,1.93,0.06,1.23,0.06,63.73,0.02,0.00,0.01,0.00,,,,,,
20/06/2016,-37.021554,175.842077,33,20,30,TAIRUA MID,SALTMARSH,0.71,1.20,0.06,,,81.87,0.01,0.00,0.00,,,,,,,
23/05/2016,-37.028766,175.830954,1,30,40,TAIRUA UPPER,SALTMARSH,0.88,0.90,0.03,0.73,,81.58,0.01,0.00,0.01,,,,,,,
23/05/2016,-37.029026,175.83192,2,30,40,TAIRUA UPPER,SALTMARSH,0.80,0.75,0.05,0.61,,81.58,0.01,0.00,0.00,,,,,,,
23/05/2016,-37.029176,175.832715,3,30,40,TAIRUA UPPER,SALTMARSH,1.15,0.62,0.03,0.59,0.03,95.16,0.01,0.00,0.01,0.00,,,,,,
24/05/2016,-37.030115,175.850659,10,30,40,PAUANUI,SALTMARSH,1.83,0.58,0.04,0.47,,81.58,0.01,0.00,0.01,,,,,,,
24/05/2016,-37.030126,175.850538,11,30,40,PAUANUI,SALTMARSH,0.98,0.61,0.05,0.50,,81.58,0.01,0.00,0.00,,,,,,,
24/05/2016,-37.030039,175.850463,12,30,40,PAUANUI,SALTMARSH,1.38,0.47,0.02,0.38,,81.58,0.01,0.00,0.01,,,,,,,
20/06/2016,-37.021096,175.84111,31,30,40,TAIRUA MID,SALTMARSH,1.08,0.46,0.03,0.38,,81.58,0.00,0.00,0.00,,,,,,,
20/06/2016,-37.02132,175.841643,32,30,40,TAIRUA MID,SALTMARSH,1.03,0.36,0.02,0.29,,81.58,0.00,0.00,0.00,,,,,,,
20/06/2016,-37.021554,175.842077,33,30,40,TAIRUA MID,SALTMARSH,0.91,1.00,0.03,0.68,0.03,68.00,0.01,0.00,0.01,0.00,,,,,,
23/05/2016,-37.028766,175.830954,1,40,50,TAIRUA UPPER,SALTMARSH,0.87,1.08,0.04,0.23,,21.05,0.01,0.00,0.00,,,,,,,
23/05/2016,-37.029026,175.83192,2,40,50,TAIRUA UPPER,SALTMARSH,1.15,0.61,0.04,0.13,,21.05,0.01,0.00,0.00,,,,,,,
