Core ID,Marsh_type,Depth of core (cm),Average DBD (g/cm3)_SD,Average %C_SD,Average SCD (gC/cm3)_SD,Carbon stock (MgC/ha),Carbon Stock at 13cm,% of total core C stock
T3 - 2,High marsh,25,0.32 ± 0.09,21.1 ± 6.1,0.061 ± 0.010,159.2,79.1,49.7
T3 - A,High marsh,27,0.42 ± 0.09,11.1± 5.4,0.043± 0.011,115.4,66.9,58
C2,High marsh,16,0.76 ± 0.31,6.5 ± 6.6,0.031 ± 0.017,52.7,46.8,88.8
C3,High marsh,20,0.59 ± 0.23,9.0 ± 7.5,0.047 ± 0.037,78,54.1,69.4
BB1,High marsh,21,0.51 ± 0.23,10.3 ± 2.4,0.039 ± 0.013,82.4,57.9,70.3
BB1-4,High marsh,18,0.41 ± 0.12,11.4 ± 3.7,0.044 ± 0.011,79.1,60.9,77
BB1-3,High marsh,24,0.78 ± 0.41,5.3 ± 5.4,0.024 ± 0.019,58.7,47.2,80.4
BB2-5,High marsh,20,0.56 ± 0.46,12.2 ± 2.5,0.034 ± 0.020,68.9,55.3,80.3
T2-EA,High marsh,20,0.44 ± 0.26,14.0 ± 7.9,0.045± 0.024,93.7,68.7,73.3
W-A,High marsh,45,0.41 ± 0.29,20.6 ± 12.2,0.069 ± 0.025,62.5,n/a, 
C1,High marsh,21,0.55 ± 0.16,10.0 ± 4.6,0.048 ± 0.010,106.2,63.9,60.2
SP2,High marsh,15,0.66 ± 0.26,6.5 ± 5.6,0.030 ± 0.020,44.3,44.3,100
T3 - 1,High marsh,21,0.50 ± 0.21,8.6 ± 5.4,0.034 ± 0.016,81.9,51.7,63.1
BB1 - 2,Low marsh,25,0.61 ± 0.25,3.9 ± 2.8,0.018 ± 0.011,42.6,24.8,58.2
BB2,Low marsh,23,0.94 ± 0.16,1.2 ± 1.1,0.010 ± 0.008,23.5,17.6,74.9
BB1 - 1,Low marsh,17,0.74 ± 0.21,2.3 ± 2.4,0.013 ± 0.012,22.4,20.2,90.2
BB2 - 4,Low marsh,19,0.58 ± 0.21,2.8 ± 2.5,0.013 ± 0.009,22.6,20.8,92
BB2 - 3,Low marsh,13,0.42 ± 0.14,6.7 ± 3.6,0.029 ± 0.015,31.7,31.7,100
BB2 - 2,Low marsh,20,0.83 ± 0.33,1.6 ± 1.8,0.008 ± 0.008,12,11.8,98.3
T2 - 6,Low marsh,27,0.41 ± 0.27,8.6 ± 5.0,0.024 ± 0.012,68,41.5,61
LM1,Low marsh,29,0.78 ± 0.30,3.9 ± 6.1,0.015 ± 0.016,44.7,35.2,78.7
LM2,Low marsh,29,0.54 ± 0.19,7.2 ± 5.4,0.030 ± 0.010,86.3,47.3,54.8
